﻿Title:,"Table 11 - HE staff FTE by HE provider and cost centre"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-11.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Contract marker,All (including atypical) 
,Academic year,2020/21 
Search:,


"UKPRN","HE Provider","Medicine, dentistry & health","Agriculture, forestry & veterinary science","Biological, mathematical & physical sciences","Engineering & technology","Architecture & planning","Administration & business studies","Social studies","Humanities & language based studies & archaeology","Design, creative & performing arts","Education","Total academic services","Central administration & services, staff and student facilities","Premises","Residences & catering","Total all cost centres"
"10007783","The University of Aberdeen","610","0","365","150","0","80","170","160","25","65","310","430","210","95","2,665"
"10007849","Abertay University","35","15","20","60","0","15","25","0","30","15","35","130","45","5","430"
"10007856","Aberystwyth University","25","75","265","50","0","30","120","60","45","55","55","440","35","140","1,390"
"10067853","ACM Guildford Limited*","","","","","","","","","","","","","","",""
"10000163","AECC University College*","","","","","","","","","","","","","","",""
"10032036","Amity Global Education*","","","","","","","","","","","","","","",""
"10000291","Anglia Ruskin University","390","0","90","70","35","130","135","40","100","85","40","595","65","35","1,805"
"10005451","Arden University*","","","","","","","","","","","","","","",""
"10007759","Aston University","265","0","110","330","40","325","60","70","0","0","70","445","120","40","1,875"
"10038772","British Academy of Jewellery Limited*","","","","","","","","","","","","","","",""
"10007857","Bangor University","270","65","205","65","0","50","50","75","10","100","155","325","145","55","1,560"
"10000571","Bath Spa University","25","0","15","10","0","55","65","50","140","90","60","260","95","20","880"
"10007850","The University of Bath","265","0","450","405","80","225","175","35","0","110","320","665","235","215","3,180"
"10007152","University of Bedfordshire","100","0","30","50","5","100","150","30","20","115","225","275","30","5","1,125"
"10005343","Queen's University Belfast","1,075","0","465","395","60","145","275","200","60","65","415","720","180","100","4,155"
"10037544","BIMM University*","","","","","","","","","","","","","","",""
"10007760","Birkbeck College","80","0","110","40","0","85","160","135","15","5","55","465","70","0","1,225"
"10007140","Birmingham City University*","","","","","","","","","","","","","","",""
"10006840","The University of Birmingham*","","","","","","","","","","","","","","",""
"10000712","University College Birmingham","50","0","0","0","0","130","0","0","55","35","135","60","25","45","535"
"10007832","Birmingham Newman University","40","0","0","0","0","5","10","15","0","65","80","65","5","15","305"
"10007811","Bishop Grosseteste University","25","0","0","0","0","5","5","15","5","70","45","110","20","0","300"
"10004061","Bloomsbury Institute*","","","","","","","","","","","","","","",""
"10006841","The University of Bolton*","","","","","","","","","","","","","","",""
"10000385","The Arts University Bournemouth","0","0","0","0","10","5","80","0","160","0","60","75","10","0","405"
"10000824","Bournemouth University","220","0","45","175","0","175","185","40","20","25","270","370","65","20","1,605"
"10007785","The University of Bradford","250","0","95","110","0","70","60","25","0","0","95","445","115","0","1,265"
"10000886","The University of Brighton","375","0","110","110","50","100","150","70","135","160","175","485","160","75","2,165"
"10000936","The University College of Osteopathy*","","","","","","","","","","","","","","",""
"10007786","The University of Bristol","1,225","165","1,130","630","0","185","575","435","70","100","525","1,455","465","15","6,975"
"10000961","Brunel University London","140","0","120","455","0","150","180","55","30","60","155","590","50","80","2,070"
"10000975","Buckinghamshire New University*","","","","","","","","","","","","","","",""
"10007788","The University of Cambridge","3,305","215","2,215","1,175","105","320","520","700","30","385","930","1,265","280","35","11,475"
"10003324","The Institute of Cancer Research","315","0","490","0","0","0","0","0","0","0","100","130","40","0","1,080"
"10001143","Canterbury Christ Church University","225","0","35","25","0","40","125","40","25","190","290","325","95","110","1,535"
"10007814","Cardiff University","1,670","0","765","440","125","235","555","405","30","70","735","670","225","160","6,090"
"10007854","Cardiff Metropolitan University","85","40","35","45","0","135","20","5","110","215","220","235","45","55","1,245"
"10007141","The University of Central Lancashire","520","0","120","135","25","130","230","75","95","115","555","450","205","10","2,665"
"10024024","Central Film School London*","","","","","","","","","","","","","","",""
"10007848","University of Chester","190","0","115","60","0","75","135","95","65","145","270","405","100","65","1,715"
"10007137","The University of Chichester*","","","","","","","","","","","","","","",""
"10001386","Chicken Shed Theatre Company*","","","","","","","","","","","","","","",""
"10001478","City, University of London","325","0","25","215","0","370","310","25","15","5","330","410","120","0","2,150"
"10007912","Cliff College*","","","","","","","","","","","","","","",""
"10066502","The College of Health Ltd*","","","","","","","","","","","","","","",""
"10001653","Conservatoire for Dance and Drama*","","","","","","","","","","","","","","",""
"10007761","Courtauld Institute of Art*","","","","","","","","","","","","","","",""
"10034324","Court Theatre Training Company Ltd*","","","","","","","","","","","","","","",""
"10001726","Coventry University","465","5","145","445","40","675","305","75","155","100","80","1,545","155","45","4,240"
"10007822","Cranfield University","0","85","60","600","0","120","5","0","0","5","0","535","70","25","1,505"
"10006427","University for the Creative Arts*","","","","","","","","","","","","","","",""
"10007842","University of Cumbria","195","10","15","5","0","45","30","0","25","100","75","230","50","5","785"
"10001883","De Montfort University","315","0","80","300","50","285","225","45","155","35","355","580","185","15","2,640"
"10007851","University of Derby","305","0","80","150","10","175","140","30","65","160","235","565","160","10","2,085"
"10007852","The University of Dundee","725","0","755","155","40","70","155","80","155","80","215","530","165","10","3,140"
"10007143","University of Durham","70","0","730","165","0","120","430","530","30","130","280","780","75","730","4,070"
"10007789","The University of East Anglia","555","15","500","75","0","125","255","205","40","55","230","870","250","175","3,355"
"10007144","The University of East London","165","0","40","70","30","60","110","5","70","100","75","585","35","5","1,350"
"10032282","The Queen's Foundation for Ecumenical Theological Education*","","","","","","","","","","","","","","",""
"10007823","Edge Hill University","330","0","50","50","0","55","135","55","55","285","195","285","85","80","1,655"
"10007772","Edinburgh Napier University","135","5","60","175","65","135","50","20","65","40","25","510","90","30","1,405"
"10007790","The University of Edinburgh","2,010","715","1,845","775","75","245","665","635","280","390","645","1,585","775","520","11,155"
"10042570","Escape Studios*","","","","","","","","","","","","","","",""
"10007791","The University of Essex","235","0","180","150","0","195","390","170","75","0","180","635","190","0","2,395"
"10008173","University College of Estate Management*","","","","","","","","","","","","","","",""
"10007792","The University of Exeter","640","0","580","285","0","195","445","360","25","80","970","1,215","235","165","5,195"
"10008640","Falmouth University*","","","","","","","","","","","","","","",""
"10004511","The National Film and Television School*","","","","","","","","","","","","","","",""
"10022087","Futureworks*","","","","","","","","","","","","","","",""
"10007762","Glasgow Caledonian University","280","0","55","130","60","175","65","5","15","0","270","325","60","0","1,435"
"10002681","Glasgow School of Art","0","0","0","0","15","0","0","0","140","10","25","185","45","0","420"
"10007794","The University of Glasgow","1,180","260","1,155","580","45","255","430","365","95","235","160","2,125","265","95","7,230"
"10007145","University of Gloucestershire*","","","","","","","","","","","","","","",""
"10002718","Goldsmiths College","105","0","0","85","0","60","230","80","245","45","115","285","165","0","1,420"
