﻿Title:,"Table 11 - HE staff FTE by HE provider and cost centre"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-11.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Contract marker,All (including atypical) 
,Academic year,2014/15 
Search:,


"UKPRN","HE Provider","Medicine, dentistry & health","Agriculture, forestry & veterinary science","Biological, mathematical & physical sciences","Engineering & technology","Architecture & planning","Administration & business studies","Social studies","Humanities & language based studies & archaeology","Design, creative & performing arts","Education","Total academic services","Central administration & services, staff and student facilities","Premises","Residences & catering","Total all cost centres"
"10007783","The University of Aberdeen","565","0","675","165","0","55","210","170","5","100","290","410","195","135","2,975"
"10007849","Abertay University","40","10","45","35","0","30","25","0","20","20","60","145","60","20","505"
"10007856","Aberystwyth University","15","100","315","50","0","40","155","85","65","80","110","370","50","195","1,635"
"10000291","Anglia Ruskin University","365","0","105","75","50","175","150","50","65","95","170","520","45","35","1,900"
"10007759","Aston University","200","0","80","285","25","165","40","70","0","0","95","340","110","60","1,460"
"10007857","Bangor University","240","85","260","50","0","65","70","85","15","120","180","360","130","95","1,755"
"10000571","Bath Spa University","20","0","15","0","0","25","40","40","160","85","55","220","30","15","710"
"10007850","The University of Bath","210","0","390","380","40","165","155","45","0","80","280","540","225","250","2,760"
"10007152","University of Bedfordshire","140","0","40","70","0","120","125","25","45","140","240","260","45","10","1,255"
"10005343","Queen's University Belfast","840","0","430","355","50","100","275","175","60","80","380","575","180","75","3,580"
"10007760","Birkbeck College","110","0","120","35","0","65","180","140","15","10","200","260","20","0","1,155"
"10007140","Birmingham City University","325","0","0","170","60","135","155","20","320","140","205","465","55","20","2,075"
"10006840","The University of Birmingham","1,605","0","620","585","0","220","435","415","50","205","810","665","380","285","6,275"
"10000712","University College Birmingham","55","0","0","0","0","205","0","0","0","20","15","180","30","40","550"
"10007832","Birmingham Newman University","35","0","0","5","0","5","0","15","5","80","65","60","10","15","290"
"10007811","Bishop Grosseteste University","10","0","0","0","0","0","0","10","5","80","20","75","30","0","235"
"10006841","The University of Bolton","50","0","15","85","10","50","20","10","30","45","50","130","40","10","545"
"10000385","The Arts University Bournemouth","0","0","0","0","5","5","55","0","140","0","25","90","5","0","330"
"10000824","Bournemouth University","250","0","45","160","0","240","175","30","10","30","240","300","70","0","1,545"
"10007785","The University of Bradford","290","0","160","200","0","140","145","0","0","0","170","340","195","0","1,640"
"10000886","The University of Brighton","370","0","150","155","65","160","170","100","180","230","175","425","170","105","2,445"
"10007786","The University of Bristol","1,020","160","1,010","470","0","55","280","295","45","80","335","1,010","405","230","5,385"
"10000961","Brunel University London","155","0","110","445","0","110","165","65","35","75","160","430","50","105","1,900"
"10000975","Buckinghamshire New University","120","0","0","35","0","70","60","0","65","25","20","255","10","35","695"
"10007787","The University of Buckingham","30","0","10","15","0","40","60","30","0","30","10","85","45","25","385"
"10007788","The University of Cambridge","2,555","170","2,480","1,110","95","190","450","645","30","295","755","925","190","70","9,960"
"10003324","The Institute of Cancer Research","310","0","415","0","0","0","0","0","0","0","65","140","40","0","970"
"10001143","Canterbury Christ Church University","230","0","25","15","0","60","140","85","60","295","120","415","125","60","1,635"
"10007814","Cardiff University","1,775","0","625","345","130","215","435","290","25","120","600","795","85","180","5,620"
"10007854","Cardiff Metropolitan University","90","50","40","15","0","115","25","20","110","190","220","195","50","60","1,175"
"10007141","The University of Central Lancashire","315","0","135","105","30","90","175","90","105","70","515","390","190","65","2,285"
"10007848","University of Chester","200","0","100","45","0","95","115","115","65","155","250","345","140","75","1,695"
"10007137","The University of Chichester","30","0","0","0","0","30","25","35","100","135","55","135","45","15","605"
"10001478","City, University of London","245","0","45","205","0","310","235","5","10","30","265","425","110","0","1,880"
"10001653","Conservatoire for Dance and Drama","0","0","0","0","0","0","0","0","395","0","0","0","0","0","395"
"10007761","Courtauld Institute of Art","0","0","5","0","0","0","0","35","5","0","10","60","5","0","115"
"10001726","Coventry University","310","10","140","340","30","530","235","80","75","25","80","935","135","40","2,975"
"10007822","Cranfield University","0","45","0","660","0","165","85","0","0","10","0","355","55","75","1,445"
"10006427","University for the Creative Arts","0","0","0","0","15","0","100","0","265","0","70","260","30","20","760"
"10007842","University of Cumbria","140","10","5","5","0","25","25","5","45","150","65","365","60","35","940"
"10001883","De Montfort University","220","0","60","210","35","125","185","55","130","35","325","350","155","10","1,895"
"10007851","University of Derby","175","0","65","155","10","170","110","25","75","175","270","525","185","5","1,940"
"10007852","The University of Dundee","895","0","750","180","35","40","190","75","135","80","225","300","170","10","3,085"
"10007143","University of Durham","165","0","715","125","0","135","455","410","25","190","270","620","185","590","3,880"
"10007789","The University of East Anglia","465","0","490","50","0","100","250","165","30","85","200","690","240","170","2,940"
"10007144","The University of East London","145","0","45","75","35","60","165","15","85","115","95","470","35","5","1,340"
"10007823","Edge Hill University","230","0","30","40","0","40","120","45","45","475","195","260","75","75","1,625"
"10007772","Edinburgh Napier University","150","0","75","185","60","140","55","25","70","30","30","430","115","35","1,405"
"10007790","The University of Edinburgh","1,705","570","1,575","575","50","190","495","510","225","305","650","1,005","725","460","9,025"
"10007791","The University of Essex","150","0","145","85","0","130","275","165","60","0","150","485","165","50","1,870"
"10007792","The University of Exeter","510","0","575","245","0","175","420","380","25","145","210","700","305","215","3,905"
"10008640","Falmouth University","0","0","0","0","0","15","85","15","170","0","15","125","20","0","450"
"10004511","The National Film and Television School","0","0","0","0","0","0","15","0","0","0","0","65","5","0","85"
"10007762","Glasgow Caledonian University","330","0","65","160","75","185","80","10","10","0","215","205","145","5","1,470"
"10002681","Glasgow School of Art","0","0","0","0","30","0","0","0","85","5","10","215","15","0","365"
"10007794","The University of Glasgow","1,180","275","890","370","35","140","285","350","85","195","175","990","495","160","5,630"
"10007145","University of Gloucestershire","25","0","10","20","10","50","75","30","55","130","75","340","60","0","870"
"10002718","Goldsmiths College","100","0","0","60","0","15","205","70","190","50","130","195","55","45","1,125"
"10007146","The University of Greenwich","170","40","145","140","50","150","120","35","5","90","0","765","0","0","1,710"
"10007825","Guildhall School of Music and Drama","0","0","0","0","0","0","0","0","185","0","5","35","20","0","245"
"10040812","Harper Adams University","0","195","0","30","0","0","0","0","0","0","25","110","50","50","460"
"10007764","Heriot-Watt University","20","0","330","380","115","180","10","45","45","5","100","420","100","170","1,920"
"10007147","University of Hertfordshire","400","15","150","210","5","235","130","80","100","110","290","645","55","70","2,495"
"10007765","Heythrop College","0","0","0","0","0","0","0","45","0","0","0","40","5","0","85"
"10007148","The University of Huddersfield","190","0","75","145","35","140","70","40","110","50","265","465","120","30","1,730"
"10007149","The University of Hull","295","0","225","115","0","175","190","145","60","130","155","445","145","145","2,215"
"10003270","Imperial College of Science, Technology and Medicine","2,585","0","1,410","1,445","0","250","0","0","0","55","360","805","275","265","7,450"
"10007766","Institute of Education","0","0","0","0","0","0","0","0","0","585","65","155","10","10","820"
"10007767","Keele University","500","0","170","50","0","45","155","70","15","25","110","285","140","180","1,745"
"10007150","The University of Kent","165","0","335","185","55","130","475","345","130","50","205","675","215","325","3,295"
"10003645","King's College London","3,065","0","460","125","0","75","450","415","40","65","380","745","135","115","6,070"
"10003678","Kingston University","225","0","145","170","50","150","165","70","195","85","145","400","15","0","1,805"
"10007768","The University of Lancaster","190","0","470","180","0","305","180","175","55","25","250","425","260","65","2,575"
"10003854","Leeds Arts University","0","0","0","0","0","0","0","0","120","0","25","35","15","0","195"
"10003861","Leeds Beckett University","260","0","45","75","75","175","115","65","85","270","255","745","115","70","2,350"
"10007795","The University of Leeds","1,485","45","965","570","0","275","375","445","175","95","950","775","355","200","6,715"
"10003863","Leeds Trinity University","15","0","0","0","0","10","30","20","0","100","60","70","20","35","360"
"10007796","The University of Leicester","675","0","585","115","0","145","355","210","5","95","115","645","275","205","3,425"
"10007151","The University of Lincoln","130","30","110","85","25","125","180","40","135","55","140","260","35","25","1,370"
"10003956","Liverpool Hope University","35","0","15","10","0","20","35","40","50","100","50","200","40","40","645"
"10003957","Liverpool John Moores University","270","0","185","220","65","145","175","50","80","220","285","240","190","30","2,160"
"10003945","The Liverpool Institute for Performing Arts","0","0","0","5","0","5","0","0","35","0","20","35","15","5","120"
"10006842","The University of Liverpool","1,215","385","785","290","100","125","240","230","20","25","375","555","280","225","4,850"
"10003958","Liverpool School of Tropical Medicine","0","0","270","0","0","0","0","0","0","0","0","0","0","0","270"
"10007162","University of the Arts, London","0","0","10","10","15","45","70","65","1,385","35","120","845","160","5","2,755"
"10007769","London Business School","0","0","0","0","0","105","0","0","0","0","60","560","10","10","745"
"10007797","University of London (Institutes and activities)","0","0","0","0","0","0","50","80","0","0","70","515","20","30","765"
"10004048","London Metropolitan University","65","0","90","65","50","145","155","40","70","65","115","365","75","0","1,305"
"10004078","London South Bank University","285","0","35","180","75","130","90","5","45","35","35","400","35","15","1,365"
"10004063","London School of Economics and Political Science","20","0","95","35","0","180","955","135","0","0","105","625","145","135","2,430"
"10007771","London School of Hygiene and Tropical Medicine","565","0","140","0","0","0","0","0","0","0","250","205","15","10","1,185"
"10004113","Loughborough University","40","0","200","805","55","180","155","40","75","120","130","545","305","225","2,875"
"10004180","The Manchester Metropolitan University","185","0","215","195","55","405","335","175","315","310","395","445","315","115","3,475"
"10007798","The University of Manchester","2,030","0","2,040","1,135","30","540","600","490","90","140","965","880","665","185","9,795"
"10004351","Middlesex University","200","0","70","145","0","180","195","15","190","100","435","235","55","0","1,825"
"10007799","Newcastle University","1,440","120","480","695","80","165","245","205","60","60","420","545","370","225","5,110"
"10007138","The University of Northampton","145","0","25","55","5","130","100","30","75","105","215","205","0","5","1,090"
"10001282","University of Northumbria at Newcastle","310","0","155","185","105","200","270","105","200","120","270","590","235","90","2,825"
"10004775","Norwich University of the Arts","0","0","0","0","5","0","35","0","70","0","35","30","20","5","200"
"10007154","University of Nottingham","1,260","210","1,145","880","70","215","360","430","15","145","400","990","440","345","6,905"
"10004797","The Nottingham Trent University","85","90","210","75","135","280","310","115","360","155","290","560","310","55","3,030"
"10007773","The Open University","400","0","525","495","0","345","460","465","40","395","710","1,720","125","0","5,680"
"10004930","Oxford Brookes University","160","0","90","75","110","120","125","100","45","80","145","720","100","105","1,975"
"10007774","The University of Oxford","4,105","0","2,165","775","5","290","840","900","50","255","910","1,630","5","0","11,935"
"10005127","Arts University Plymouth","0","0","0","0","0","0","0","0","100","0","15","50","15","0","180"
