﻿Title:,"Table 17 - HE full-time academic staff by HE provider and contract salary"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 17
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-17
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-17.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Sex,All 
,Academic employment function,All 
,Contract levels,All 
,Academic year,2021/22 
Search:,


"UKPRN","HE provider","Contract salary < £20,092 ","Contract salary ≥ £20,092 and < £26,341 ","Contract salary ≥ £26,341 and < £35,326 ","Contract salary ≥ £35,326 and < £47,419 ","Contract salary ≥ £47,419 and < £63,668 ","Contract salary ≥ £63,668 ","Total"
"10007783","The University of Aberdeen","0","0","80","280","420","255","1,035"
"10007849","Abertay University","0","5","20","75","60","35","195"
"10007856","Aberystwyth University","0","0","45","140","155","90","430"
"10067853","ACM Guildford Limited","0","0","0","10","5","0","15"
"10000163","AECC University College","0","0","0","10","10","10","35"
"10000291","Anglia Ruskin University","0","5","40","220","305","75","640"
"10005451","Arden University","0","0","5","110","25","25","160"
"10007759","Aston University","0","10","55","275","385","105","830"
"10038772","British Academy of Jewellery Limited","0","0","0","0","0","0","10"
"10007857","Bangor University","0","5","80","210","220","80","595"
"10000571","Bath Spa University","0","0","5","60","190","25","280"
"10007850","The University of Bath","0","0","70","295","530","235","1,135"
"10007152","University of Bedfordshire","0","0","10","190","220","40","460"
"10005343","Queen's University Belfast","0","10","175","635","585","385","1,785"
"10037544","BIMM University","0","10","105","90","50","30","285"
"10007760","Birkbeck College","0","0","5","130","125","200","460"
"10007140","Birmingham City University","0","0","65","360","595","80","1,100"
"10006840","The University of Birmingham","0","20","460","770","1,170","685","3,105"
"10000712","University College Birmingham","0","0","30","115","35","15","200"
"10007832","Birmingham Newman University","0","0","10","40","55","10","115"
"10007811","Bishop Grosseteste University","0","0","5","40","50","10","105"
"10004061","Bloomsbury Institute","0","0","0","10","5","5","20"
"10006841","The University of Bolton","0","0","40","205","100","25","370"
"10000385","The Arts University Bournemouth","0","10","60","100","10","5","185"
"10000824","Bournemouth University","0","25","65","320","210","140","760"
"10007785","The University of Bradford","0","10","20","125","225","80","460"
"10000886","The University of Brighton","0","5","10","125","530","110","775"
"10000936","The University College of Osteopathy","0","0","0","5","5","5","10"
"10007786","The University of Bristol","0","0","55","1,240","915","525","2,730"
"10000961","Brunel University London","0","0","15","195","420","260","890"
"10000975","Buckinghamshire New University","0","5","45","100","95","20","260"
"10007788","The University of Cambridge","0","15","975","1,885","1,105","1,120","5,105"
"10003324","The Institute of Cancer Research","0","0","75","310","145","70","600"
"10001143","Canterbury Christ Church University","0","5","30","175","240","50","500"
"10007814","Cardiff University","0","0","240","800","785","670","2,490"
"10007854","Cardiff Metropolitan University","0","0","5","105","265","75","445"
"10007141","The University of Central Lancashire","0","15","70","570","450","150","1,255"
"10024024","Central Film School London","0","0","0","0","0","0","5"
"10007848","University of Chester","0","0","5","210","225","40","485"
"10007137","The University of Chichester","0","5","0","55","130","20","210"
"10001386","Chicken Shed Theatre Company","0","10","5","5","0","0","25"
"10001478","City, University of London","0","0","0","120","245","390","755"
"10007912","Cliff College","0","0","0","5","0","0","10"
"10066502","The College of Health Ltd","0","0","0","0","0","0","5"
"10001653","Conservatoire for Dance and Drama","0","0","20","25","5","5","55"
"10007761","Courtauld Institute of Art","0","0","0","5","15","15","35"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0","0","0"
"10001726","Coventry University","0","80","280","895","505","160","1,915"
"10007822","Cranfield University","0","10","100","170","225","135","635"
"10006427","University for the Creative Arts","0","5","65","50","65","15","200"
"10007842","University of Cumbria","0","0","15","110","130","15","265"
"10001883","De Montfort University","0","0","30","455","340","180","1,005"
"10007851","University of Derby","0","25","100","300","310","55","790"
"10007852","The University of Dundee","0","0","85","495","400","190","1,170"
"10007143","University of Durham","0","15","120","560","560","405","1,670"
"10007789","The University of East Anglia","0","0","70","290","565","250","1,175"
"10007144","The University of East London","0","0","10","150","235","50","445"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","5","10","0","0","10"
"10007823","Edge Hill University","0","0","15","265","235","75","595"
