﻿Title:,"Table 22 - HE academic staff starters and leavers by HE provider and mode of employment"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 22
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-22
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-22.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Search by HE provider
,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2014/15 
Search:,


"UKPRN","HE provider","Total academic staff 2013/14 ","Starters","Leavers","Total academic staff 2014/15 "
"10007783","The University of Aberdeen","1,655","245","235","1,665"
"10007849","Abertay University","215","35","35","210"
"10007856","Aberystwyth University","990","195","240","940"
"10000291","Anglia Ruskin University","775","115","110","780"
"10007759","Aston University","600","135","75","660"
"10007857","Bangor University","1,035","180","170","1,045"
"10000571","Bath Spa University","535","120","85","570"
"10007850","The University of Bath","1,230","260","205","1,285"
"10007152","University of Bedfordshire","780","55","155","680"
"10005343","Queen's University Belfast","1,665","240","200","1,705"
"10007760","Birkbeck College","1,115","155","305","965"
"10007140","Birmingham City University","1,480","285","185","1,580"
"10006840","The University of Birmingham","2,935","1,005","430","3,510"
"10000712","University College Birmingham","275","35","20","290"
"10007832","Birmingham Newman University","150","15","15","155"
"10007811","Bishop Grosseteste University","105","10","35","80"
"10006841","The University of Bolton","300","50","45","305"
"10000385","The Arts University Bournemouth","330","55","60","325"
"10000824","Bournemouth University","825","140","135","830"
"10007785","The University of Bradford","615","110","80","640"
"10000886","The University of Brighton","1,640","325","220","1,745"
"10007786","The University of Bristol","2,780","540","425","2,895"
"10000961","Brunel University London","1,205","240","240","1,200"
"10000975","Buckinghamshire New University","445","115","75","485"
"10007787","The University of Buckingham","145","25","10","160"
"10007788","The University of Cambridge","5,430","1,240","975","5,690"
"10003324","The Institute of Cancer Research","590","150","100","640"
"10001143","Canterbury Christ Church University","685","90","50","730"
"10007814","Cardiff University","3,295","580","495","3,380"
"10007854","Cardiff Metropolitan University","630","150","60","720"
"10007141","The University of Central Lancashire","1,405","235","260","1,380"
"10007848","University of Chester","525","125","50","600"
"10007137","The University of Chichester","485","70","55","500"
"10001478","City, University of London","1,695","245","210","1,730"
"10001653","Conservatoire for Dance and Drama","225","70","35","260"
"10007761","Courtauld Institute of Art","40","0","10","35"
"10001726","Coventry University","1,925","465","390","2,000"
"10007822","Cranfield University","635","100","75","660"
"10006427","University for the Creative Arts","385","40","65","360"
"10007842","University of Cumbria","390","60","35","420"
"10001883","De Montfort University","1,220","245","250","1,215"
"10007851","University of Derby","1,260","195","200","1,250"
"10007852","The University of Dundee","1,615","205","285","1,535"
"10007143","University of Durham","1,590","350","250","1,690"
"10007789","The University of East Anglia","2,035","295","630","1,700"
"10007144","The University of East London","860","205","160","910"
"10007823","Edge Hill University","875","225","105","1,000"
"10007772","Edinburgh Napier University","815","150","115","850"
"10007790","The University of Edinburgh","4,010","860","595","4,280"
"10007791","The University of Essex","1,205","240","330","1,115"
"10007792","The University of Exeter","1,785","300","225","1,860"
"10008640","Falmouth University","190","70","20","235"
"10007762","Glasgow Caledonian University","750","80","65","770"
"10002681","Glasgow School of Art","185","15","10","190"
"10007794","The University of Glasgow","3,000","610","435","3,175"
"10007145","University of Gloucestershire","670","120","140","650"
"10002718","Goldsmiths College","675","475","140","1,010"
"10007146","The University of Greenwich","1,215","200","185","1,230"
"10007825","Guildhall School of Music and Drama","720","70","215","575"
"10040812","Harper Adams University","145","20","5","155"
"10007764","Heriot-Watt University","790","160","160","795"
"10007147","University of Hertfordshire","1,780","170","460","1,490"
"10007765","Heythrop College","85","5","10","80"
"10007148","The University of Huddersfield","1,025","120","330","815"
"10007149","The University of Hull","1,060","155","155","1,065"
"10003270","Imperial College of Science, Technology and Medicine","4,055","1,045","750","4,350"
"10007766","Institute of Education","395","120","55","465"
"10007767","Keele University","820","125","90","855"
"10007150","The University of Kent","1,900","460","385","1,970"
"10003645","King's College London","4,370","1,070","930","4,510"
"10003678","Kingston University","1,065","120","190","995"
"10007768","The University of Lancaster","1,650","480","395","1,735"
"10003854","Leeds Arts University","160","25","25","160"
"10003861","Leeds Beckett University","1,355","275","220","1,410"
"10007795","The University of Leeds","3,200","530","440","3,290"
"10003863","Leeds Trinity University","135","20","10","145"
"10007796","The University of Leicester","2,075","245","620","1,700"
"10007151","The University of Lincoln","855","205","115","945"
"10003956","Liverpool Hope University","290","45","65","265"
"10003957","Liverpool John Moores University","1,310","220","220","1,310"
"10003945","The Liverpool Institute for Performing Arts","60","10","10","60"
"10006842","The University of Liverpool","2,665","470","410","2,720"
"10003958","Liverpool School of Tropical Medicine","200","85","30","255"
"10007162","University of the Arts, London","2,590","230","980","1,885"
"10007769","London Business School","105","10","10","105"
"10007797","University of London (Institutes and activities)","70","25","15","80"
"10004048","London Metropolitan University","650","60","70","640"
"10004078","London South Bank University","1,090","290","345","1,035"
"10004063","London School of Economics and Political Science","1,610","430","400","1,645"
"10007771","London School of Hygiene and Tropical Medicine","750","155","100","800"
"10004113","Loughborough University","1,565","260","395","1,430"
"10004180","The Manchester Metropolitan University","2,255","555","375","2,435"
"10007798","The University of Manchester","4,720","860","640","4,945"
"10004351","Middlesex University","950","150","115","980"
"10007799","Newcastle University","2,640","520","360","2,800"
"10007138","The University of Northampton","740","145","155","730"
"10001282","University of Northumbria at Newcastle","1,370","140","130","1,380"
"10004775","Norwich University of the Arts","160","25","30","155"
"10007154","University of Nottingham","3,350","475","425","3,400"
"10004797","The Nottingham Trent University","1,570","250","210","1,610"
"10007773","The Open University","6,425","450","830","6,050"
"10004930","Oxford Brookes University","1,260","215","325","1,150"
