﻿Title:,"Table 24 - HE staff by HE provider and nationality"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 24
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-24
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-24.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Atypical marker,Non-atypical 
,Contract marker,All (excluding atypical) 
,Mode of employment,All 
,Academic year,2021/22 
Search:,


"UKPRN","HE provider","UK","European Union","Non-European Union","Not known","Total"
"10007783","The University of Aberdeen","2,565","540","340","0","3,445"
"10007849","Abertay University","390","45","30","5","470"
"10007856","Aberystwyth University","1,570","145","75","5","1,800"
"10067853","ACM Guildford Limited*","","","","",""
"10000163","AECC University College*","","","","",""
"10032036","Amity Global Education*","","","","",""
"10000291","Anglia Ruskin University","1,685","170","150","0","2,005"
"10005451","Arden University*","","","","",""
"10007759","Aston University","1,470","235","255","0","1,960"
"10038772","British Academy of Jewellery Limited*","","","","",""
"10007857","Bangor University","1,740","130","115","0","1,985"
"10000571","Bath Spa University","1,050","70","55","10","1,185"
"10007850","The University of Bath","2,725","520","330","0","3,575"
"10007152","University of Bedfordshire","930","110","85","60","1,185"
"10005343","Queen's University Belfast","2,690","1,210","390","35","4,325"
"10037544","BIMM University*","","","","",""
"10007760","Birkbeck College","1,165","335","250","15","1,765"
"10007140","Birmingham City University*","","","","",""
"10006840","The University of Birmingham*","","","","",""
"10000712","University College Birmingham","470","35","20","0","525"
"10007832","Birmingham Newman University","305","20","5","0","330"
"10007811","Bishop Grosseteste University","335","10","5","0","350"
"10004061","Bloomsbury Institute*","","","","",""
"10006841","The University of Bolton*","","","","",""
"10000385","The Arts University Bournemouth","525","40","25","0","590"
"10000824","Bournemouth University","1,465","170","175","0","1,810"
"10007785","The University of Bradford","1,270","60","105","0","1,435"
"10000886","The University of Brighton","2,550","270","155","0","2,970"
"10000936","The University College of Osteopathy*","","","","",""
"10007786","The University of Bristol","6,500","975","805","5","8,285"
"10000961","Brunel University London","1,825","350","415","0","2,590"
