﻿Title:,"Table 24 - HE staff by HE provider and nationality"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 24
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-24
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-24.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Atypical marker,Non-atypical 
,Contract marker,All (excluding atypical) 
,Mode of employment,All 
,Academic year,2014/15 
Search:,


"UKPRN","HE provider","UK","European Union","Non-European Union","Not known","Total"
"10007783","The University of Aberdeen","2,740","480","325","0","3,545"
"10007849","Abertay University","480","40","25","0","545"
"10007856","Aberystwyth University","1,935","175","110","0","2,220"
"10000291","Anglia Ruskin University","1,660","155","120","0","1,935"
"10007759","Aston University","1,265","175","155","15","1,615"
"10007857","Bangor University","1,940","180","110","0","2,230"
"10000571","Bath Spa University","920","40","40","40","1,045"
"10007850","The University of Bath","2,505","440","200","0","3,145"
"10007152","University of Bedfordshire","1,045","130","100","80","1,350"
"10005343","Queen's University Belfast","2,650","770","270","50","3,740"
"10007760","Birkbeck College","1,085","290","155","20","1,550"
"10007140","Birmingham City University","2,395","110","120","60","2,685"
"10006840","The University of Birmingham","5,775","725","695","0","7,200"
"10000712","University College Birmingham","545","30","15","0","585"
"10007832","Birmingham Newman University","295","10","5","0","310"
"10007811","Bishop Grosseteste University","245","5","5","0","255"
"10006841","The University of Bolton","565","15","25","0","610"
"10000385","The Arts University Bournemouth","425","25","20","0","470"
"10000824","Bournemouth University","1,440","140","125","5","1,710"
"10007785","The University of Bradford","1,675","85","110","0","1,870"
"10000886","The University of Brighton","2,930","290","170","35","3,425"
"10007786","The University of Bristol","4,895","665","455","5","6,020"
"10000961","Brunel University London","1,690","270","345","0","2,305"
"10000975","Buckinghamshire New University","745","45","45","10","845"
"10007787","The University of Buckingham","340","20","25","10","395"
"10007788","The University of Cambridge","6,085","1,665","1,285","1,690","10,725"
"10003324","The Institute of Cancer Research","700","220","85","10","1,010"
"10001143","Canterbury Christ Church University","1,545","100","80","5","1,730"
"10007814","Cardiff University","5,710","545","370","0","6,625"
"10007854","Cardiff Metropolitan University","1,360","60","35","20","1,475"
"10007141","The University of Central Lancashire","2,465","125","110","0","2,705"
"10007848","University of Chester","1,545","55","35","0","1,635"
"10007137","The University of Chichester","825","25","20","0","870"
"10001478","City, University of London","1,910","535","310","40","2,790"
"10001653","Conservatoire for Dance and Drama","425","50","40","0","515"
"10007761","Courtauld Institute of Art","90","15","15","0","120"
"10001726","Coventry University","2,865","270","260","65","3,460"
"10007822","Cranfield University","1,230","175","160","0","1,565"
"10006427","University for the Creative Arts","700","55","20","5","780"
"10007842","University of Cumbria","1,010","25","15","50","1,100"
"10001883","De Montfort University","2,280","110","125","35","2,550"
"10007851","University of Derby","2,580","90","90","0","2,755"
"10007852","The University of Dundee","2,665","345","265","5","3,280"
"10007143","University of Durham","3,700","400","325","5","4,425"
"10007789","The University of East Anglia","2,955","340","230","10","3,535"
"10007144","The University of East London","1,125","190","180","170","1,660"
"10007823","Edge Hill University","1,765","65","30","5","1,865"
"10007772","Edinburgh Napier University","1,480","155","70","25","1,735"
"10007790","The University of Edinburgh","7,520","1,370","815","0","9,705"
"10007791","The University of Essex","1,775","310","350","0","2,435"
"10007792","The University of Exeter","3,605","440","320","5","4,370"
"10008640","Falmouth University","470","15","15","5","500"
"10004511","The National Film and Television School","65","5","0","10","80"
"10007762","Glasgow Caledonian University","1,495","60","55","0","1,610"
"10002681","Glasgow School of Art","395","25","25","5","445"
"10007794","The University of Glasgow","5,450","790","520","0","6,760"
"10007145","University of Gloucestershire","1,180","70","45","10","1,300"
"10002718","Goldsmiths College","1,200","245","165","70","1,680"
"10007146","The University of Greenwich","1,685","220","220","55","2,180"
"10007825","Guildhall School of Music and Drama","570","65","45","0","680"
"10040812","Harper Adams University","500","15","10","0","525"
"10007764","Heriot-Watt University","1,440","230","180","50","1,900"
"10007147","University of Hertfordshire","2,430","240","165","160","2,995"
"10007765","Heythrop College","100","20","10","0","130"
"10007148","The University of Huddersfield","1,670","95","75","0","1,840"
"10007149","The University of Hull","2,155","175","105","10","2,445"
"10003270","Imperial College of Science, Technology and Medicine","4,930","1,985","1,220","0","8,135"
"10007766","Institute of Education","765","85","50","0","905"
"10007767","Keele University","1,875","90","90","20","2,075"
"10007150","The University of Kent","3,295","585","425","35","4,340"
"10003645","King's College London","4,875","1,550","825","0","7,250"
"10003678","Kingston University","1,555","205","155","30","1,945"
"10007768","The University of Lancaster","2,685","360","290","35","3,375"
"10003854","Leeds Arts University","245","10","10","0","265"
"10003861","Leeds Beckett University","2,630","165","135","0","2,930"
"10007795","The University of Leeds","6,230","555","620","0","7,405"
"10003863","Leeds Trinity University","390","15","10","0","415"
"10007796","The University of Leicester","3,135","430","260","40","3,865"
"10007151","The University of Lincoln","1,415","135","100","0","1,655"
"10003956","Liverpool Hope University","595","60","25","10","685"
"10003957","Liverpool John Moores University","2,425","115","90","0","2,635"
"10003945","The Liverpool Institute for Performing Arts","145","5","5","0","150"
"10006842","The University of Liverpool","4,715","570","340","0","5,625"
"10003958","Liverpool School of Tropical Medicine","210","35","35","0","285"
"10007162","University of the Arts, London","1,930","250","145","1,065","3,385"
"10007769","London Business School","460","160","135","0","750"
"10007797","University of London (Institutes and activities)","655","105","60","0","820"
"10004048","London Metropolitan University","1,085","170","95","20","1,365"
"10004078","London South Bank University","1,345","135","180","55","1,715"
"10004063","London School of Economics and Political Science","1,795","875","625","0","3,300"
"10007771","London School of Hygiene and Tropical Medicine","900","235","190","0","1,325"
"10004113","Loughborough University","3,015","245","320","65","3,645"
"10004180","The Manchester Metropolitan University","3,795","260","195","60","4,310"
"10007798","The University of Manchester","8,315","1,090","855","0","10,260"
"10004351","Middlesex University","1,410","245","185","0","1,840"
"10007799","Newcastle University","4,965","570","435","0","5,970"
"10007138","The University of Northampton","1,175","55","75","10","1,315"
"10001282","University of Northumbria at Newcastle","2,830","120","115","25","3,085"
"10004775","Norwich University of the Arts","255","10","10","0","280"
"10007154","University of Nottingham","6,030","725","715","5","7,470"
"10004797","The Nottingham Trent University","3,150","200","180","0","3,535"
"10007773","The Open University","8,665","660","260","10","9,595"
"10004930","Oxford Brookes University","2,085","250","150","10","2,490"
"10007774","The University of Oxford","8,035","2,105","1,755","700","12,595"
"10005127","Arts University Plymouth","230","10","5","0","245"
"10007801","University of Plymouth","2,505","195","120","0","2,820"
"10007155","The University of Portsmouth","3,015","285","255","170","3,725"
"10005337","Queen Margaret University, Edinburgh","405","40","20","5","475"
"10007775","Queen Mary University of London","2,845","795","510","5","4,155"
"10005389","Ravensbourne University London","235","35","15","0","285"
"10007802","The University of Reading","2,935","460","320","70","3,780"
"10005500","Robert Gordon University","1,350","125","110","0","1,590"
"10007776","Roehampton University","765","120","100","25","1,005"
"10005523","Rose Bruford College of Theatre and Performance","120","10","5","0","130"
"10007835","Royal Academy of Music","330","35","20","5","395"
"10005545","Royal Agricultural University","210","10","10","0","230"
"10007777","Royal College of Art","340","40","25","0","400"
"10007778","Royal College of Music","330","50","30","0","410"
"10005561","Royal Conservatoire of Scotland","345","25","20","35","425"
"10007816","The Royal Central School of Speech and Drama","140","15","15","0","170"
"10005553","Royal Holloway and Bedford New College","2,145","430","335","10","2,920"
"10007837","Royal Northern College of Music","420","40","15","0","480"
"10007779","The Royal Veterinary College","660","90","70","10","830"
"10007803","The University of St. Andrews","1,915","325","285","10","2,530"
"10007782","St George's, University of London","765","90","75","15","945"
"10008026","St Mary's University College","60","95","5","0","160"
"10007843","St Mary's University, Twickenham","635","80","60","10","785"
"10007156","The University of Salford","2,250","95","125","0","2,470"
"10007780","SOAS University of London","695","205","305","25","1,230"
"10005700","SRUC","1,090","50","30","5","1,175"
"10005790","Sheffield Hallam University","4,220","145","145","25","4,530"
"10007157","The University of Sheffield","5,740","555","530","0","6,825"
"10006022","Solent University","1,315","75","45","0","1,440"
"10007158","The University of Southampton","4,705","740","585","170","6,200"
"10006299","Staffordshire University","1,710","45","45","30","1,830"
"10007804","The University of Stirling","1,775","195","115","10","2,090"
"10037449","University of St Mark and St John","335","10","5","0","350"
"10008010","Stranmillis University College","165","20","5","5","195"
"10007805","The University of Strathclyde","2,830","285","240","5","3,360"
"10014001","University of Suffolk","360","20","10","5","400"
"10007159","The University of Sunderland","1,715","80","80","65","1,940"
"10007160","The University of Surrey","2,290","350","260","0","2,900"
"10007806","The University of Sussex","1,860","350","280","290","2,785"
"10007855","Swansea University","2,480","210","185","30","2,905"
"10007161","Teesside University","1,710","50","45","0","1,805"
"10008017","Trinity Laban Conservatoire of Music and Dance","430","45","25","5","500"
"10007858","University of Wales Trinity Saint David","1,285","35","30","205","1,555"
"10007114","University of the Highlands and Islands","210","5","5","0","225"
"10007807","Ulster University","1,880","800","110","0","2,790"
"10007784","University College London","6,860","2,225","1,380","610","11,075"
"10007793","University of South Wales","3,210","125","110","5","3,450"
"10008574","The University of Wales (central functions)","125","5","0","0","130"
"10007163","The University of Warwick","4,670","720","565","130","6,085"
"10007164","University of the West of England, Bristol","3,110","165","125","70","3,475"
"10007800","The University of the West of Scotland","1,395","50","60","5","1,505"
"10006566","The University of West London","1,095","145","80","0","1,320"
"10007165","The University of Westminster","1,860","385","210","0","2,450"
"10003614","The University of Winchester","985","70","35","15","1,110"
"10007166","The University of Wolverhampton","2,185","75","115","10","2,380"
"10007139","University of Worcester","1,635","115","35","0","1,790"
"10007833","Wrexham University","575","20","40","0","635"
"10007657","Writtle University College","305","10","5","0","320"
"10007713","York St John University","720","30","25","0","775"
"10007167","The University of York","3,120","370","325","50","3,865"
"","Total","322,525","43,015","31,120","7,175","403,835"
