﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE provider","Wholly general financed by the provider","All other sources of finance","Total academic staff"
"10007783","The University of Aberdeen","1,340","355","1,695"
"10007849","Abertay University","210","5","215"
"10007856","Aberystwyth University","640","80","720"
"10067853","ACM Guildford Limited","115","0","115"
"10000163","AECC University College","95","0","95"
"10000291","Anglia Ruskin University","1,270","0","1,270"
"10005451","Arden University","780","0","780"
"10007759","Aston University","1,015","0","1,015"
"10038772","British Academy of Jewellery Limited","25","0","25"
"10007857","Bangor University","875","85","960"
"10000571","Bath Spa University","670","0","675"
"10007850","The University of Bath","1,530","90","1,615"
"10007152","University of Bedfordshire","510","55","565"
"10005343","Queen's University Belfast","1,285","835","2,120"
"10037544","BIMM University","140","0","140"
"10007760","Birkbeck College","815","60","875"
"10007140","Birmingham City University","1,980","85","2,065"
"10006840","The University of Birmingham","3,990","215","4,205"
"10000712","University College Birmingham","320","0","320"
"10007832","Birmingham Newman University","150","0","150"
"10007811","Bishop Grosseteste University","120","5","125"
"10004061","Bloomsbury Institute","40","0","40"
"10006841","The University of Bolton","570","10","580"
"10000385","The Arts University Bournemouth","410","5","415"
"10000824","Bournemouth University","1,005","10","1,015"
"10007785","The University of Bradford","620","20","640"
"10000886","The University of Brighton","1,335","40","1,375"
"10000936","The University College of Osteopathy","60","5","65"
"10007786","The University of Bristol","2,245","1,525","3,770"
"10000961","Brunel University London","1,465","10","1,475"
"10000975","Buckinghamshire New University","620","5","625"
"10007788","The University of Cambridge","1,620","4,470","6,090"
"10003324","The Institute of Cancer Research","205","455","660"
"10001143","Canterbury Christ Church University","745","20","765"
"10007814","Cardiff University","2,910","1,065","3,975"
"10007854","Cardiff Metropolitan University","870","20","885"
"10001264","Central School of Ballet","15","0","15"
"10007141","The University of Central Lancashire","1,640","70","1,710"
"10024024","Central Film School London","5","0","5"
"10007848","University of Chester","695","0","695"
"10007137","The University of Chichester","530","10","545"
"10001386","Chicken Shed Theatre Company","25","0","25"
"10001478","City, University of London","1,825","30","1,855"
"10007912","Cliff College","10","0","10"
"10066502","The College of Health Ltd","10","0","10"
"10007761","Courtauld Institute of Art","85","0","85"
"10034324","Court Theatre Training Company Ltd","10","0","10"
"10001726","Coventry University","2,425","0","2,425"
"10007822","Cranfield University","805","0","805"
"10006427","University for the Creative Arts","445","0","445"
"10007842","University of Cumbria","510","0","510"
"10015688","David Game College Ltd","35","0","35"
"10001883","De Montfort University","1,500","25","1,525"
"10007851","University of Derby","410","985","1,395"
"10007852","The University of Dundee","905","585","1,490"
"10007143","University of Durham","2,470","425","2,895"
"10007789","The University of East Anglia","1,735","355","2,090"
"10007144","The University of East London","1,135","5","1,140"
"10032282","The Queen's Foundation for Ecumenical Theological Education","15","0","15"
"10007823","Edge Hill University","1,025","0","1,025"
"10007772","Edinburgh Napier University","1,025","0","1,025"
"10007790","The University of Edinburgh","6,055","2,380","8,430"
"10042570","Escape Studios","30","0","30"
"10007791","The University of Essex","1,435","125","1,560"
"10008173","University College of Estate Management","95","5","100"
"10007792","The University of Exeter","3,050","860","3,915"
"10008640","Falmouth University","420","30","445"
"10004511","The National Film and Television School","75","5","80"
"10022087","Futureworks","20","0","20"
"10007762","Glasgow Caledonian University","775","50","825"
"10002681","Glasgow School of Art","240","0","240"
"10007794","The University of Glasgow","4,475","1,325","5,795"
"10007145","University of Gloucestershire","690","0","695"
"10002718","Goldsmiths College","1,260","0","1,260"
"10007146","The University of Greenwich","1,240","5","1,245"
"10007825","Guildhall School of Music and Drama","835","0","835"
"10040812","Harper Adams University","260","0","260"
"10080811","Hartpury University","205","0","205"
"10007764","Heriot-Watt University","905","60","965"
"10007147","University of Hertfordshire","2,100","150","2,250"
"10007148","The University of Huddersfield","845","0","845"
"10007149","The University of Hull","800","190","990"
"10003239","ICON College of Technology and Management","30","0","30"
"10003270","Imperial College of Science, Technology and Medicine","1,755","2,785","4,540"
"10057622","The School of Information Risk Management","10","0","10"
"10013220","Institute of Art - London Limited","20","0","20"
"10035638","Institute of Contemporary Music Performance","15","0","15"
"10082728","INTO University Partnerships Limited","200","0","200"
"10082570","Kaplan International Colleges U.K. Limited","510","0","510"
"10021682","Kaplan Open Learning (Essex) Limited","30","0","30"
"10007767","Keele University","775","180","955"
"10007150","The University of Kent","1,145","160","1,305"
"10003645","King's College London","4,280","1,920","6,200"
"10003678","Kingston University","950","50","1,000"
"10003758","LAMDA Limited","75","0","75"
"10007768","The University of Lancaster","1,875","445","2,320"
"10003854","Leeds Arts University","170","0","170"
"10003861","Leeds Beckett University","1,400","155","1,555"
"10034449","Leeds Conservatoire","170","0","170"
"10007795","The University of Leeds","3,220","725","3,940"
"10003863","Leeds Trinity University","265","0","265"
"10082828","College of Legal Practice Limited","10","0","10"
"10007796","The University of Leicester","1,390","570","1,960"
"10089591","LIBF Limited","40","0","40"
"10007151","The University of Lincoln","1,525","135","1,655"
"10036456","Academy of Live Technology Ltd","15","0","15"
"10003956","Liverpool Hope University","330","0","330"
"10003957","Liverpool John Moores University","1,770","60","1,830"
"10031239","LMA","35","0","35"
"10003945","The Liverpool Institute for Performing Arts","95","0","95"
"10006842","The University of Liverpool","2,100","1,225","3,325"
"10003958","Liverpool School of Tropical Medicine","60","180","245"
"10007162","University of the Arts, London","2,800","0","2,800"
"10007769","London Business School","110","0","110"
"10007797","University of London (Institutes and activities)","75","25","100"
"10004036","London Film School Limited","40","0","40"
"10004048","London Metropolitan University","550","5","555"
"10004078","London South Bank University","1,215","0","1,215"
"10004063","London School of Economics and Political Science","1,920","0","1,920"
"10007771","London School of Hygiene and Tropical Medicine","220","830","1,050"
"10022285","London School of Management Education","20","0","20"
"10004075","London School of Theology","25","0","25"
"10062810","The London School of Architecture","5","0","5"
"10067623","The London Interdisciplinary School Ltd","20","0","20"
"10004113","Loughborough University","1,415","275","1,690"
"10009612","Luther King House Educational Trust","0","0","0"
"10004180","The Manchester Metropolitan University","2,170","450","2,620"
"10007798","The University of Manchester","3,230","2,080","5,310"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","0","0","0"
"10020416","Missio Dei","0","5","5"
"10030776","St Mellitus College","30","0","30"
"10004320","The Metanoia Institute","90","0","90"
"10004351","Middlesex University","810","10","820"
"10023777","Mont Rose College of Management and Sciences","40","0","40"
"10023454","Moorlands College","20","0","20"
"10001444","National Centre for Circus Arts","30","0","30"
"10004538","Nazarene Theological College","15","5","20"
"10030129","Nelson College London Ltd","15","0","15"
"10007799","Newcastle University","2,970","60","3,030"
"10067406","New Model Institute for Technology and Engineering (NMITE)","15","5","20"
"10048199","Northeastern University London","165","0","165"
"10007138","The University of Northampton","1,050","0","1,050"
"10008816","Northern School of Contemporary Dance","20","0","20"
"10001282","University of Northumbria at Newcastle","1,665","145","1,810"
"10004775","Norwich University of the Arts","275","0","275"
"10007154","University of Nottingham","2,755","1,095","3,855"
"10004797","The Nottingham Trent University","2,800","80","2,880"
"10007773","The Open University","5,410","85","5,495"
"10004930","Oxford Brookes University","1,565","65","1,625"
"10007774","The University of Oxford","2,225","4,995","7,220"
"10004028","The Place, London Contemporary Dance School (LCDS)","35","0","35"
"10005127","Arts University Plymouth","110","0","110"
"10007801","University of Plymouth","1,600","160","1,755"
"10019178","Point Blank Music School","95","0","95"
"10007155","The University of Portsmouth","1,755","0","1,755"
"10005337","Queen Margaret University, Edinburgh","335","0","335"
"10007775","Queen Mary University of London","2,720","1,020","3,745"
"10009292","Royal Academy of Dramatic Art","65","0","65"
"10005378","Rambert School","15","0","15"
"10005389","Ravensbourne University London","260","0","260"
"10007802","The University of Reading","1,355","295","1,645"
"10008455","Regent College London","265","0","265"
"10005500","Robert Gordon University","685","0","685"
"10007776","Roehampton University","425","0","425"
"10005523","Rose Bruford College of Theatre and Performance","95","0","95"
"10007835","Royal Academy of Music","295","10","305"
"10005545","Royal Agricultural University","55","0","55"
"10007777","Royal College of Art","460","0","460"
"10007778","Royal College of Music","295","5","300"
"10005561","Royal Conservatoire of Scotland","365","0","365"
"10007816","The Royal Central School of Speech and Drama","90","0","90"
"10005553","Royal Holloway and Bedford New College","1,145","115","1,260"
"10007837","Royal Northern College of Music","325","0","325"
"10007779","The Royal Veterinary College","270","25","300"
"10007803","The University of St. Andrews","1,035","315","1,345"
"10007839","SAE Education Limited","60","0","60"
"10007782","St George's, University of London","295","160","455"
"10008026","St Mary's University College","65","0","65"
"10007843","St Mary's University, Twickenham","480","0","480"
"10007156","The University of Salford","1,300","0","1,300"
"10007780","SOAS University of London","605","10","615"
"10005700","SRUC","520","0","520"
"10005790","Sheffield Hallam University","1,940","215","2,155"
"10007157","The University of Sheffield","1,980","1,815","3,795"
"10006022","Solent University","535","0","535"
"10007158","The University of Southampton","1,880","915","2,800"
"10088214","S P Jain London School of Management Limited","5","0","5"
"10006093","Spurgeon's College","15","0","15"
"10006299","Staffordshire University","1,050","0","1,055"
"10007804","The University of Stirling","690","325","1,015"
"10037449","University of St Mark and St John","135","0","135"
"10008010","Stranmillis University College","75","0","75"
"10007805","The University of Strathclyde","1,365","640","2,005"
"10014001","University of Suffolk","265","20","285"
"10007159","The University of Sunderland","1,490","45","1,535"
"10007160","The University of Surrey","1,340","320","1,660"
"10007806","The University of Sussex","2,025","10","2,035"
"10007855","Swansea University","1,300","445","1,740"
"10083403","The Engineering and Design Institute London","15","0","15"
"10007161","Teesside University","860","230","1,095"
"10082743","ThinkSpace Education Limited","10","0","10"
"10008017","Trinity Laban Conservatoire of Music and Dance","350","0","350"
"10007858","University of Wales Trinity Saint David","925","40","965"
"10067648","University Academy 92 Limited","45","0","45"
"10007114","University of the Highlands and Islands","65","15","80"
"10007807","Ulster University","950","490","1,440"
"10039956","The University of Law","625","0","625"
"10007784","University College London","7,025","3,325","10,350"
"10007793","University of South Wales","1,730","130","1,860"
"10029843","Waltham International College Limited","45","5","45"
"10007163","The University of Warwick","2,770","1,005","3,780"
"10007361","Waverley Abbey College","20","0","20"
"10007164","University of the West of England, Bristol","2,395","75","2,470"
"10007800","The University of the West of Scotland","790","5","795"
"10006566","The University of West London","1,065","20","1,080"
"10007165","The University of Westminster","1,980","0","1,980"
"10003614","The University of Winchester","750","0","750"
"10007166","The University of Wolverhampton","770","0","770"
"10007139","University of Worcester","740","0","740"
"10007833","Wrexham University","240","0","240"
"10007657","Writtle University College","115","0","115"
"10007713","York St John University","505","0","505"
"10007167","The University of York","1,900","750","2,655"
"","Total","197,985","48,945","246,930"
