﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE provider","Teaching only","Research only","Both teaching and research","Neither teaching nor research","Total academic staff"
"10007783","The University of Aberdeen","550","395","745","0","1,695"
"10007849","Abertay University","15","15","180","10","215"
"10007856","Aberystwyth University","275","130","310","0","720"
"10067853","ACM Guildford Limited","115","0","0","5","115"
"10000163","AECC University College","0","0","90","5","95"
"10000291","Anglia Ruskin University","285","75","900","5","1,270"
"10005451","Arden University","735","0","0","40","780"
"10007759","Aston University","385","175","455","0","1,015"
"10038772","British Academy of Jewellery Limited","25","0","0","0","25"
"10007857","Bangor University","450","210","295","5","960"
"10000571","Bath Spa University","215","15","440","5","675"
"10007850","The University of Bath","490","320","800","5","1,615"
"10007152","University of Bedfordshire","100","35","415","15","565"
"10005343","Queen's University Belfast","380","685","1,060","0","2,120"
"10037544","BIMM University","130","0","0","10","140"
"10007760","Birkbeck College","445","100","335","0","875"
"10007140","Birmingham City University","710","40","1,315","5","2,065"
"10006840","The University of Birmingham","1,265","1,210","1,690","35","4,205"
"10000712","University College Birmingham","320","0","0","0","320"
"10007832","Birmingham Newman University","0","0","140","10","150"
"10007811","Bishop Grosseteste University","40","5","75","5","125"
"10004061","Bloomsbury Institute","40","0","0","0","40"
"10006841","The University of Bolton","40","5","520","15","580"
"10000385","The Arts University Bournemouth","255","5","155","0","415"
"10000824","Bournemouth University","205","35","765","10","1,015"
"10007785","The University of Bradford","25","45","565","5","640"
"10000886","The University of Brighton","170","85","1,115","0","1,375"
"10000936","The University College of Osteopathy","55","5","0","0","65"
"10007786","The University of Bristol","845","1,375","1,515","35","3,770"
"10000961","Brunel University London","625","140","705","0","1,475"
"10000975","Buckinghamshire New University","300","5","315","5","625"
"10007788","The University of Cambridge","390","3,985","1,710","0","6,090"
"10003324","The Institute of Cancer Research","0","570","85","0","660"
"10001143","Canterbury Christ Church University","5","15","710","35","765"
"10007814","Cardiff University","1,650","910","1,410","0","3,975"
"10007854","Cardiff Metropolitan University","220","30","635","5","885"
"10001264","Central School of Ballet","15","0","0","0","15"
"10007141","The University of Central Lancashire","255","120","1,325","10","1,710"
"10024024","Central Film School London","5","0","0","0","5"
"10007848","University of Chester","5","20","665","5","695"
"10007137","The University of Chichester","265","5","270","0","545"
"10001386","Chicken Shed Theatre Company","20","0","5","0","25"
"10001478","City, University of London","1,050","145","660","0","1,855"
"10007912","Cliff College","0","0","10","0","10"
"10066502","The College of Health Ltd","10","0","0","0","10"
"10007761","Courtauld Institute of Art","35","5","45","0","85"
"10034324","Court Theatre Training Company Ltd","10","0","0","0","10"
"10001726","Coventry University","1,950","0","475","0","2,425"
"10007822","Cranfield University","105","310","390","5","805"
"10006427","University for the Creative Arts","130","0","295","15","445"
"10007842","University of Cumbria","15","5","475","20","510"
"10015688","David Game College Ltd","35","0","0","0","35"
"10001883","De Montfort University","410","10","1,105","0","1,525"
"10007851","University of Derby","480","5","900","5","1,395"
"10007852","The University of Dundee","435","530","515","10","1,490"
"10007143","University of Durham","1,165","475","1,240","20","2,895"
"10007789","The University of East Anglia","1,085","345","660","0","2,090"
"10007144","The University of East London","445","35","635","20","1,140"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","5","10","0","15"
"10007823","Edge Hill University","320","10","695","0","1,025"
"10007772","Edinburgh Napier University","240","70","715","0","1,025"
"10007790","The University of Edinburgh","3,665","2,270","2,490","5","8,430"
"10042570","Escape Studios","25","0","0","5","30"
"10007791","The University of Essex","605","140","810","0","1,560"
"10008173","University College of Estate Management","80","0","10","15","100"
"10007792","The University of Exeter","1,545","990","1,380","0","3,915"
"10008640","Falmouth University","130","5","315","0","445"
"10004511","The National Film and Television School","40","0","0","40","80"
"10022087","Futureworks","20","0","0","0","20"
"10007762","Glasgow Caledonian University","35","80","705","10","825"
"10002681","Glasgow School of Art","0","20","215","5","240"
"10007794","The University of Glasgow","2,795","1,380","1,605","20","5,795"
"10007145","University of Gloucestershire","530","30","130","5","695"
"10002718","Goldsmiths College","735","45","480","0","1,260"
"10007146","The University of Greenwich","215","35","995","0","1,245"
"10007825","Guildhall School of Music and Drama","705","0","35","95","835"
"10040812","Harper Adams University","190","0","60","10","260"
"10080811","Hartpury University","170","0","20","15","205"
"10007764","Heriot-Watt University","215","285","455","10","965"
"10007147","University of Hertfordshire","845","35","1,340","30","2,250"
"10007148","The University of Huddersfield","25","140","675","0","845"
"10007149","The University of Hull","470","110","405","5","990"
"10003239","ICON College of Technology and Management","30","0","0","0","30"
"10003270","Imperial College of Science, Technology and Medicine","500","2,470","1,560","10","4,540"
"10057622","The School of Information Risk Management","10","0","0","0","10"
"10013220","Institute of Art - London Limited","0","0","20","0","20"
"10035638","Institute of Contemporary Music Performance","15","0","0","0","15"
"10082728","INTO University Partnerships Limited","200","0","0","0","200"
"10082570","Kaplan International Colleges U.K. Limited","500","0","0","10","510"
"10021682","Kaplan Open Learning (Essex) Limited","0","0","0","30","30"
"10007767","Keele University","420","105","425","0","955"
"10007150","The University of Kent","490","200","615","5","1,305"
"10003645","King's College London","2,150","1,935","2,115","0","6,200"
"10003678","Kingston University","75","30","895","0","1,000"
"10003758","LAMDA Limited","75","0","0","0","75"
"10007768","The University of Lancaster","860","440","995","20","2,320"
"10003854","Leeds Arts University","140","5","20","5","170"
"10003861","Leeds Beckett University","485","10","1,065","0","1,555"
"10034449","Leeds Conservatoire","160","0","0","10","170"
"10007795","The University of Leeds","985","1,100","1,855","0","3,940"
"10003863","Leeds Trinity University","20","0","245","0","265"
"10082828","College of Legal Practice Limited","5","0","0","0","10"
"10007796","The University of Leicester","680","510","765","0","1,960"
"10089591","LIBF Limited","5","0","20","15","40"
"10007151","The University of Lincoln","1,110","120","430","0","1,655"
"10036456","Academy of Live Technology Ltd","10","0","5","5","15"
"10003956","Liverpool Hope University","125","0","200","5","330"
"10003957","Liverpool John Moores University","390","165","1,275","0","1,830"
"10031239","LMA","30","0","0","5","35"
"10003945","The Liverpool Institute for Performing Arts","95","0","0","0","95"
"10006842","The University of Liverpool","1,045","890","1,380","10","3,325"
"10003958","Liverpool School of Tropical Medicine","15","150","80","0","245"
"10007162","University of the Arts, London","460","0","2,340","0","2,800"
"10007769","London Business School","0","5","105","0","110"
"10007797","University of London (Institutes and activities)","15","25","45","15","100"
"10004036","London Film School Limited","30","0","0","15","40"
"10004048","London Metropolitan University","205","0","330","20","555"
"10004078","London South Bank University","850","50","310","5","1,215"
