﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE provider","Open-ended/Permanent","Fixed-term","Total academic staff"
"10007783","The University of Aberdeen","1,505","155","1,655"
"10007849","Abertay University","180","35","215"
"10007856","Aberystwyth University","515","220","735"
"10067853","ACM Guildford Limited","125","0","125"
"10000163","AECC University College","80","0","80"
"10000291","Anglia Ruskin University","990","115","1,105"
"10005451","Arden University","365","110","470"
"10007759","Aston University","755","200","960"
"10038772","British Academy of Jewellery Limited","20","0","20"
"10007857","Bangor University","570","530","1,095"
"10000571","Bath Spa University","455","210","660"
"10007850","The University of Bath","985","585","1,570"
"10007152","University of Bedfordshire","485","60","540"
"10005343","Queen's University Belfast","1,315","715","2,030"
"10037544","BIMM University","190","15","205"
"10007760","Birkbeck College","550","410","960"
"10007140","Birmingham City University","1,210","810","2,025"
"10006840","The University of Birmingham","2,435","1,825","4,260"
"10000712","University College Birmingham","245","15","260"
"10007832","Birmingham Newman University","125","10","135"
"10007811","Bishop Grosseteste University","95","15","115"
"10004061","Bloomsbury Institute","25","20","50"
"10006841","The University of Bolton","485","45","530"
"10000385","The Arts University Bournemouth","405","20","425"
"10000824","Bournemouth University","785","260","1,045"
"10007785","The University of Bradford","550","60","610"
"10000886","The University of Brighton","1,140","300","1,440"
"10000936","The University College of Osteopathy","60","5","65"
"10007786","The University of Bristol","3,285","390","3,675"
"10000961","Brunel University London","790","590","1,380"
"10000975","Buckinghamshire New University","400","165","570"
"10007788","The University of Cambridge","3,285","2,655","5,940"
"10003324","The Institute of Cancer Research","315","375","690"
"10001143","Canterbury Christ Church University","675","65","740"
"10007814","Cardiff University","2,590","825","3,410"
"10007854","Cardiff Metropolitan University","770","115","885"
"10001264","Central School of Ballet","15","0","15"
"10007141","The University of Central Lancashire","1,495","285","1,780"
"10024024","Central Film School London","5","0","5"
"10007848","University of Chester","565","150","710"
"10007137","The University of Chichester","380","185","565"
"10001386","Chicken Shed Theatre Company","25","0","25"
"10001478","City, University of London","1,590","235","1,830"
"10007912","Cliff College","10","0","10"
"10066502","The College of Health Ltd","10","0","10"
"10007761","Courtauld Institute of Art","40","50","90"
"10034324","Court Theatre Training Company Ltd","0","10","10"
"10001726","Coventry University","2,250","755","3,005"
"10007822","Cranfield University","565","185","755"
"10006427","University for the Creative Arts","390","70","460"
"10007842","University of Cumbria","415","160","575"
"10015688","David Game College Ltd","30","0","30"
"10001883","De Montfort University","1,290","220","1,510"
"10007851","University of Derby","1,440","50","1,490"
"10007852","The University of Dundee","1,120","320","1,440"
"10007143","University of Durham","1,530","1,000","2,530"
"10007789","The University of East Anglia","1,265","740","2,005"
"10007144","The University of East London","620","435","1,055"
"10032282","The Queen's Foundation for Ecumenical Theological Education","15","0","15"
"10007823","Edge Hill University","645","325","970"
"10007772","Edinburgh Napier University","695","245","940"
"10007790","The University of Edinburgh","3,915","3,955","7,870"
"10042570","Escape Studios","30","0","35"
"10007791","The University of Essex","1,120","420","1,540"
"10008173","University College of Estate Management","45","65","110"
"10007792","The University of Exeter","2,255","1,505","3,760"
"10008640","Falmouth University","405","30","430"
"10004511","The National Film and Television School","60","15","75"
"10022087","Futureworks","20","0","20"
"10007762","Glasgow Caledonian University","710","100","810"
"10002681","Glasgow School of Art","210","35","245"
"10007794","The University of Glasgow","3,310","2,275","5,585"
"10007145","University of Gloucestershire","495","200","695"
"10002718","Goldsmiths College","620","555","1,170"
"10007146","The University of Greenwich","1,070","80","1,155"
"10007825","Guildhall School of Music and Drama","665","140","805"
"10040812","Harper Adams University","215","20","235"
"10080811","Hartpury University","160","25","180"
"10007764","Heriot-Watt University","765","160","925"
"10007147","University of Hertfordshire","2,040","155","2,195"
"10007148","The University of Huddersfield","830","115","945"
