﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","Female","Male","Other","Total academic staff"
"10007783","The University of Aberdeen","660","765","0","1,430"
"10007849","Abertay University","90","125","0","215"
"10007856","Aberystwyth University","370","380","0","750"
"10000163","AECC University College","25","30","0","55"
"10000291","Anglia Ruskin University","505","400","0","900"
"10007759","Aston University","325","520","0","845"
"10007857","Bangor University","550","470","0","1,020"
"10000571","Bath Spa University","350","325","0","675"
"10007850","The University of Bath","535","935","0","1,465"
"10007152","University of Bedfordshire","320","210","0","530"
"10005343","Queen's University Belfast","825","1,080","0","1,905"
"10007760","Birkbeck College","595","605","0","1,200"
"10007140","Birmingham City University","970","940","0","1,910"
"10006840","The University of Birmingham","1,760","2,260","0","4,020"
"10000712","University College Birmingham","185","110","0","295"
"10007832","Birmingham Newman University","70","70","0","145"
"10007811","Bishop Grosseteste University","75","35","0","110"
"10006841","The University of Bolton","170","195","0","365"
"10000385","The Arts University Bournemouth","195","190","0","380"
"10000824","Bournemouth University","465","470","0","935"
"10007785","The University of Bradford","250","295","0","545"
"10000886","The University of Brighton","900","760","0","1,665"
"10000936","The University College of Osteopathy","40","60","0","100"
"10007786","The University of Bristol","1,445","1,840","0","3,285"
"10000961","Brunel University London","460","680","0","1,145"
"10000975","Buckinghamshire New University","205","190","0","395"
"10007787","The University of Buckingham","75","100","0","175"
"10007788","The University of Cambridge","2,590","3,620","0","6,215"
"10003324","The Institute of Cancer Research","385","280","0","665"
"10001143","Canterbury Christ Church University","455","300","0","755"
"10007814","Cardiff University","1,540","1,790","0","3,330"
"10007854","Cardiff Metropolitan University","385","325","0","715"
"10007141","The University of Central Lancashire","825","780","0","1,610"
