﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE provider","Female","Male","Other","Not known","Total academic staff"
"10007783","The University of Aberdeen","820","875","0","0","1,695"
"10007849","Abertay University","95","120","0","0","215"
"10007856","Aberystwyth University","355","365","0","0","720"
"10067853","ACM Guildford Limited","30","90","0","0","115"
"10000163","AECC University College","50","45","0","0","95"
"10000291","Anglia Ruskin University","740","530","0","0","1,270"
"10005451","Arden University","405","365","0","10","780"
"10007759","Aston University","460","555","0","0","1,015"
"10038772","British Academy of Jewellery Limited","15","10","0","0","25"
"10007857","Bangor University","525","430","5","0","960"
"10000571","Bath Spa University","365","300","10","0","675"
"10007850","The University of Bath","645","970","0","0","1,615"
"10007152","University of Bedfordshire","330","240","0","0","565"
"10005343","Queen's University Belfast","970","1,145","5","0","2,120"
"10037544","BIMM University","50","90","0","0","140"
"10007760","Birkbeck College","465","380","5","25","875"
"10007140","Birmingham City University","1,085","980","0","0","2,065"
"10006840","The University of Birmingham","1,900","2,300","0","0","4,205"
"10000712","University College Birmingham","205","115","0","0","320"
"10007832","Birmingham Newman University","75","70","5","0","150"
"10007811","Bishop Grosseteste University","80","40","0","0","125"
"10004061","Bloomsbury Institute","15","25","0","0","40"
"10006841","The University of Bolton","315","265","0","0","580"
"10000385","The Arts University Bournemouth","225","190","0","0","415"
"10000824","Bournemouth University","520","495","0","0","1,015"
"10007785","The University of Bradford","305","335","0","0","640"
"10000886","The University of Brighton","805","570","0","0","1,375"
"10000936","The University College of Osteopathy","30","35","0","0","65"
"10007786","The University of Bristol","1,815","1,955","0","0","3,770"
"10000961","Brunel University London","665","805","0","0","1,475"
"10000975","Buckinghamshire New University","345","280","0","0","625"
"10007788","The University of Cambridge","2,605","3,475","10","0","6,090"
"10003324","The Institute of Cancer Research","385","275","0","0","660"
"10001143","Canterbury Christ Church University","470","295","0","0","765"
"10007814","Cardiff University","1,945","2,030","0","0","3,975"
"10007854","Cardiff Metropolitan University","470","420","0","0","885"
"10001264","Central School of Ballet","10","5","0","0","15"
"10007141","The University of Central Lancashire","930","785","0","0","1,710"
"10024024","Central Film School London","0","5","0","0","5"
"10007848","University of Chester","420","265","5","0","695"
"10007137","The University of Chichester","300","245","0","0","545"
"10001386","Chicken Shed Theatre Company","10","15","0","0","25"
"10001478","City, University of London","915","935","0","0","1,855"
"10007912","Cliff College","5","5","0","0","10"
"10066502","The College of Health Ltd","10","5","0","0","10"
"10007761","Courtauld Institute of Art","65","25","0","0","85"
"10034324","Court Theatre Training Company Ltd","5","10","0","0","10"
"10001726","Coventry University","1,075","1,150","5","195","2,425"
"10007822","Cranfield University","200","605","0","0","805"
"10006427","University for the Creative Arts","210","230","5","0","445"
"10007842","University of Cumbria","300","210","0","0","510"
"10015688","David Game College Ltd","15","20","0","0","35"
"10001883","De Montfort University","815","710","5","0","1,525"
"10007851","University of Derby","755","640","0","0","1,395"
"10007852","The University of Dundee","725","745","0","20","1,490"
"10007143","University of Durham","1,270","1,625","0","0","2,895"
