﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2014/15 
Search:,


"UKPRN","HE provider","Female","Male","Other","Total academic staff"
"10007783","The University of Aberdeen","740","925","0","1,665"
"10007849","Abertay University","85","125","0","210"
"10007856","Aberystwyth University","410","530","0","940"
"10000291","Anglia Ruskin University","415","370","0","780"
"10007759","Aston University","245","415","0","660"
"10007857","Bangor University","560","485","0","1,045"
"10000571","Bath Spa University","300","270","0","570"
"10007850","The University of Bath","435","850","0","1,285"
"10007152","University of Bedfordshire","380","300","0","680"
"10005343","Queen's University Belfast","700","1,005","0","1,705"
"10007760","Birkbeck College","475","490","0","965"
"10007140","Birmingham City University","740","840","0","1,580"
"10006840","The University of Birmingham","1,515","1,995","0","3,510"
"10000712","University College Birmingham","185","105","0","290"
"10007832","Birmingham Newman University","75","75","0","155"
"10007811","Bishop Grosseteste University","50","30","0","80"
"10006841","The University of Bolton","110","195","0","305"
"10000385","The Arts University Bournemouth","155","165","0","325"
"10000824","Bournemouth University","415","410","0","830"
"10007785","The University of Bradford","290","350","0","640"
"10000886","The University of Brighton","910","835","0","1,745"
"10007786","The University of Bristol","1,280","1,615","0","2,895"
"10000961","Brunel University London","450","755","0","1,200"
"10000975","Buckinghamshire New University","245","240","0","485"
"10007787","The University of Buckingham","65","95","0","160"
"10007788","The University of Cambridge","2,275","3,415","0","5,690"
"10003324","The Institute of Cancer Research","365","275","0","640"
"10001143","Canterbury Christ Church University","410","315","0","730"
"10007814","Cardiff University","1,485","1,895","0","3,380"
"10007854","Cardiff Metropolitan University","370","350","0","720"
"10007141","The University of Central Lancashire","670","710","0","1,380"
"10007848","University of Chester","320","280","0","600"
"10007137","The University of Chichester","260","235","0","500"
"10001478","City, University of London","725","1,005","0","1,730"
"10001653","Conservatoire for Dance and Drama","145","115","0","260"
"10007761","Courtauld Institute of Art","25","15","0","35"
"10001726","Coventry University","900","1,100","0","2,000"
"10007822","Cranfield University","150","510","0","660"
"10006427","University for the Creative Arts","160","200","0","360"
"10007842","University of Cumbria","240","180","0","420"
"10001883","De Montfort University","570","645","0","1,215"
"10007851","University of Derby","655","595","0","1,250"
"10007852","The University of Dundee","685","850","0","1,535"
"10007143","University of Durham","620","1,070","0","1,690"
"10007789","The University of East Anglia","835","870","0","1,700"
"10007144","The University of East London","435","475","0","910"
"10007823","Edge Hill University","630","370","0","1,000"
"10007772","Edinburgh Napier University","390","460","0","850"
"10007790","The University of Edinburgh","1,830","2,450","0","4,280"
"10007791","The University of Essex","480","630","0","1,115"
"10007792","The University of Exeter","805","1,060","0","1,860"
"10008640","Falmouth University","110","130","0","235"
"10007762","Glasgow Caledonian University","430","335","0","770"
"10002681","Glasgow School of Art","85","105","0","190"
"10007794","The University of Glasgow","1,495","1,685","0","3,175"
"10007145","University of Gloucestershire","310","335","0","650"
"10002718","Goldsmiths College","530","480","0","1,010"
"10007146","The University of Greenwich","555","675","0","1,230"
