﻿Title:,"Table 8 - HE academic staff by HE provider and highest qualification held"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 8
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-8
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-8.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2014/15 
Search:,


"UKPRN","HE Provider","Doctorate","Other higher degree","Other postgraduate qualification","First degree","Other undergraduate qualification","Other","Unknown","Total academic staff"
"10007783","The University of Aberdeen","1,195","125","55","190","45","10","45","1,665"
"10007849","Abertay University","105","30","20","50","0","5","0","210"
"10007856","Aberystwyth University","495","85","120","150","30","55","0","940"
"10000291","Anglia Ruskin University","415","210","70","65","10","10","0","780"
"10007759","Aston University","445","70","40","50","5","5","45","660"
"10007857","Bangor University","605","230","65","110","20","10","10","1,045"
"10000571","Bath Spa University","175","160","95","60","10","5","65","570"
"10007850","The University of Bath","825","50","90","55","10","10","245","1,285"
"10007152","University of Bedfordshire","265","170","95","85","20","5","40","680"
"10005343","Queen's University Belfast","1,305","205","30","160","5","0","0","1,705"
"10007760","Birkbeck College","610","240","15","70","5","0","25","965"
"10007140","Birmingham City University","290","535","345","260","45","85","20","1,580"
"10006840","The University of Birmingham","2,255","650","155","370","50","25","0","3,510"
"10000712","University College Birmingham","15","95","50","55","55","20","0","290"
"10007832","Birmingham Newman University","50","20","25","45","5","0","0","155"
"10007811","Bishop Grosseteste University","30","35","10","5","0","0","0","80"
"10006841","The University of Bolton","110","90","50","40","5","5","0","305"
"10000385","The Arts University Bournemouth","15","135","15","110","25","20","0","325"
"10000824","Bournemouth University","440","195","45","105","20","10","5","830"
"10007785","The University of Bradford","410","145","25","45","10","0","5","640"
"10000886","The University of Brighton","705","535","165","190","30","10","110","1,745"
"10007786","The University of Bristol","2,230","290","105","170","10","10","85","2,895"
"10000961","Brunel University London","720","265","40","85","20","15","55","1,200"
"10000975","Buckinghamshire New University","105","225","55","70","20","5","5","485"
"10007787","The University of Buckingham","55","35","5","25","0","0","35","160"
"10007788","The University of Cambridge","2,805","455","145","260","40","15","1,970","5,690"
"10003324","The Institute of Cancer Research","360","60","80","105","15","15","5","640"
"10001143","Canterbury Christ Church University","250","260","90","105","10","5","10","730"
"10007814","Cardiff University","1,440","365","195","200","20","25","1,145","3,380"
"10007854","Cardiff Metropolitan University","235","195","100","130","10","10","35","720"
"10007141","The University of Central Lancashire","440","360","145","200","5","20","220","1,380"
"10007848","University of Chester","290","220","70","20","5","0","0","600"
"10007137","The University of Chichester","100","170","95","80","35","20","0","500"
"10001478","City, University of London","790","370","310","160","40","35","30","1,730"
"10001653","Conservatoire for Dance and Drama","5","25","80","65","40","35","15","260"
"10007761","Courtauld Institute of Art","30","0","5","0","0","0","0","35"
"10001726","Coventry University","700","455","355","195","45","40","210","2,000"
"10007822","Cranfield University","400","115","55","55","10","20","10","660"
"10006427","University for the Creative Arts","30","105","125","60","20","20","5","360"
"10007842","University of Cumbria","100","190","80","25","5","0","20","420"
"10001883","De Montfort University","410","355","210","150","40","20","30","1,215"
"10007851","University of Derby","295","380","225","195","110","45","0","1,250"
"10007852","The University of Dundee","875","245","60","235","35","80","5","1,535"
"10007143","University of Durham","1,280","255","20","100","15","15","10","1,690"
"10007789","The University of East Anglia","1,010","365","80","180","15","15","40","1,700"
"10007144","The University of East London","320","215","75","90","5","10","190","910"
"10007823","Edge Hill University","245","405","225","105","15","0","5","1,000"
"10007772","Edinburgh Napier University","310","220","120","145","25","10","20","850"
"10007790","The University of Edinburgh","1,970","330","380","355","80","55","1,110","4,280"
"10007791","The University of Essex","560","290","110","65","15","15","65","1,115"
"10007792","The University of Exeter","1,290","260","65","90","5","20","130","1,860"
"10008640","Falmouth University","50","95","40","40","5","10","0","235"
"10007762","Glasgow Caledonian University","395","185","60","95","10","10","15","770"
"10002681","Glasgow School of Art","30","60","35","55","10","0","5","190"
"10007794","The University of Glasgow","2,200","250","120","345","30","15","215","3,175"
"10007145","University of Gloucestershire","235","200","90","70","15","5","25","650"
"10002718","Goldsmiths College","390","255","25","80","20","5","230","1,010"
"10007146","The University of Greenwich","495","315","75","90","15","0","240","1,230"
"10007825","Guildhall School of Music and Drama","35","110","185","165","50","30","0","575"
"10040812","Harper Adams University","70","25","5","40","10","5","0","155"
"10007764","Heriot-Watt University","580","15","5","5","0","0","190","795"
"10007147","University of Hertfordshire","470","570","105","250","30","40","30","1,490"
"10007765","Heythrop College","65","10","5","0","0","0","0","80"
"10007148","The University of Huddersfield","480","250","40","35","5","5","10","815"
"10007149","The University of Hull","690","160","100","90","5","5","10","1,065"
"10003270","Imperial College of Science, Technology and Medicine","3,275","640","60","260","10","10","100","4,350"
"10007766","Institute of Education","270","145","35","10","0","0","0","465"
"10007767","Keele University","465","140","125","100","20","5","0","855"
"10007150","The University of Kent","875","610","75","315","10","30","60","1,970"
"10003645","King's College London","2,545","1,235","150","415","30","10","120","4,510"
"10003678","Kingston University","490","130","90","50","10","165","60","995"
"10007768","The University of Lancaster","1,100","205","190","160","10","55","15","1,735"
"10003854","Leeds Arts University","5","55","45","40","10","0","0","160"
"10003861","Leeds Beckett University","435","450","295","170","25","10","20","1,410"
"10007795","The University of Leeds","1,965","570","45","310","55","225","125","3,290"
"10003863","Leeds Trinity University","60","55","20","15","0","0","0","145"
"10007796","The University of Leicester","1,065","340","5","230","10","40","5","1,700"
"10007151","The University of Lincoln","380","305","70","120","25","25","15","945"
"10003956","Liverpool Hope University","200","50","10","5","0","0","0","265"
"10003957","Liverpool John Moores University","540","360","110","195","45","20","35","1,310"
"10003945","The Liverpool Institute for Performing Arts","0","20","0","25","5","5","0","60"
"10006842","The University of Liverpool","1,870","450","120","255","15","10","0","2,720"
"10003958","Liverpool School of Tropical Medicine","125","45","30","20","5","0","25","255"
"10007162","University of the Arts, London","100","130","340","215","55","40","1,000","1,885"
"10007769","London Business School","95","0","0","10","0","0","0","105"
"10007797","University of London (Institutes and activities)","65","10","5","0","0","0","0","80"
"10004048","London Metropolitan University","230","225","95","55","15","10","15","640"
"10004078","London South Bank University","245","315","165","55","10","15","230","1,035"
"10004063","London School of Economics and Political Science","820","590","40","95","0","0","95","1,645"
"10007771","London School of Hygiene and Tropical Medicine","510","230","50","10","0","0","0","800"
"10004113","Loughborough University","970","115","90","90","35","15","115","1,430"
"10004180","The Manchester Metropolitan University","775","460","640","380","95","45","35","2,435"
"10007798","The University of Manchester","3,610","545","225","365","40","20","145","4,945"
"10004351","Middlesex University","495","220","120","130","15","5","0","980"
"10007799","Newcastle University","1,680","340","20","390","15","235","120","2,800"
"10007138","The University of Northampton","195","270","90","90","20","10","60","730"
"10001282","University of Northumbria at Newcastle","660","405","85","195","10","15","10","1,380"
"10004775","Norwich University of the Arts","10","55","30","45","5","5","0","155"
"10007154","University of Nottingham","2,540","475","100","225","25","25","15","3,400"
"10004797","The Nottingham Trent University","630","360","310","235","10","15","50","1,610"
"10007773","The Open University","2,445","2,370","585","530","100","0","25","6,050"
"10004930","Oxford Brookes University","420","300","90","130","20","5","180","1,150"
"10007774","The University of Oxford","5,115","875","110","645","65","35","30","6,870"
"10005127","Arts University Plymouth","5","35","55","25","10","0","0","130"
