﻿Title:,"Table 14 - Key Financial Indicators by HE provider and academic year"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 14
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-14
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-14.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2019/20 
,Financial Year End,All 
Search:,


"UKPRN","HE Provider","Financial Year End","Surplus/(deficit) as a % of total income","Surplus/(deficit) excl. pension adjustment as a % of total income","Staff costs as a % of total income","Staff costs excl. pension adjustment as a % of total income","Premises costs as a % of total costs","Premises costs as a % of total costs excl. pension adjustment","Unrestricted reserves as a % of total income","External borrowing as a % of total income","Days ratio of total net assets to total expenditure","Days ratio of total net assets to total expenditure excl. pension adjustment","Ratio of current assets to current liabilities","Net cash inflow from operating activities as a % of total income","Net liquidity days","Net liquidity days excl. pension adjustment"
"10008071","AA School of Architecture","2020-07-31","11.5","11.5","45.3","45.3","19.1","19.1","76.1","8.7","355","355","0.8","16.3","209","209"
"10007783","The University of Aberdeen","2020-07-31","14.5","1.8","49.4","62.0","4.4","3.9","129.5","55.1","647","564","2.0","7.6","205","177"
"10007849","Abertay University","2020-07-31","(8.2)","(8.2)","75.1","75.1","3.6","3.6","53.5","31.2","187","187","2.7","1.4","138","138"
"10007856","Aberystwyth University","2020-07-31","(2.8)","(13.0)","52.8","63.0","4.3","3.9","57.9","12.9","324","294","0.9","5.4","50","45"
"10067853","ACM Guildford Limited","2019-08-31","4.2","4.2","60.8","60.8","0.4","0.4","6.9","13.9","26","26","1.0","(10.3)","14","14"
"10000248","Academy of Live and Recorded Arts","2019-08-31","0.4","0.4","45.7","45.7","0.0","0.0","1.5","0.0","6","6","1.0","0.5","86","86"
"10000163","AECC University College","2020-07-31","6.7","8.4","61.2","59.5","7.7","7.8","54.0","0.0","223","227","3.5","17.8","203","207"
"10032036","Amity Global Education","2020-03-31","64.6","64.6","14.7","14.7","0.0","0.0","76.7","0.0","942","942","2.1","(9.6)","94","94"
"10000291","Anglia Ruskin University","2020-07-31","2.7","6.0","49.3","46.0","4.1","4.2","11.9","32.4","82","85","1.4","15.8","115","120"
"10041898","Apex College","2019-12-31","7.0","7.0","57.8","57.8","37.8","37.8","39.1","0.0","153","153","12.5","3.9","162","162"
"10005451","Arden University","2019-10-31","(8.0)","(8.0)","48.6","48.6","0.0","0.0","(33.9)","1.2","65","65","1.1","(6.4)","109","109"
"10000381","Arts Educational Schools","2019-08-31","16.6","16.6","53.4","53.4","9.9","9.9","93.0","0.0","585","585","1.3","23.0","174","174"
"10003212","Hult International Business School Ltd","2019-09-30","44.4","44.4","13.4","13.4","18.7","18.7","(29.5)","38.2","(193)","(193)","0.3","(1.5)","8","8"
"10007759","Aston University","2020-07-31","15.6","1.8","47.9","61.7","3.9","3.4","67.1","26.8","297","255","1.7","11.5","206","175"
"10038772","British Academy of Jewellery Limited","2020-06-30","5.3","5.3","59.5","59.5","0.3","0.3","0.0","4.1","101","101","4.5","(3.1)","11","11"
"10007857","Bangor University","2020-07-31","7.5","7.5","49.6","49.6","5.7","5.7","148.0","70.4","605","605","1.7","8.4","97","97"
"10000571","Bath Spa University","2020-07-31","0.2","0.2","54.5","54.5","6.1","6.1","72.1","68.0","264","264","1.9","6.5","113","113"
"10007850","The University of Bath","2020-07-31","7.1","(4.2)","48.2","59.5","3.8","3.4","186.6","81.2","746","665","2.2","7.6","293","257"
"10000911","BCNO Limited","2019-08-31","(6.4)","(6.4)","61.4","61.4","19.3","19.3","220.5","54.1","1,127","1,127","1.6","(1.3)","64","64"
"10007152","University of Bedfordshire","2020-07-31","8.8","9.4","45.8","45.2","3.6","3.7","34.9","20.5","140","141","1.8","20.1","164","165"
"10005343","Queen's University Belfast","2020-07-31","14.5","3.6","47.9","58.8","4.8","4.3","149.7","7.3","713","633","3.0","4.6","308","271"
"10037544","BIMM University","2019-08-31","28.6","28.6","22.6","22.6","15.1","15.1","129.6","0.0","660","660","2.0","3.1","130","130"
"10007760","Birkbeck College","2020-07-31","17.1","3.4","54.3","68.0","8.3","7.1","72.0","0.0","360","309","1.8","2.1","171","146"
"10007140","Birmingham City University","2020-07-31","1.9","4.0","55.8","53.7","6.3","6.4","90.7","15.6","352","360","1.3","9.8","50","51"
"10006840","The University of Birmingham","2020-07-31","9.1","(0.8)","47.1","57.1","4.4","3.9","146.9","35.1","658","593","1.0","9.7","87","77"
"10000712","University College Birmingham","2020-07-31","1.2","4.5","57.1","53.8","6.0","6.2","235.7","0.0","871","901","1.1","1.4","36","37"
"10007832","Birmingham Newman University","2020-07-31","1.8","1.8","63.8","63.8","5.6","5.6","154.4","22.6","574","574","3.1","6.3","137","137"
"10000894","Bristol Baptist College","2020-06-30","(33.7)","(31.7)","62.9","60.9","8.5","8.6","1,187.3","0.0","3,311","3,361","2.5","(65.2)","41","42"
"10007811","Bishop Grosseteste University","2020-07-31","(10.0)","(6.0)","67.5","63.5","3.8","3.9","80.6","0.0","280","290","5.0","1.2","176","183"
"10004061","Bloomsbury Institute","2020-07-31","3.8","3.8","36.0","36.0","16.1","16.1","(24.4)","65.6","58","58","3.2","(7.6)","123","123"
"10006841","The University of Bolton","2020-07-31","(7.0)","(3.3)","60.9","57.2","5.0","5.2","46.4","10.5","160","166","1.9","2.2","88","91"
"10000385","The Arts University Bournemouth","2020-07-31","(0.9)","(0.9)","49.4","49.4","8.9","8.9","88.6","77.8","326","326","0.3","15.5","36","36"
"10000824","Bournemouth University","2020-07-31","(2.4)","1.8","56.4","52.2","4.5","4.6","(6.2)","39.4","(19)","(20)","0.8","10.6","44","46"
"10031982","BPP University","2019-08-31","8.2","8.2","41.8","41.8","20.9","20.9","65.3","0.0","260","260","2.6","4.2","67","67"
"10007785","The University of Bradford","2020-07-31","11.1","(0.3)","49.0","60.4","4.8","4.3","(5.7)","21.7","(18)","(16)","1.4","2.8","103","90"
"10000886","The University of Brighton","2020-07-31","(4.9)","(1.7)","66.6","63.4","6.0","6.2","70.4","37.0","245","253","1.9","5.6","119","122"
"10000936","The University College of Osteopathy","2020-07-31","(7.7)","(7.7)","64.9","64.9","13.9","13.9","110.0","69.0","410","410","4.2","(2.1)","179","179"
"10007786","The University of Bristol","2020-07-31","11.7","2.7","47.0","56.0","3.1","2.8","134.5","63.9","604","548","1.7","7.3","207","187"
