﻿Title:,"Table 14 - Key Financial Indicators by HE provider and academic year"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 14
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-14
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-14.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2021/22 
,Financial Year End,All 
Search:,


"UKPRN","HE Provider","Financial Year End","Surplus/(deficit) as a % of total income","Surplus/(deficit) excl. pension adjustment as a % of total income","Staff costs as a % of total income","Staff costs excl. pension adjustment as a % of total income","Premises costs as a % of total costs","Premises costs as a % of total costs excl. pension adjustment","Unrestricted reserves as a % of total income","External borrowing as a % of total income","Days ratio of total net assets to total expenditure","Days ratio of total net assets to total expenditure excl. pension adjustment","Ratio of current assets to current liabilities","Net cash inflow from operating activities as a % of total income","Net liquidity days","Net liquidity days excl. pension adjustment","Debt service ratio"
"10008071","AA School of Architecture","2022-07-31","15.1","15.1","45.5","45.5","18.1","18.1","96.3","4.5","452","452","2.2","2.8","310","310","2.9"
"10007783","The University of Aberdeen","2022-07-31","(20.2)","2.6","82.7","59.9","3.4","4.2","111.4","44.9","406","501","1.8","5.5","134","168","0.9"
"10007849","Abertay University","2022-07-31","(1.0)","(0.6)","69.7","69.3","4.6","4.6","175.2","26.5","639","642","3.6","13.9","132","132","(883.7)"
"10007856","Aberystwyth University","2022-07-31","(22.0)","0.5","79.5","57.0","3.8","4.7","47.1","46.9","216","264","0.8","4.0","28","35","1.5"
"10067853","ACM Guildford Limited","2021-08-31","32.8","32.8","39.9","39.9","0.5","0.5","50.0","0.0","272","272","5.0","31.6","194","194","0.0"
"10000163","AECC University College","2022-07-31","11.4","14.1","57.3","54.6","10.2","10.5","88.4","0.0","373","384","2.9","21.8","256","265","26.2"
"10032036","Amity Global Education","2022-03-31","3.6","3.6","34.3","34.3","0.0","0.0","171.1","194.8","944","944","1.9","(9.8)","64","64","(3.8)"
"10000291","Anglia Ruskin University","2022-07-31","0.3","4.5","40.4","36.2","3.3","3.4","57.8","21.4","213","223","1.3","18.2","127","133","9.0"
"10041898","Apex College","2021-12-31","6.5","6.5","40.2","40.2","57.1","57.1","21.2","0.0","83","83","8.4","(8.4)","90","90","0.0"
"10062759","Applied Business Academy Limited","2021-12-31","14.1","14.1","15.6","15.6","79.4","79.4","20.1","14.3","85","85","2.3","11.7","65","65","0.0"
"10005451","Arden University","2021-10-31","13.7","13.7","38.3","38.3","8.6","8.6","1.3","0.6","92","92","1.2","29.9","29","29","58.1"
"10000381","Arts Educational Schools","2021-08-31","2.3","2.3","59.5","59.5","5.5","5.5","106.2","65.3","562","562","1.2","11.1","182","182","2.8"
"10008899","The Ashridge (Bonar Law Memorial) Trust","2021-12-31","4.9","4.5","54.0","54.5","0.9","0.9","213.1","0.0","818","814","4.3","13.8","384","382","0.0"
"10003212","Hult International Business School Ltd","2022-07-31","5.9","5.9","42.9","42.9","29.6","29.6","(65.9)","82.3","(256)","(256)","0.7","1.0","100","100","0.1"
"10007759","Aston University","2022-07-31","(10.6)","9.6","73.2","52.9","2.8","3.4","55.0","20.8","187","228","2.0","16.1","181","225","11.8"
"10038772","British Academy of Jewellery Limited","2022-06-30","7.0","7.0","52.5","52.5","1.0","1.0","0.0","0.0","135","135","3.2","8.3","25","25","4.0"
"10007857","Bangor University","2022-07-31","(22.7)","(1.0)","74.0","52.4","7.4","9.0","124.2","59.9","387","470","1.7","10.1","88","109","1.7"
"10000571","Bath Spa University","2022-07-31","(4.4)","(0.2)","52.8","48.6","4.9","5.1","121.5","18.3","425","443","1.5","8.9","115","120","0.2"
"10007850","The University of Bath","2022-07-31","(7.8)","10.8","68.1","49.5","3.3","4.0","194.8","62.5","669","808","3.0","13.6","196","242","2.9"
"10000911","BCNO Limited","2021-08-31","(5.3)","(5.3)","57.3","57.3","10.1","10.1","220.5","55.5","1,171","1,171","0.3","11.7","68","68","3.6"
"10007152","University of Bedfordshire","2022-07-31","4.3","9.4","51.7","46.6","2.7","2.8","108.1","16.6","413","436","1.9","39.9","393","417","39.2"
"10005343","Queen's University Belfast","2022-07-31","(18.2)","5.7","78.0","54.1","4.7","5.9","140.8","5.7","485","608","2.3","8.5","215","272","29.0"
"10037544","BIMM University","2021-08-31","27.3","27.3","26.7","26.7","14.2","14.2","134.6","0.0","676","676","2.3","11.2","98","98","52.9"
"10007760","Birkbeck College","2022-07-31","(21.7)","(3.0)","87.8","69.1","5.3","6.3","79.9","0.0","270","320","1.6","5.6","94","111","63.5"
"10007140","Birmingham City University","2022-07-31","1.4","7.5","58.2","52.0","6.7","7.1","127.6","13.2","488","520","1.4","17.9","93","100","26.2"
"10006840","The University of Birmingham","2022-07-31","(17.4)","5.5","72.4","49.5","4.2","5.3","112.8","30.0","405","503","1.2","11.3","72","91","6.5"
"10000712","University College Birmingham","2022-07-31","3.9","8.6","45.5","40.8","6.2","6.5","283.6","0.0","1,078","1,133","2.3","26.3","321","339","0.0"
"10007832","Birmingham Newman University","2022-07-31","1.7","1.7","61.3","61.3","5.5","5.5","160.8","20.2","597","597","3.4","7.7","189","189","4.1"
