﻿Title:,"Table 15 - Access and participation investment"
Subtitle:,"Academic years 2020/21 to 2023/24"
Reference ID:,DT031 Table 15
Data source:,OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-15
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-15.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Academic year,2021/22 
,Financial year end,All 
,Region of HE provider,All 
Search:,


"","","","","(£000s)",""
"UKPRN","HE Provider","Financial Year End","Access investment","Financial support investment","Support for disabled students","Research and evaluation investment","Total access and participation investment"
"10067853","ACM Guildford Limited","2021-08-31","532","314","90","30","966"
"10000163","AECC University College","2022-07-31","97","93","18","9","217"
"10032036","Amity Global Education","2022-03-31","44","42","0","6","92"
"10000291","Anglia Ruskin University","2022-07-31","861","5,423","1,772","27","8,083"
"10005451","Arden University","2021-10-31","537","6","0","21","564"
"10007759","Aston University","2022-07-31","878","2,366","346","106","3,696"
"10038772","British Academy of Jewellery Limited","2022-06-30","7","7","0","2","16"
"10000571","Bath Spa University","2022-07-31","916","1,037","700","55","2,708"
"10007850","The University of Bath","2022-07-31","2,348","4,310","517","283","7,458"
"10000911","BCNO Limited","2021-08-31","0","0","0","0","0"
"10007152","University of Bedfordshire","2022-07-31","1,321","4,136","531","142","6,130"
"10037544","BIMM University","2021-08-31","1,142","526","0","10","1,678"
"10007760","Birkbeck College","2022-07-31","371","560","930","114","1,975"
"10007140","Birmingham City University","2022-07-31","1,913","499","521","107","3,040"
"10006840","The University of Birmingham","2022-07-31","3,597","9,640","1,073","247","14,557"
"10000712","University College Birmingham","2022-07-31","985","1,568","249","131","2,933"
"10007832","Birmingham Newman University","2022-07-31","428","127","181","20","756"
"10007811","Bishop Grosseteste University","2022-07-31","1,319","568","301","162","2,350"
"10004061","Bloomsbury Institute","2022-07-31","16","133","41","23","213"
"10006841","The University of Bolton","2022-07-31","331","201","402","77","1,011"
"10000385","The Arts University Bournemouth","2022-07-31","785","387","232","36","1,440"
"10000824","Bournemouth University","2022-07-31","696","3,041","985","294","5,016"
"10007785","The University of Bradford","2022-07-31","1,230","2,306","430","104","4,070"
"10000886","The University of Brighton","2022-07-31","1,805","2,469","816","413","5,503"
"10000936","The University College of Osteopathy","2022-07-31","167","86","21","11","285"
"10007786","The University of Bristol","2022-07-31","3,140","10,798","2,095","44","16,077"
"10000961","Brunel University London","2022-07-31","874","1,778","869","90","3,611"
"10000975","Buckinghamshire New University","2022-07-31","316","967","915","86","2,284"
"10019368","London College of Business Studies","2022-07-31","1","0","4","3","8"
"10007788","The University of Cambridge","2022-07-31","1,755","5,248","1,494","167","8,664"
"10001143","Canterbury Christ Church University","2022-07-31","854","3,265","1,364","8","5,491"
"10001264","Central School of Ballet","2022-07-31","72","34","28","10","144"
"10007141","The University of Central Lancashire","2022-07-31","1,014","5,974","1,340","156","8,484"
"10024024","Central Film School London","2021-09-30","10","7","0","15","32"
"10007848","University of Chester","2022-07-31","671","1,900","860","489","3,920"
"10007137","The University of Chichester","2022-07-31","462","556","445","51","1,514"
"10001478","City, University of London","2022-07-31","558","1,940","808","195","3,501"
