﻿Title:,"Table 15 - Access and participation investment"
Subtitle:,"Academic years 2020/21 to 2023/24"
Reference ID:,DT031 Table 15
Data source:,OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-15
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-15.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Academic year,2020/21 
,Financial year end,All 
,Region of HE provider,All 
Search:,


"","","","","(£000s)",""
"UKPRN","HE Provider","Financial Year End","Access investment","Financial support investment","Support for disabled students","Research and evaluation investment","Total access and participation investment"
"10000163","AECC University College","2021-07-31","68","61","36","8","173"
"10032036","Amity Global Education","2021-03-31","35","51","0","6","92"
"10000291","Anglia Ruskin University","2021-07-31","669","5,972","1,506","59","8,206"
"10007759","Aston University","2021-07-31","686","2,167","251","101","3,205"
"10000571","Bath Spa University","2021-07-31","1,041","1,078","664","75","2,858"
"10007850","The University of Bath","2021-07-31","2,220","4,499","427","252","7,398"
"10007152","University of Bedfordshire","2021-07-31","1,486","3,646","452","139","5,723"
"10007760","Birkbeck College","2021-07-31","403","731","726","121","1,981"
"10007140","Birmingham City University","2021-07-31","933","2,867","681","157","4,638"
"10006840","The University of Birmingham","2021-07-31","3,178","10,177","853","224","14,432"
"10000712","University College Birmingham","2021-07-31","835","1,630","169","83","2,717"
"10007832","Birmingham Newman University","2021-07-31","318","181","238","20","757"
"10007811","Bishop Grosseteste University","2021-07-31","1,541","750","306","164","2,761"
"10006841","The University of Bolton","2021-07-31","352","182","383","70","987"
"10000385","The Arts University Bournemouth","2021-07-31","617","575","207","31","1,430"
"10000824","Bournemouth University","2021-07-31","540","3,541","974","254","5,309"
"10007785","The University of Bradford","2021-07-31","1,171","3,311","427","105","5,014"
"10000886","The University of Brighton","2021-07-31","1,846","2,475","642","392","5,355"
"10000936","The University College of Osteopathy","2021-07-31","149","72","14","16","251"
"10007786","The University of Bristol","2021-07-31","2,400","11,267","1,677","58","15,402"
"10000961","Brunel University London","2021-07-31","789","2,087","945","70","3,891"
"10000975","Buckinghamshire New University","2021-07-31","515","1,918","1,071","87","3,591"
"10007788","The University of Cambridge","2021-07-31","1,587","4,927","1,047","162","7,723"
"10001143","Canterbury Christ Church University","2021-07-31","720","2,680","1,016","8","4,424"
"10001264","Central School of Ballet","2021-07-31","86","35","22","10","153"
"10007141","The University of Central Lancashire","2021-07-31","1,029","6,080","1,041","90","8,240"
"10007848","University of Chester","2021-07-31","719","1,890","957","258","3,824"
"10007137","The University of Chichester","2021-07-31","316","558","410","51","1,335"
"10001478","City, University of London","2021-07-31","578","2,112","848","147","3,685"
