﻿Title:,"Table 5 - Research grants and contracts - breakdown by source of income and HESA cost centre"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 5
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-5
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-5.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,HESA cost centre▼101 Clinical medicine,102 Clinical dentistry,103 Nursing & allied health professions,104 Psychology & behavioural sciences,105 Health & community studies,106 Anatomy & physiology,107 Pharmacy & pharmacology,108 Sports science & leisure studies,109 Veterinary science,110 Agriculture, forestry & food science,111 Earth, marine & environmental sciences,112 Biosciences,113 Chemistry,114 Physics,115 General engineering,116 Chemical engineering,117 Mineral, metallurgy & materials engineering,118 Civil engineering,119 Electrical, electronic & computer engineering,120 Mechanical, aero & production engineering,121 IT, systems sciences & computer software engineering,122 Mathematics,123 Architecture, built environment & planning,124 Geography & environmental studies,125 Area studies,126 Archaeology,127 Anthropology & development studies,128 Politics & international studies,129 Economics & econometrics,130 Law,131 Social work & social policy,132 Sociology,133 Business & management studies,134 Catering & hospitality management,135 Education,136 Continuing education,137 Modern languages,138 English language & literature,139 History,140 Classics,141 Philosophy,142 Theology & religious studies,143 Art & design,144 Music, dance, drama & performing arts,145 Media studies,201 Total academic services,202 Central administration & services,203 General educational expenditure,204 Staff & student facilities,207 Total research grants and contracts,Co-investment from external sources on funding council-funded projects (included in Heads 1 to 4 above)Total academic departments,Total administration & central services
,Academic year,2017/18 
Search:,


"","","","","(£000s)","",""
"UKPRN","HE Provider","1a Biotechnology and Biological Sciences Research Council (BBSRC)","1b Medical Research Council (MRC)","1c Natural Environment Research Council (NERC)","1d Engineering and Physical Sciences Research Council (EPSRC)","1e Economic and Social Research Council (ESRC)","1f Arts & Humanities Research Council (AHRC)","1g Science & Technology Facilities Council (STFC)","1h Other","1i Total Research Councils"
"10007783","The University of Aberdeen","208","1,154","65","6","77","0","0","1","1,511"
"10007849","Abertay University","0","0","0","0","0","0","0","0","0"
"10007856","Aberystwyth University","0","0","0","0","0","0","0","0","0"
"10000163","AECC University College","0","0","0","0","0","0","0","0","0"
"10000291","Anglia Ruskin University","0","0","0","0","0","0","0","0","0"
"10007759","Aston University","0","0","0","0","0","0","0","0","0"
"10007857","Bangor University","0","0","0","0","0","0","0","0","0"
"10000571","Bath Spa University","0","0","0","0","0","0","0","0","0"
"10007850","The University of Bath","0","0","0","0","0","0","0","0","0"
"10007152","University of Bedfordshire","0","0","0","0","0","0","0","0","0"
"10005343","Queen's University Belfast","693","2,903","0","0","1,416","0","0","124","5,136"
"10007760","Birkbeck College","0","0","0","0","0","0","0","0","0"
"10007140","Birmingham City University","0","0","0","0","0","0","0","0","0"
"10006840","The University of Birmingham","1,367","6,497","23","70","16","91","0","102","8,166"
"10000712","University College Birmingham","0","0","0","0","0","0","0","0","0"
"10007832","Birmingham Newman University","0","0","0","0","0","0","0","0","0"
"10007811","Bishop Grosseteste University","0","0","0","0","0","0","0","0","0"
"10006841","The University of Bolton","0","0","0","0","0","0","0","0","0"
"10000385","The Arts University Bournemouth","0","0","0","0","0","0","0","0","0"
"10000824","Bournemouth University","0","0","0","0","0","0","0","0","0"
"10007785","The University of Bradford","0","0","0","0","0","0","0","0","0"
"10000886","The University of Brighton","174","31","0","12","50","0","0","0","267"
"10000936","The University College of Osteopathy","0","0","0","0","0","0","0","0","0"
"10007786","The University of Bristol","541","8,731","73","97","882","0","0","33","10,357"
"10000961","Brunel University London","0","0","0","0","0","0","0","0","0"
"10000975","Buckinghamshire New University","0","0","0","0","0","0","0","0","0"
"10007787","The University of Buckingham","0","0","0","0","0","0","0","0","0"
"10007788","The University of Cambridge","1,575","47,991","57","466","10","49","14","1,144","51,306"
"10003324","The Institute of Cancer Research","90","1,291","0","175","0","0","0","0","1,556"
