﻿Title:,"Table 5 - Research grants and contracts - breakdown by source of income and HESA cost centre"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 5
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-5
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-5.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,HESA cost centre▼101 Clinical medicine,102 Clinical dentistry,103 Nursing & allied health professions,104 Psychology & behavioural sciences,105 Health & community studies,106 Anatomy & physiology,107 Pharmacy & pharmacology,108 Sports science & leisure studies,109 Veterinary science,110 Agriculture, forestry & food science,111 Earth, marine & environmental sciences,112 Biosciences,113 Chemistry,114 Physics,115 General engineering,116 Chemical engineering,117 Mineral, metallurgy & materials engineering,118 Civil engineering,119 Electrical, electronic & computer engineering,120 Mechanical, aero & production engineering,121 IT, systems sciences & computer software engineering,122 Mathematics,123 Architecture, built environment & planning,124 Geography & environmental studies,125 Area studies,126 Archaeology,127 Anthropology & development studies,128 Politics & international studies,129 Economics & econometrics,130 Law,131 Social work & social policy,132 Sociology,133 Business & management studies,134 Catering & hospitality management,135 Education,136 Continuing education,137 Modern languages,138 English language & literature,139 History,140 Classics,141 Philosophy,142 Theology & religious studies,143 Art & design,144 Music, dance, drama & performing arts,145 Media studies,201 Total academic services,202 Central administration & services,203 General educational expenditure,204 Staff & student facilities,207 Total research grants and contracts,Co-investment from external sources on funding council-funded projects (included in Heads 1 to 4 above)Total academic departments,Total administration & central services
,Academic year,2018/19 
,Financial year end,All 
Search:,


"","","","","(£000s)","",""
"UKPRN","HE Provider","Financial Year End","1a Biotechnology and Biological Sciences Research Council (BBSRC)","1b Medical Research Council (MRC)","1c Natural Environment Research Council (NERC)","1d Engineering and Physical Sciences Research Council (EPSRC)","1e Economic and Social Research Council (ESRC)","1f Arts & Humanities Research Council (AHRC)","1g Science & Technology Facilities Council (STFC)","1h UK Research and Innovation","1i Other","1j Total Research Councils"
"10007783","The University of Aberdeen","2019-07-31","140","595","5","0","58","0","0","0","50","848"
"10007849","Abertay University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007856","Aberystwyth University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10000163","AECC University College","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10032036","Amity Global Education","2019-03-31","0","0","0","0","0","0","0","0","0","0"
"10000291","Anglia Ruskin University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007759","Aston University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007857","Bangor University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10000571","Bath Spa University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007850","The University of Bath","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007152","University of Bedfordshire","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10005343","Queen's University Belfast","2019-07-31","746","3,572","0","31","1,111","0","0","0","2","5,462"
"10007760","Birkbeck College","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007140","Birmingham City University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10006840","The University of Birmingham","2019-07-31","1,395","7,030","0","(38)","12","127","0","0","405","8,931"
"10000712","University College Birmingham","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007832","Birmingham Newman University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007811","Bishop Grosseteste University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10006841","The University of Bolton","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10000385","The Arts University Bournemouth","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10000824","Bournemouth University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007785","The University of Bradford","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10000886","The University of Brighton","2019-07-31","137","100","0","12","34","76","0","0","0","359"
"10000936","The University College of Osteopathy","2019-07-31","0","0","0","0","0","0","0","0","0","0"
