﻿Title:,"Table 6 - Tuition fees and education contracts analysed by HE provider, domicile, mode, level, source"
Subtitle:,"Academic years 2016/17 to 2023/24"
Reference ID:,DT031 Table 6
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-6
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-6.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Source of fee,Total 
,Academic year,2020/21 
,Financial Year End,All 
Search:,


"","","","","(£000s)",""
"UKPRN","HE Provider","Financial Year End","Total Home fees","Total Rest of UK fees","Total UK fees","Total EU fees","Total UK and EU fees","Total Non-EU fees","Total HE course fees","Total research training support grants","Non-credit bearing course fees","FE course fees","Total tuition fees and education contracts"
"10008071","AA School of Architecture","2021-07-31","","","1,557","3,221","4,778","14,294","19,072","0","0","0","19,072"
"10007783","The University of Aberdeen","2021-07-31","16,617","8,325","24,942","5,071","30,013","42,447","72,460","144","1,819","0","74,423"
"10007849","Abertay University","2021-07-31","6,107","1,251","7,358","1,639","8,997","1,286","10,283","0","20","111","10,414"
"10007856","Aberystwyth University","2021-07-31","16,027","25,711","41,738","7,439","49,177","4,021","53,198","0","791","0","53,989"
"10067853","ACM Guildford Limited","2020-08-31","","","8,682","403","9,085","133","9,218","0","0","1,396","10,614"
"10000248","Academy of Live and Recorded Arts","2020-08-31","","","2,547","80","2,627","10","2,637","0","214","0","2,851"
"10000163","AECC University College","2021-07-31","","","4,473","1,135","5,608","2,194","7,802","0","230","32","8,064"
"10032036","Amity Global Education","2021-03-31","","","431","11","442","20","462","0","0","0","462"
"10000291","Anglia Ruskin University","2021-07-31","","","183,940","17,974","201,914","28,227","230,141","10","406","0","230,557"
"10041898","Apex College","2020-12-31","","","421","50","471","171","642","0","0","0","642"
"10062759","Applied Business Academy Limited","2020-12-31","","","0","0","0","0","0","0","0","0","0"
"10005451","Arden University","2020-10-31","","","26,257","4,406","30,663","2,609","33,272","0","0","0","33,272"
"10000381","Arts Educational Schools","2020-08-31","","","3,114","280","3,394","112","3,506","0","4,957","0","8,463"
"10008899","The Ashridge (Bonar Law Memorial) Trust","2020-12-31","","","3,133","389","3,522","292","3,814","0","49","0","3,863"
"10003212","Hult International Business School Ltd","2020-09-30","","","532","5,968","6,500","6,278","12,778","0","0","0","12,778"
"10003212","Hult International Business School Ltd","2021-07-31","","","459","5,149","5,608","5,601","11,209","0","0","0","11,209"
"10007759","Aston University","2021-07-31","","","93,875","2,438","96,313","24,499","120,812","1,071","663","0","122,546"
"10038772","British Academy of Jewellery Limited","2021-06-30","","","0","0","0","0","0","0","0","170","170"
"10007857","Bangor University","2021-07-31","28,155","29,218","57,373","3,116","60,489","14,866","75,355","873","513","0","76,741"
"10000571","Bath Spa University","2021-07-31","","","56,368","5,022","61,390","3,101","64,491","0","239","0","64,730"
