﻿Title:,"Table 6 - Tuition fees and education contracts analysed by HE provider, domicile, mode, level, source"
Subtitle:,"Academic years 2016/17 to 2023/24"
Reference ID:,DT031 Table 6
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-6
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-6.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Source of fee,Total 
,Academic year,2022/23 
,Financial Year End,All 
Search:,


"","","","","(£000s)",""
"UKPRN","HE Provider","Financial Year End","Total Home fees","Total Rest of UK fees","Total UK fees","Total EU fees","Total UK and EU fees","Total Non-EU fees","Total HE course fees","Total research training support grants","Non-credit bearing course fees","FE course fees","Total tuition fees and education contracts","Of which: Net fee income relating to contracted out activity"
"10008071","AA School of Architecture","2023-07-31","","","1,446","3,148","4,594","15,560","20,154","0","1,470","0","21,624",""
"10007783","The University of Aberdeen","2023-07-31","17,841","11,469","29,310","3,519","32,829","62,927","95,756","171","924","0","96,851",""
"10007849","Abertay University","2023-07-31","6,051","1,697","7,748","498","8,246","3,036","11,282","0","0","55","11,337",""
"10007856","Aberystwyth University","2023-07-31","15,491","28,339","43,830","2,148","45,978","10,755","56,733","0","362","0","57,095",""
"10067853","ACM Guildford Limited","2022-08-31","","","8,664","295","8,959","69","9,028","0","0","1,566","10,594",""
"10000163","AECC University College","2023-07-31","","","6,750","1,040","7,790","2,850","10,640","0","416","0","11,056",""
"10032036","Amity Global Education","2023-03-31","","","297","430","","","","0","0","0","727","0"
"10030497","Anglo Skills College","2023-02-28","","","0","85","","","","0","0","0","85","0"
"10000291","Anglia Ruskin University","2023-07-31","","","210,049","7,349","217,398","62,903","280,301","0","748","0","281,049",""
"10041898","Apex College","2022-12-31","","","1,126","1,133","2,259","396","2,655","0","0","0","2,655",""
"10062759","Applied Business Academy Limited","2023-02-28","","","7,424","0","7,424","0","7,424","0","0","0","7,424",""
"10005451","Arden University","2022-10-31","","","89,517","8,110","97,627","3,883","101,510","0","0","0","101,510",""
"10005451","Arden University","2023-05-31","","","83,880","5,971","89,851","2,635","92,486","0","0","0","92,486",""
"10000381","Arts Educational Schools","2022-08-31","","","3,584","422","4,006","227","4,233","0","5,833","0","10,066",""
"10008899","The Ashridge (Bonar Law Memorial) Trust","2022-12-31","","","3,468","390","3,858","255","4,113","0","0","0","4,113",""
"10003212","Hult International Business School Ltd","2023-07-31","","","521","6,303","6,824","10,001","16,825","0","0","0","16,825",""
"10007759","Aston University","2023-07-31","","","95,141","926","96,067","56,669","152,736","1,710","865","0","155,311",""
"10038772","British Academy of Jewellery Limited","2023-06-30","","","2,448","0","2,448","0","2,448","0","0","202","2,650",""
"10007857","Bangor University","2023-07-31","24,321","29,382","53,703","2,013","55,716","31,382","87,098","1,094","459","0","88,651",""
"10000571","Bath Spa University","2023-07-31","","","114,767","1,869","116,636","8,414","125,050","0","243","0","125,293",""
"10007850","The University of Bath","2023-07-31","","","110,561","13,898","124,459","69,160","193,619","10,940","1,352","0","205,911",""
"10000911","BCNO Limited","2022-08-31","","","0","363","363","0","363","0","0","0","363",""
