﻿Title:,"Table 6 - Tuition fees and education contracts analysed by HE provider, domicile, mode, level, source"
Subtitle:,"Academic years 2016/17 to 2023/24"
Reference ID:,DT031 Table 6
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-6
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-6.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Source of fee,Total 
,Academic year,2017/18 
,Financial Year End,All 
Search:,


"","","","","(£000s)",""
"UKPRN","HE Provider","Financial Year End","Total Home fees","Total Rest of UK fees","Total UK fees","Total EU fees","Total UK and EU fees","Total Non-EU fees","Total HE course fees","Total research training support grants","Non-credit bearing course fees","FE course fees","Total tuition fees and education contracts"
"10008071","AA School of Architecture","2018-07-31","","","1,714","3,851","5,565","8,759","14,324","0","0","0","14,324"
"10007783","The University of Aberdeen","2018-07-31","14,823","9,018","23,841","4,477","28,318","25,859","54,177","330","1,335","0","55,842"
"10007849","Abertay University","2018-07-31","5,518","909","6,427","1,287","7,714","1,261","8,975","0","89","0","9,064"
"10007856","Aberystwyth University","2018-07-31","16,867","29,001","45,868","6,785","52,653","5,243","57,896","0","302","0","58,198"
"10000163","AECC University College","2018-07-31","","","2,901","1,537","4,438","2,092","6,530","0","839","31","7,400"
"10032036","Amity Global Education","2018-03-31","","","0","15","15","103","118","0","0","0","118"
"10000291","Anglia Ruskin University","2018-07-31","","","137,506","7,224","144,730","16,431","161,161","0","5,603","1,224","167,988"
"10007759","Aston University","2018-07-31","","","79,135","4,728","83,863","21,613","105,476","1,026","901","0","107,403"
"10007857","Bangor University","2018-07-31","26,149","36,143","62,292","3,801","66,093","17,087","83,180","1,097","822","0","85,099"
"10000571","Bath Spa University","2018-07-31","","","57,957","1,387","59,344","4,410","63,754","124","232","0","64,110"
"10007850","The University of Bath","2018-07-31","","","85,452","13,483","98,935","54,091","153,026","8,241","2,731","0","163,998"
"10007152","University of Bedfordshire","2018-07-31","","","68,260","7,192","75,452","10,667","86,119","0","1,098","0","87,217"
"10005343","Queen's University Belfast","2018-07-31","63,219","8,976","72,195","2,346","74,541","31,863","106,404","2,132","369","0","108,905"
"10007760","Birkbeck College","2018-07-31","","","53,237","4,284","57,521","8,622","66,143","1,614","87","0","67,844"
"10007140","Birmingham City University","2018-07-31","","","155,650","5,833","161,483","24,573","186,056","160","2,986","138","189,340"
"10006840","The University of Birmingham","2018-07-31","","","188,119","9,468","197,587","114,842","312,429","6,726","5,647","0","324,802"
"10000712","University College Birmingham","2018-07-31","","","21,696","7,923","29,619","4,411","34,030","743","0","477","35,250"
"10007832","Birmingham Newman University","2018-07-31","","","19,667","59","19,726","11","19,737","0","45","0","19,782"
"10000894","Bristol Baptist College","2018-06-30","","","173","0","173","8","181","0","49","0","230"
"10007811","Bishop Grosseteste University","2018-07-31","","","17,475","61","17,536","60","17,596","0","0","0","17,596"
"10006841","The University of Bolton","2018-07-31","","","39,068","1,265","40,333","3,883","44,216","0","30","149","44,395"
"10000385","The Arts University Bournemouth","2018-07-31","","","25,468","1,447","26,915","4,747","31,662","0","778","417","32,857"
"10000824","Bournemouth University","2018-07-31","","","104,323","6,204","110,527","14,021","124,548","0","2,533","0","127,081"
"10007785","The University of Bradford","2018-07-31","","","60,682","4,425","65,107","12,547","77,654","0","1,218","0","78,872"
"10000886","The University of Brighton","2018-07-31","","","122,170","9,046","131,216","18,847","150,063","825","815","0","151,703"
"10000936","The University College of Osteopathy","2018-07-31","","","3,055","327","3,382","213","3,595","0","145","16","3,756"
"10007786","The University of Bristol","2018-07-31","","","144,359","8,710","153,069","82,324","235,393","25,879","5,585","0","266,857"
"10000961","Brunel University London","2018-07-31","","","74,709","8,524","83,233","33,729","116,962","998","1,609","0","119,569"
"10000975","Buckinghamshire New University","2018-07-31","","","40,238","2,002","42,240","481","42,721","0","205","0","42,926"
"10007787","The University of Buckingham","2018-07-31","","","15,942","1,518","17,460","13,051","30,511","0","697","0","31,208"
"10007788","The University of Cambridge","2018-07-31","","","107,272","27,867","135,139","107,544","242,683","29,187","23,250","0","295,120"
"10003324","The Institute of Cancer Research","2018-07-31","","","744","101","845","72","917","1,767","86","0","2,770"
"10001143","Canterbury Christ Church University","2018-07-31","","","92,765","4,654","97,419","2,584","100,003","0","0","0","100,003"
"10007814","Cardiff University","2018-07-31","59,983","100,505","160,488","11,549","172,037","71,815","243,852","8,898","12,465","0","265,215"
"10007854","Cardiff Metropolitan University","2018-07-31","37,127","25,930","63,057","2,093","65,150","14,819","79,969","245","0","434","80,648"
"10007141","The University of Central Lancashire","2018-07-31","","","129,724","4,899","134,623","20,791","155,414","0","0","2,807","158,221"
"10007848","University of Chester","2018-07-31","","","88,412","2,159","90,571","6,689","97,260","0","574","0","97,834"
"10007137","The University of Chichester","2018-07-31","","","37,715","923","38,638","1,066","39,704","0","312","0","40,016"
"10001386","Chicken Shed Theatre Company","2018-03-31","","","486","0","486","0","486","0","0","0","486"
"10026921","Christ the Redeemer College","2018-07-31","","","299","0","299","0","299","0","0","0","299"
"10001478","City, University of London","2018-07-31","","","82,366","24,099","106,465","73,446","179,911","614","9,327","0","189,852"
"10001653","Conservatoire for Dance and Drama","2018-07-31","","","7,874","1,271","9,145","4,887","14,032","0","0","0","14,032"
"10007761","Courtauld Institute of Art","2018-07-31","","","2,508","854","3,362","1,993","5,355","0","50","0","5,405"
