﻿Title:,"Table 8 - Expenditure - breakdown by activity and HESA cost centre"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 8
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Search by HE provider
,Country of HE provider,All 
,Region of HE provider,All 
,HESA cost centre group,Total expenditure 
,HESA cost centre,Total expenditure 
,Academic year,2017/18 
,Financial Year End,All 
Search:,


"","","","","Activity (£000s)",""
"UKPRN","HE Provider","Academic staff costs","Other staff costs","Total staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10007783","The University of Aberdeen","82,321","53,692","136,013","0","68,646","18,635","3,655","226,949"
"10007849","Abertay University","11,233","12,259","23,492","0","7,569","1,698","572","33,331"
"10007856","Aberystwyth University","35,236","30,907","66,143","1,523","42,895","10,969","4,033","125,563"
"10000163","AECC University College","2,867","2,918","5,785","0","2,682","431","16","8,914"
"10000291","Anglia Ruskin University","53,477","57,465","110,942","0","72,754","15,706","6,458","205,860"
"10007759","Aston University","49,649","38,610","88,259","0","46,440","10,500","2,061","147,260"
"10007857","Bangor University","44,580","35,725","80,305","-1,014","47,657","12,544","5,861","145,353"
"10000571","Bath Spa University","21,139","24,321","45,460","0","29,739","4,686","3,130","83,015"
"10007850","The University of Bath","80,491","73,510","154,001","0","95,744","25,434","7,503","282,682"
"10007152","University of Bedfordshire","34,182","27,933","62,115","0","33,785","9,300","1,720","106,920"
"10005343","Queen's University Belfast","110,113","83,762","193,875","0","120,619","20,738","3,007","338,239"
"10007760","Birkbeck College","41,672","28,295","69,967","0","33,717","2,274","197","106,155"
"10007140","Birmingham City University","65,126","63,089","128,215","0","65,679","18,508","4,399","216,801"
"10006840","The University of Birmingham","223,667","130,963","354,630","0","242,357","62,316","11,151","670,454"
"10000712","University College Birmingham","18,358","8,475","26,833","0","16,576","3,000","522","46,931"
"10007832","Birmingham Newman University","9,332","5,901","15,233","0","7,180","1,137","63","23,613"
"10007811","Bishop Grosseteste University","6,445","8,250","14,695","0","8,616","1,282","163","24,756"
"10006841","The University of Bolton","17,731","12,103","29,834","539","20,024","3,339","443","54,179"
"10000385","The Arts University Bournemouth","8,664","9,999","18,663","0","16,283","5,099","1,708","41,753"
"10000824","Bournemouth University","47,309","40,455","87,764","0","58,585","10,129","3,862","160,340"
"10007785","The University of Bradford","34,074","34,950","69,024","5,032","39,292","7,382","1,676","122,406"
"10000886","The University of Brighton","70,116","60,990","131,106","2,586","66,889","6,678","6,556","213,815"
"10000936","The University College of Osteopathy","1,883","1,276","3,159","0","1,461","265","195","5,080"
"10007786","The University of Bristol","187,996","146,650","334,646","0","247,147","46,439","22,590","650,822"
"10000961","Brunel University London","59,648","55,839","115,487","0","77,039","17,438","5,949","215,913"
"10000975","Buckinghamshire New University","16,441","14,253","30,694","212","23,251","4,463","2,628","61,248"
"10007787","The University of Buckingham","9,594","8,186","17,780","0","17,557","1,609","473","37,419"
"10007788","The University of Cambridge","332,826","516,799","849,625","0","933,565","94,384","33,533","1,911,107"
"10003324","The Institute of Cancer Research","47,831","17,087","64,918","0","41,499","6,728","1,169","114,314"
"10001143","Canterbury Christ Church University","43,954","31,397","75,351","0","47,012","8,092","1,539","131,994"
"10007814","Cardiff University","191,510","117,603","309,113","0","181,101","37,975","12,299","540,488"
"10007854","Cardiff Metropolitan University","31,155","28,992","60,147","5,291","28,568","3,564","2,723","100,293"
"10007141","The University of Central Lancashire","68,240","76,126","144,366","0","72,584","8,341","2,973","228,264"
"10007848","University of Chester","32,846","36,953","69,799","0","39,666","6,371","2,476","118,312"
"10007137","The University of Chichester","17,475","17,978","35,453","0","18,260","4,061","1,235","59,009"
"10001478","City, University of London","75,024","59,257","134,281","820","75,036","15,635","2,991","228,763"
"10001653","Conservatoire for Dance and Drama","0","483","483","0","20,949","3","0","21,435"
"10007761","Courtauld Institute of Art","2,900","5,800","8,700","0","9,955","504","32","19,191"
"10001726","Coventry University","86,617","96,995","183,612","0","135,043","20,544","11,429","350,628"
"10007822","Cranfield University","42,816","50,111","92,927","0","71,222","13,074","2,029","179,252"
"10006427","University for the Creative Arts","13,329","23,776","37,105","0","22,005","2,820","958","62,888"
"10007842","University of Cumbria","20,088","18,039","38,127","0","17,621","3,865","1,314","60,927"
"10001883","De Montfort University","58,845","59,008","117,853","4,099","72,673","11,881","7,438","213,944"
"10007851","University of Derby","46,860","54,471","101,331","495","59,736","14,605","3,246","179,413"
"10007852","The University of Dundee","82,268","62,409","144,677","190","86,270","22,035","2,513","255,685"
"10007143","University of Durham","103,648","88,052","191,700","0","114,328","22,901","7,222","336,151"
"10007789","The University of East Anglia","89,315","68,224","157,539","0","91,687","21,052","7,658","277,936"
"10007144","The University of East London","38,470","35,295","73,765","1,602","49,688","8,087","3,490","136,632"
"10007823","Edge Hill University","39,757","34,574","74,331","0","28,258","6,570","3,063","112,222"
"10007772","Edinburgh Napier University","40,703","38,684","79,387","320","34,610","7,479","1,863","123,659"
"10007790","The University of Edinburgh","289,298","232,075","521,373","0","358,578","60,197","16,840","956,988"
"10007791","The University of Essex","62,093","57,087","119,180","0","79,284","9,700","7,683","215,847"
"10007792","The University of Exeter","133,382","89,196","222,578","0","139,969","41,594","10,110","414,251"
"10008640","Falmouth University","10,902","15,390","26,292","0","25,009","3,177","585","55,063"
"10004511","The National Film and Television School","1,849","3,839","5,688","0","7,581","1,394","131","14,794"
"10007762","Glasgow Caledonian University","48,767","35,214","83,981","4,237","31,842","6,017","1,299","127,376"
"10002681","Glasgow School of Art","10,977","12,112","23,089","28,648","11,695","3,021","539","66,992"
"10007794","The University of Glasgow","199,319","133,590","332,909","0","236,309","35,084","8,937","613,239"
"10007145","University of Gloucestershire","22,778","25,471","48,249","427","26,660","5,108","1,711","82,155"
"10002718","Goldsmiths College","41,294","34,102","75,396","0","39,896","9,027","2,372","126,691"
"10007146","The University of Greenwich","53,985","49,690","103,675","2,437","78,160","6,927","8,203","199,402"
"10007825","Guildhall School of Music and Drama","9,166","9,218","18,384","0","13,273","0","0","31,657"
"10040812","Harper Adams University","11,322","11,470","22,792","0","12,789","3,795","858","40,234"
"10007764","Heriot-Watt University","51,960","54,472","106,432","494","98,934","10,484","4,604","220,948"
"10007147","University of Hertfordshire","75,246","67,801","143,047","0","100,555","17,677","3,711","264,990"
"10007765","Heythrop College","943","1,444","2,387","1,046","11,247","4,693","0","19,373"
"10007148","The University of Huddersfield","54,983","46,528","101,511","0","47,831","8,256","1,662","159,260"
"10007149","The University of Hull","56,703","49,049","105,752","1,029","65,009","15,802","2,289","189,881"
"10003270","Imperial College of Science, Technology and Medicine","293,363","203,058","496,421","1,863","357,594","67,820","20,444","944,142"
"10007767","Keele University","47,428","40,625","88,053","0","59,382","7,673","4,383","159,491"
"10007150","The University of Kent","75,609","74,652","150,261","112","90,199","19,406","4,428","264,406"
"10003645","King's College London","287,217","183,742","470,959","0","302,540","51,797","17,129","842,425"
"10003678","Kingston University","59,976","51,796","111,772","3,240","63,885","16,906","9,015","204,818"
"10007768","The University of Lancaster","84,141","69,795","153,936","286","102,502","16,953","5,063","278,740"
"10003854","Leeds Arts University","5,505","4,155","9,660","0","4,554","855","141","15,210"
"10003861","Leeds Beckett University","61,589","60,305","121,894","1,007","62,756","18,903","8,490","213,050"
"10007795","The University of Leeds","215,798","170,957","386,755","0","248,111","58,025","11,757","704,648"
"10003863","Leeds Trinity University","8,946","10,277","19,223","0","9,102","2,881","554","31,760"
"10007796","The University of Leicester","102,597","81,128","183,725","0","120,439","19,323","4,964","328,451"
"10007151","The University of Lincoln","51,275","34,451","85,726","0","51,387","9,645","4,703","151,461"
"10003956","Liverpool Hope University","15,745","13,652","29,397","0","14,971","3,936","1,318","49,622"
"10003957","Liverpool John Moores University","76,319","51,977","128,296","0","68,455","9,327","6,140","212,218"
"10003945","The Liverpool Institute for Performing Arts","2,813","3,440","6,253","0","2,691","690","73","9,707"
"10006842","The University of Liverpool","173,556","112,778","286,334","0","185,495","35,821","11,890","519,540"
"10003958","Liverpool School of Tropical Medicine","12,416","18,498","30,914","0","194,306","2,069","159","227,448"
"10007162","University of the Arts, London","50,544","120,514","171,058","0","106,289","3,545","5,710","286,602"
"10007769","London Business School","34,508","39,356","73,864","0","62,762","8,673","2,184","147,483"
"10007797","University of London (Institutes and activities)","5,424","55,539","60,963","0","103,204","5,436","2,760","172,363"
"10004048","London Metropolitan University","26,311","30,373","56,684","1,943","34,640","7,371","3,214","103,852"
"10004078","London South Bank University","40,623","41,483","82,106","0","47,658","9,626","4,298","143,688"
"10004063","London School of Economics and Political Science","107,530","80,474","188,004","0","120,553","12,915","8,767","330,239"
"10007771","London School of Hygiene and Tropical Medicine","53,571","35,347","88,918","0","113,839","5,186","1,022","208,965"
"10004113","Loughborough University","83,028","78,341","161,369","0","104,158","23,949","6,023","295,499"
"10004180","The Manchester Metropolitan University","100,863","86,283","187,146","17,207","99,358","12,928","4,715","321,354"
"10007798","The University of Manchester","305,878","231,530","537,408","0","388,641","78,438","25,129","1,029,616"
"10004351","Middlesex University","73,009","44,549","117,558","0","62,410","11,866","7,217","199,051"
"10007799","Newcastle University","172,533","112,531","285,064","0","183,808","24,356","6,338","499,566"
"10007138","The University of Northampton","34,684","31,088","65,772","0","46,135","9,451","11,694","133,052"
"10001282","University of Northumbria at Newcastle","83,262","60,228","143,490","0","81,844","18,775","6,336","250,445"
"10004775","Norwich University of the Arts","5,557","5,596","11,153","0","6,599","1,162","265","19,179"
"10007154","University of Nottingham","201,876","140,698","342,574","0","256,024","35,107","5,060","638,765"
"10004797","The Nottingham Trent University","85,619","91,175","176,794","0","79,341","18,736","15,982","290,853"
"10007773","The Open University","129,930","161,268","291,198","27,671","122,645","6,902","1,456","449,872"
"10004930","Oxford Brookes University","51,218","60,547","111,765","0","67,881","21,846","9,451","210,943"
"10007774","The University of Oxford","452,238","530,140","982,378","0","1,023,999","145,476","28,629","2,180,482"
"10005127","Arts University Plymouth","4,722","5,306","10,028","0","5,511","770","377","16,686"
"10007801","University of Plymouth","80,634","67,910","148,544","0","76,153","13,669","7,236","245,602"
"10007155","The University of Portsmouth","82,058","65,185","147,243","0","66,819","19,789","5,046","238,897"
"10005337","Queen Margaret University, Edinburgh","13,999","10,042","24,041","0","11,550","5,175","1,641","42,407"
"10007775","Queen Mary University of London","157,663","99,223","256,886","0","157,808","30,477","3,513","448,684"
