﻿Title:,"Table 8 - Expenditure - breakdown by activity and HESA cost centre"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 8
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Search by HE provider
,Country of HE provider,All 
,Region of HE provider,All 
,HESA cost centre group,Total expenditure 
,HESA cost centre,Total expenditure 
,Academic year,2018/19 
,Financial Year End,All 
Search:,


"","","","","Activity (£000s)",""
"UKPRN","HE Provider","Financial Year End","Academic staff costs","Other staff costs","Total staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10008071","AA School of Architecture","2019-07-31","8,693","0","8,693","0","8,284","503","101","17,581"
"10007783","The University of Aberdeen","2019-07-31","124,111","55,015","179,126","0","70,914","18,837","3,774","272,651"
"10007849","Abertay University","2019-07-31","11,680","14,291","25,971","0","9,025","2,107","127","37,230"
"10007856","Aberystwyth University","2019-07-31","34,247","50,488","84,735","770","46,447","10,531","3,845","146,328"
"10000163","AECC University College","2019-07-31","3,132","3,257","6,389","0","2,417","500","144","9,450"
"10032036","Amity Global Education","2019-03-31","211","254","465","0","564","15","0","1,044"
"10000291","Anglia Ruskin University","2019-07-31","56,642","56,069","112,711","0","76,390","13,309","5,767","208,177"
"10007759","Aston University","2019-07-31","73,883","53,962","127,845","0","58,261","10,902","1,889","198,897"
"10007857","Bangor University","2019-07-31","58,133","42,795","100,928","1,353","45,908","12,607","5,652","166,448"
"10000571","Bath Spa University","2019-07-31","22,884","22,377","45,261","2,915","28,402","4,661","3,065","84,304"
"10007850","The University of Bath","2019-07-31","113,533","102,314","215,847","0","98,750","29,286","10,321","354,204"
"10007152","University of Bedfordshire","2019-07-31","34,544","28,138","62,682","0","46,719","8,241","1,505","119,147"
"10005343","Queen's University Belfast","2019-07-31","195,266","91,438","286,704","0","124,928","22,666","2,071","436,369"
"10007760","Birkbeck College","2019-07-31","41,553","52,243","93,796","3,308","33,870","3,237","243","134,454"
"10007140","Birmingham City University","2019-07-31","64,340","68,111","132,451","0","82,991","17,372","3,847","236,661"
"10006840","The University of Birmingham","2019-07-31","350,107","168,566","518,673","0","240,353","65,707","10,386","835,119"
"10000712","University College Birmingham","2019-07-31","17,928","10,593","28,521","0","18,841","2,638","439","50,439"
"10007832","Birmingham Newman University","2019-07-31","8,362","5,910","14,272","0","6,931","1,248","139","22,590"
"10000894","Bristol Baptist College","2019-06-30","215","100","315","0","323","0","27","665"
"10007811","Bishop Grosseteste University","2019-07-31","6,937","9,018","15,955","0","8,614","1,258","131","25,958"
"10006841","The University of Bolton","2019-07-31","27,580","21,868","49,448","49","31,647","5,062","1,152","87,358"
"10000385","The Arts University Bournemouth","2019-07-31","9,605","9,977","19,582","73","15,463","5,318","1,701","42,137"
"10000824","Bournemouth University","2019-07-31","47,505","42,793","90,298","2,404","57,220","10,413","3,649","163,984"
"10007785","The University of Bradford","2019-07-31","47,433","39,214","86,647","533","33,546","7,776","1,551","130,053"
"10000886","The University of Brighton","2019-07-31","74,095","62,094","136,189","3,799","63,583","6,854","5,787","216,212"
"10000936","The University College of Osteopathy","2019-07-31","1,947","1,490","3,437","0","1,417","291","193","5,338"
"10007786","The University of Bristol","2019-07-31","275,905","195,238","471,143","0","238,227","43,897","23,023","776,290"
"10000961","Brunel University London","2019-07-31","63,598","91,872","155,470","0","82,558","18,323","5,818","262,169"
"10000975","Buckinghamshire New University","2019-07-31","14,565","16,201","30,766","277","22,298","4,567","2,377","60,285"
"10007788","The University of Cambridge","2019-07-31","349,582","785,378","1,134,960","0","969,690","111,668","91,186","2,307,504"
"10003324","The Institute of Cancer Research","2019-07-31","68,937","23,533","92,470","0","43,674","6,280","918","143,342"
"10001143","Canterbury Christ Church University","2019-07-31","43,242","29,963","73,205","513","46,962","7,785","1,849","130,314"
"10007814","Cardiff University","2019-07-31","193,584","211,637","405,221","6,537","180,177","40,547","12,351","644,833"
"10007854","Cardiff Metropolitan University","2019-07-31","32,115","36,867","68,982","419","30,108","4,480","2,678","106,667"
"10007141","The University of Central Lancashire","2019-07-31","77,443","84,601","162,044","0","76,378","8,559","2,841","249,822"
"10007848","University of Chester","2019-07-31","35,365","39,457","74,822","0","41,425","5,623","2,210","124,080"
"10007137","The University of Chichester","2019-07-31","16,944","16,698","33,642","858","17,216","5,267","2,345","59,328"
"10001386","Chicken Shed Theatre Company","2019-03-31","920","1,600","2,520","0","1,102","148","2","3,772"
"10026921","Christ the Redeemer College","2019-07-31","46","56","102","0","270","36","25","433"
"10001478","City, University of London","2019-07-31","104,510","79,206","183,716","821","76,545","15,872","2,579","279,533"
"10001653","Conservatoire for Dance and Drama","2019-07-31","0","472","472","0","22,332","6","0","22,810"
"10007761","Courtauld Institute of Art","2019-07-31","2,915","8,121","11,036","0","11,387","1,183","34","23,640"
"10001726","Coventry University","2019-07-31","97,201","108,023","205,224","0","145,222","24,666","13,793","388,905"
"10007822","Cranfield University","2019-07-31","41,247","69,719","110,966","0","81,268","12,791","2,092","207,117"
"10006427","University for the Creative Arts","2019-07-31","14,718","24,441","39,159","0","22,852","3,465","956","66,432"
"10007842","University of Cumbria","2019-07-31","20,498","19,259","39,757","565","19,185","3,792","1,089","64,388"
"10001883","De Montfort University","2019-07-31","61,871","66,291","128,162","648","79,227","16,107","6,694","230,838"
"10007851","University of Derby","2019-07-31","49,288","57,268","106,556","1,874","65,060","17,276","3,466","194,232"
"10007852","The University of Dundee","2019-07-31","111,139","87,502","198,641","0","92,442","18,169","2,214","311,466"
"10007143","University of Durham","2019-07-31","189,788","90,427","280,215","0","127,030","28,564","16,310","452,119"
"10007789","The University of East Anglia","2019-07-31","94,109","137,467","231,576","0","102,135","21,859","5,091","360,661"
"10007144","The University of East London","2019-07-31","37,588","37,670","75,258","300","50,678","7,073","6,683","139,992"
"10007823","Edge Hill University","2019-07-31","40,650","38,994","79,644","0","31,960","8,064","3,175","122,843"
"10007772","Edinburgh Napier University","2019-07-31","42,354","42,692","85,046","214","35,703","6,850","1,555","129,368"
