﻿Title:,"Table 8 - Expenditure - breakdown by HE provider, activity, HESA cost centre and academic year"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 8
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Search by HE provider
,Country of HE provider,All 
,Region of HE provider,All 
,HESA cost centre group,Total expenditure 
,HESA cost centre,Total expenditure 
,Academic year,2019/20 
,Financial Year End,All 
Search:,


"","","","","Activity (£000s)",""
"UKPRN","HE Provider","Financial Year End","Academic staff costs","Other staff costs","Total staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10008071","AA School of Architecture","2020-07-31","3,571","5,486","9,057","0","8,055","489","83","17,684"
"10007783","The University of Aberdeen","2020-07-31","66,435","48,951","115,386","0","60,852","17,055","6,691","199,984"
"10007849","Abertay University","2020-07-31","11,757","15,275","27,032","0","9,114","2,561","238","38,945"
"10007856","Aberystwyth University","2020-07-31","33,603","23,199","56,802","103","39,278","9,884","4,484","110,551"
"10067853","ACM Guildford Limited","2019-08-31","1,532","1,535","3,067","0","1,753","1","12","4,833"
"10000248","Academy of Live and Recorded Arts","2019-08-31","811","555","1,366","0","1,533","78","0","2,977"
"10000163","AECC University College","2020-07-31","3,293","2,511","5,804","101","2,350","491","102","8,848"
"10032036","Amity Global Education","2020-03-31","227","278","505","0","709","2","0","1,216"
"10000291","Anglia Ruskin University","2020-07-31","58,969","56,327","115,296","0","92,531","14,333","5,510","227,670"
"10041898","Apex College","2019-12-31","47","175","222","0","135","0","0","357"
"10005451","Arden University","2019-10-31","4,203","7,447","11,650","0","13,257","856","123","25,886"
"10000381","Arts Educational Schools","2019-08-31","4,149","1,602","5,751","116","2,697","413","0","8,977"
"10003212","Hult International Business School Ltd","2019-09-30","3,577","1,772","5,349","0","15,445","999","393","22,186"
"10007759","Aston University","2020-07-31","57,268","21,886","79,154","0","46,896","10,995","2,423","139,468"
"10038772","British Academy of Jewellery Limited","2020-06-30","809","661","1,470","0","838","27","3","2,338"
"10007857","Bangor University","2020-07-31","40,374","32,828","73,202","12","44,338","13,256","5,812","136,620"
"10000571","Bath Spa University","2020-07-31","23,718","21,280","44,998","0","29,017","5,107","3,219","82,341"
"10007850","The University of Bath","2020-07-31","75,956","67,387","143,343","0","87,573","34,287","11,431","276,634"
"10000911","BCNO Limited","2019-08-31","504","476","980","0","603","87","29","1,699"
