﻿Title:,"Table 8 - Expenditure - breakdown by activity and HESA cost centre"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 8
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Search by HE provider
,Country of HE provider,All 
,Region of HE provider,All 
,HESA cost centre group,Total expenditure 
,HESA cost centre,Total expenditure 
,Academic year,2015/16 
,Financial Year End,All 
Search:,


"","","","","Activity (£000s)",""
"UKPRN","HE Provider","Academic staff costs","Other staff costs","Total staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10007783","The University of Aberdeen","82,829","50,720","133,549","3,783","73,716","19,099","4,386","234,533"
"10007849","Abertay University","10,812","11,706","22,518","0","8,363","1,703","446","33,030"
"10007856","Aberystwyth University","33,847","36,203","70,050","723","42,386","11,217","3,906","128,282"
"10000291","Anglia Ruskin University","46,814","53,198","100,012","1,004","78,194","13,181","6,032","198,423"
"10007759","Aston University","41,502","34,841","76,343","0","58,256","8,755","2,032","145,386"
"10007857","Bangor University","45,455","38,512","83,967","0","46,245","18,202","5,450","153,864"
"10000571","Bath Spa University","18,770","16,556","35,326","0","24,742","4,489","1,930","66,487"
"10007850","The University of Bath","68,734","62,315","131,049","0","86,582","22,136","9,373","249,140"
"10007152","University of Bedfordshire","34,401","28,891","63,292","0","38,837","9,042","1,592","112,763"
"10005343","Queen's University Belfast","106,980","73,282","180,262","0","112,377","17,832","5,456","315,927"
"10007760","Birkbeck College","38,760","25,211","63,971","0","31,976","2,156","323","98,426"
"10007140","Birmingham City University","59,508","52,183","111,691","0","55,942","11,256","4,236","183,125"
"10006840","The University of Birmingham","182,711","127,670","310,381","0","200,713","44,761","10,260","566,115"
"10000712","University College Birmingham","18,250","6,689","24,939","0","15,669","3,078","471","44,157"
"10007832","Birmingham Newman University","8,644","5,239","13,883","0","7,396","794","17","22,090"
"10007811","Bishop Grosseteste University","5,423","5,875","11,298","0","5,891","1,237","196","18,622"
"10006841","The University of Bolton","16,657","10,548","27,205","97","15,792","2,541","814","46,449"
"10000385","The Arts University Bournemouth","7,795","7,663","15,458","103","14,188","4,142","1,548","35,439"
"10000824","Bournemouth University","42,514","33,693","76,207","0","55,574","9,323","7,827","148,931"
"10007785","The University of Bradford","37,285","37,776","75,061","2,520","39,569","7,907","1,793","126,850"
"10000886","The University of Brighton","68,785","55,034","123,819","0","64,704","6,119","7,645","202,287"
"10007786","The University of Bristol","164,366","120,150","284,516","0","186,270","47,570","18,924","537,280"
"10000961","Brunel University London","58,957","50,598","109,555","0","69,496","14,179","6,177","199,407"
"10000975","Buckinghamshire New University","18,428","14,919","33,347","0","23,173","4,915","2,767","64,202"
"10007787","The University of Buckingham","9,326","6,091","15,417","0","12,225","1,417","198","29,257"
