﻿Title:,"Table 1 - Buildings and spaces"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2020/21 
Search:,


"UKPRN","HE provider","Total number of sites","Total number of buildings","Total site area (hectares)","Total grounds area (hectares)","Total playing fields area (hectares)","Total gross internal area (m2)","Total number of car parking spaces","Total number of cycle spaces"
"10007783","The University of Aberdeen","4","117","82.354","40.847","21.203","265,849.574","1,528","861"
"10007849","Abertay University","1","10","2.600","1.100","0.000","47,784.000","225","86"
"10007856","Aberystwyth University","15","688","1,709.000","56.000","23.000","260,123.430","2,529","362"
"10000291","Anglia Ruskin University","3","183","22.801","9.140","8.000","129,592.770","676","2,096"
"10007759","Aston University","2","20","31.544","22.317","6.075","107,144.412","753","136"
"10007857","Bangor University","16","168","359.480","353.000","15.200","234,102.195","1,819","685"
"10000571","Bath Spa University","5","69","64.657","55.549","5.272","84,245.970","1,016","340"
"10007850","The University of Bath","1","110","95.563","31.000","24.000","285,135.070","2,191","865"
"10007152","University of Bedfordshire","5","39","36.172","27.168","5.683","96,828.000","485","197"
"10005343","Queen's University Belfast","7","237","59.900","40.230","27.920","397,670.000","1,290","1,426"
"10007760","Birkbeck College","2","20","4.049","0.000","0.000","40,784.890","0","112"
"10007140","Birmingham City University","3","23","28.190","10.090","18.100","189,319.000","",""
"10007811","Bishop Grosseteste University","2","25","8.100","4.300","4.200","25,929.374","368","102"
"10000385","The Arts University Bournemouth","1","13","3.800","3.800","0.000","35,090.950","224","180"
"10000824","Bournemouth University","4","29","18.170","11.130","3.580","102,875.000","1,432","906"
"10007785","The University of Bradford","6","24","19.980","19.980","1.076","109,895.170","896","194"
"10000886","The University of Brighton","6","121","48.665","38.260","9.300","206,673.750","1,590","1,351"
"10007786","The University of Bristol","7","329","295.463","281.463","17.430","532,323.999","1,913","2,734"
"10000961","Brunel University London","1","134","78.350","78.350","19.620","246,858.404","1,968","787"
"10000975","Buckinghamshire New University","5","26","8.500","8.500","0.000","65,954.390","530","378"
"10007788","The University of Cambridge","16","383","617.300","","","725,738.734","3,560","11,120"
"10003324","The Institute of Cancer Research","2","10","5.100","4.050","0.000","42,000.000","362","100"
"10001143","Canterbury Christ Church University","14","108","21.687","11.702","4.708","137,112.045","881","877"
"10007814","Cardiff University","6","288","69.480","25.970","13.770","489,094.000","1,732","3,554"
"10007854","Cardiff Metropolitan University","3","53","27.000","15.000","6.000","97,041.000","1,640","530"
"10007141","The University of Central Lancashire","6","72","58.637","19.930","24.909","191,473.320","2,031","702"
"10007848","University of Chester","3","211","78.100","43.400","17.900","203,712.820","2,417","272"
"10007137","The University of Chichester","2","106","","28.008","","81,874.711","871","575"
"10001478","City, University of London","3","19","12.680","0.000","0.000","126,824.600","28","208"
"10001726","Coventry University","9","111","56.415","36.900","8.702","280,212.486","2,090","1,456"
"10007822","Cranfield University","3","263","254.400","238.310","5.630","185,856.010","2,253","522"
"10006427","University for the Creative Arts","5","60","8.000","8.000","0.000","76,632.110","588","313"
"10007842","University of Cumbria","5","77","33.148","25.550","3.500","66,060.664","1,027","320"
"10001883","De Montfort University","2","60","23.140","8.380","9.030","181,697.560","1,098","780"
"10007851","University of Derby","8","48","48.610","41.810","7.900","162,149.360","1,818","490"
"10007852","The University of Dundee","3","79","40.000","34.600","5.400","201,910.000","765","647"
"10007143","University of Durham","3","386","256.890","57.920","36.930","424,582.000","3,278","2,061"
"10007789","The University of East Anglia","1","99","146.000","130.000","14.000","284,477.670","1,972","4,100"
"10007144","The University of East London","3","29","13.350","12.773","0.200","119,799.470","700","516"
"10007772","Edinburgh Napier University","11","17","35.000","10.123","0.000","110,552.350","770","677"
"10007790","The University of Edinburgh","7","458","355.000","320.000","10.900","919,724.000","2,585","7,582"
"10007791","The University of Essex","4","129","111.560","102.000","7.000","285,009.710","2,996","1,076"
"10007792","The University of Exeter","3","221","107.670","107.670","31.000","284,226.020","1,930","1,689"
"10008640","Falmouth University","2","89","20.660","17.113","0.237","69,296.294","575","332"
"10004511","The National Film and Television School","1","11","1.420","1.420","","12,424.080","105","30"
"10007762","Glasgow Caledonian University","2","23","7.116","4.762","0.000","103,705.810","141","188"
"10002681","Glasgow School of Art","4","15","2.000","2.000","0.000","60,882.000","40","72"
"10007794","The University of Glasgow","18","319","220.000","81.000","23.000","472,725.150","1,483","1,501"
"10002718","Goldsmiths College","","","","","","84,439.850","",""
"10007146","The University of Greenwich","3","57","41.111","21.001","17.560","155,387.370","1,561","592"
"10007825","Guildhall School of Music and Drama","1","4","0.892","0.140","0.000","33,817.040","2","165"
"10007764","Heriot-Watt University","4","90","89.640","89.460","10.440","228,513.260","2,104","609"
"10007147","University of Hertfordshire","8","86","96.720","96.720","21.640","192,422.000","3,502","1,700"
"10007148","The University of Huddersfield","1","29","17.390","11.790","5.600","127,844.370","580","90"
"10007149","The University of Hull","3","98","90.160","45.870","34.930","204,533.000","1,971","1,131"
"10003270","Imperial College of Science, Technology and Medicine","11","105","139.709","118.873","24.253","592,605.000","735","3,143"
"10007767","Keele University","1","155","209.800","97.000","18.500","166,171.000","2,431","464"
"10007150","The University of Kent","2","394","129.360","120.160","9.900","252,943.530","2,526","1,495"
"10003645","King's College London","6","80","","5.800","20.920","436,349.255","79","1,179"
"10003678","Kingston University","5","140","50.640","23.420","21.320","161,554.860","1,395","1,020"
"10007768","The University of Lancaster","2","254","154.770","95.600","9.185","330,974.000","3,091","1,632"
"10003861","Leeds Beckett University","2","94","56.232","18.050","19.207","250,014.290","1,366","976"
"10007795","The University of Leeds","6","365","144.942","79.591","50.289","586,550.550","1,881","2,912"
"10003863","Leeds Trinity University","1","33","18.000","7.000","6.600","43,258.030","483","44"
"10007796","The University of Leicester","5","201","87.770","39.960","26.300","295,705.050","1,967","1,890"
"10007151","The University of Lincoln","3","98","256.818","239.418","3.232","216,283.166","1,147","1,260"
"10003956","Liverpool Hope University","4","53","24.990","14.280","2.110","86,316.000","706","201"
"10003957","Liverpool John Moores University","3","43","23.976","6.544","6.870","170,312.314","742","605"
"10006842","The University of Liverpool","5","216","246.500","83.200","18.600","489,852.000","1,890","755"
"10003958","Liverpool School of Tropical Medicine","1","5","1.120","0.000","0.000","22,456.820","121","120"
"10007162","University of the Arts, London","16","40","8.846","3.618","0.000","183,845.035","110","1,312"
"10007797","University of London (Institutes and activities)","","","","","","214,444.000","",""
"10004048","London Metropolitan University","3","7","2.534","0.375","0.000","83,223.780","25","153"
"10004078","London South Bank University","2","23","7.480","0.360","0.000","150,935.590","88","312"
"10004063","London School of Economics and Political Science","1","41","13.050","1.010","9.300","196,783.500","60","715"
"10007771","London School of Hygiene and Tropical Medicine","5","5","2.243","","","25,462.630","","136"
"10004113","Loughborough University","2","131","129.710","93.754","16.500","324,253.110","3,636","2,238"
"10004180","The Manchester Metropolitan University","1","40","24.220","10.639","7.500","257,710.600","820","1,097"
"10007798","The University of Manchester","6","217","124.170","79.440","8.303","940,458.880","3,682","3,000"
"10004351","Middlesex University","4","45","10.947","6.500","3.200","83,889.540","476","300"
"10007799","Newcastle University","23","230","629.479","23.900","25.820","501,720.550","903","2,103"
"10007138","The University of Northampton","15","43","39.930","39.300","9.000","131,552.000","2,628","106"
"10001282","University of Northumbria at Newcastle","4","57","28.000","25.000","3.000","244,053.000","","1,132"
"10004775","Norwich University of the Arts","","","","","","20,328.000","",""
"10007154","University of Nottingham","4","455","230.000","543.000","48.000","682,709.320","4,955","5,162"
"10004797","The Nottingham Trent University","3","118","266.070","248.812","6.477","221,246.610","1,759","825"
"10007773","The Open University","8","74","52.681","26.510","3.230","131,297.000","2,750","678"
"10004930","Oxford Brookes University","9","152","79.200","56.300","13.600","219,844.390","1,619","2,945"
"10007774","The University of Oxford","13","252","537.672","500.664","11.100","657,720.000","2,045","4,670"
"10007801","University of Plymouth","12","95","19.300","12.240","0.000","186,987.000","506","288"
"10007155","The University of Portsmouth","","88","70.976","20.391","25.282","180,519.456","1,092","1,546"
"10005337","Queen Margaret University, Edinburgh","1","14","16.025","15.052","0.133","46,596.580","431","283"
"10007775","Queen Mary University of London","4","91","27.364","7.395","13.000","265,324.850","220","963"
"10007802","The University of Reading","3","186","130.900","122.800","22.570","206,556.890","2,256","3,541"
"10005500","Robert Gordon University","4","28","56.202","17.000","0.000","106,778.270","1,112","288"
"10005523","Rose Bruford College of Theatre and Performance","2","9","6.000","2.000","2.000","13,707.000","116","140"
"10007778","Royal College of Music","","","","","","16,670.200","",""
"10007816","The Royal Central School of Speech and Drama","2","7","0.620","0.620","0.000","10,634.000","2","60"
"10005553","Royal Holloway and Bedford New College","3","124","77.930","68.880","3.340","187,735.220","1,438","883"
"10007803","The University of St. Andrews","1","147","53.687","44.500","22.260","282,388.100","1,023","2,003"
"10007782","St George's, University of London","1","9","2.270","0.710","0.000","70,592.200","84","409"
"10008026","St Mary's University College","1","4","","","0.000","14,810.000","184",""
"10007843","St Mary's University, Twickenham","5","51","17.230","9.930","10.000","47,937.000","339","251"
"10007156","The University of Salford","3","26","32.000","32.000","10.000","154,250.000","1,928","361"
"10007780","SOAS University of London","2","6","3.971","0.000","0.000","44,474.000","0","340"
"10005700","SRUC","10","267","","","","129,811.054","",""
"10005790","Sheffield Hallam University","3","67","34.230","20.470","8.610","197,111.420","343","600"
"10007157","The University of Sheffield","20","321","144.170","113.580","8.100","541,216.020","2,388","2,609"
"10006022","Solent University","4","40","31.130","20.830","6.350","119,153.000","668","306"
"10007158","The University of Southampton","","","","","","441,231.760","",""
"10006299","Staffordshire University","3","42","52.000","42.000","3.420","96,614.000","1,194","580"
"10007804","The University of Stirling","1","43","135.200","133.000","18.100","166,599.060","1,883","575"
"10037449","University of St Mark and St John","1","62","17.790","10.460","5.000","34,988.000","670","98"
"10007805","The University of Strathclyde","6","53","98.180","79.790","18.390","358,321.000","481","690"
"10014001","University of Suffolk","1","11","7.100","7.100","0.000","29,349.000","461","176"
"10007160","The University of Surrey","3","330","95.700","66.900","16.540","325,906.690","2,023","2,664"
"10007855","Swansea University","4","104","65.547","38.435","5.168","256,013.710","1,630","1,020"
"10007161","Teesside University","3","96","40.961","18.240","22.721","167,206.930","1,406","454"
"10008017","Trinity Laban Conservatoire of Music and Dance","3","4","1.600","0.380","0.000","18,836.600","87","32"
"10007858","University of Wales Trinity Saint David","15","117","37.270","20.660","2.970","148,919.285","1,435","182"
"10007807","Ulster University","6","78","202.229","80.000","30.670","244,571.190","4,936","377"
"10007784","University College London","","244","69.000","4.200","36.000","671,939.370","","1,854"
"10007793","University of South Wales","9","91","49.730","49.730","16.000","184,072.540","2,568","213"
"10007163","The University of Warwick","4","432","184.600","78.750","35.600","565,512.390","6,659","3,600"
"10007164","University of the West of England, Bristol","6","264","74.560","58.665","2.757","309,319.490","2,640","1,269"
"10007800","The University of the West of Scotland","6","57","45.317","21.055","3.791","128,991.650","1,483","321"
"10006566","The University of West London","6","9","2.423","2.423","0.000","51,290.000","128","192"
"10007165","The University of Westminster","11","39","27.000","11.700","10.000","162,599.900","483","351"
"10003614","The University of Winchester","3","62","13.000","8.000","4.000","77,632.000","479","247"
"10007166","The University of Wolverhampton","4","89","37.789","20.484","5.337","188,378.000","1,910","215"
"10007139","University of Worcester","9","66","87.762","72.589","23.268","93,574.570","1,093","815"
"10007833","Wrexham University","7","29","58.550","26.110","2.000","58,593.000","1,384","72"
"10007713","York St John University","9","58","35.250","25.774","6.250","64,779.895","305","782"
"10007167","The University of York","3","436","196.687","163.862","14.521","395,054.193","2,492","6,005"
