﻿Title:,"Table 1 - Buildings and spaces"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2015/16 
Search:,


"UKPRN","HE provider","Total number of sites","Total number of buildings","Total site area (hectares)","Total grounds area (hectares)","Total playing fields area (hectares)","Total gross internal area (m2)","Total number of car parking spaces","Total number of cycle spaces"
"10007783","The University of Aberdeen","5","145","88.923","40.847","21.203","278,210.990","1,530","753"
"10007849","Abertay University","1","14","4.066","2.570","0.000","52,841.000","256","86"
"10007856","Aberystwyth University","4","152","118.720","56.000","23.000","210,351.050","2,525","342"
"10000291","Anglia Ruskin University","3","193","22.781","9.140","8.000","121,158.730","730","2,096"
"10007759","Aston University","2","20","30.300","17.000","18.000","107,119.208","497","238"
"10007857","Bangor University","15","168","345.000","327.000","15.200","214,005.000","1,951","685"
"10000571","Bath Spa University","4","71","60.140","53.320","2.240","55,902.000","843","241"
"10007850","The University of Bath","1","99","53.000","31.000","24.000","269,858.000","2,097","874"
"10007152","University of Bedfordshire","6","63","36.542","28.092","5.683","113,583.000","714","238"
"10005343","Queen's University Belfast","6","230","59.400","40.230","27.920","329,237.000","1,402","990"
"10007760","Birkbeck College","2","17","4.039","0.000","0.000","40,396.340","0","30"
"10007140","Birmingham City University","","","20.170","20.170","0.000","184,223.850","",""
"10006840","The University of Birmingham","5","194","110.600","97.500","25.023","531,782.800","3,591",""
"10000712","University College Birmingham","5","8","2.700","1.760","0.000","67,293.810","309","159"
"10007832","Birmingham Newman University","1","17","5.900","4.660","1.280","20,375.000","325","65"
"10007811","Bishop Grosseteste University","1","25","8.100","4.300","4.200","20,971.970","228","102"
"10006841","The University of Bolton","4","17","10.634","7.200","0.000","61,278.340","526","45"
"10000385","The Arts University Bournemouth","1","11","3.700","3.700","0.000","23,114.730","220","180"
"10000824","Bournemouth University","3","31","17.460","9.471","3.580","105,217.490","1,227","807"
"10007785","The University of Bradford","6","35","50.100","19.500","26.000","108,289.890","1,298","210"
"10000886","The University of Brighton","6","124","48.665","38.260","9.300","198,735.450","1,421","1,032"
"10007786","The University of Bristol","6","322","297.312","50.044","16.400","519,042.500","1,738","3,152"
"10000961","Brunel University London","1","137","78.350","78.350","17.260","238,017.690","2,111","788"
"10000975","Buckinghamshire New University","3","27","8.100","7.000","0.000","57,485.330","546","228"
"10007788","The University of Cambridge","16","344","288.000","","","644,272.250","3,700","9,000"
