﻿Title:,"Table 3 - Emissions and waste"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 3
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-3
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-3.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2021/22 
Search:,


"UKPRN","HE provider","Total scope 1 and 2 carbon emissions (Kg CO2e)","Total volume of wastewater (m3)","Total scope 3 carbon emissions from waste (tonnes CO2e)","Total scope 3 carbon emissions from water supply (tonnes CO2e)","Total scope 3 carbon emissions from wastewater treatment (tonnes CO2e)","Total waste mass (tonnes)"
"10007783","The University of Aberdeen","13,782,702.344","119,799.642","15.244","18.789","33.138",""
"10007849","Abertay University","1,604,580.032","","","1.409","","43.000"
"10007856","Aberystwyth University","8,135,260.482","207,048.510","0.000","38.311","56.317","582.600"
"10000291","Anglia Ruskin University","4,884,496.946","66,156.803","8.853","10.952","17.995","418.566"
"10007759","Aston University","5,024,582.024","60,353.000","6.700","8.993","16.416","407.600"
"10007857","Bangor University","6,602,198.016","100,878.650","15.198","17.885","27.445","787.795"
"10000571","Bath Spa University","1,947,929.894","57,925.300","","9.085","15.837","408.000"
"10007850","The University of Bath","15,912,142.526","296,927.000","","44.242","80.764","1,439.627"
"10007152","University of Bedfordshire","3,094,615.795","32,819.000","4.947","4.625","9.410","226.980"
"10005343","Queen's University Belfast","21,117,026.338","317,386.000","75.319","49.779","109.864","2,447.080"
"10007760","Birkbeck College","2,048,492.215","7,837.000","2.073","3.352","2.132","97.400"
"10007140","Birmingham City University","7,402,075.619","70,586.000","7.630","10.517","19.199","1,487.192"
"10006840","The University of Birmingham","42,967,759.252","383,127.000","41.000","60.528","104.211","2,719.200"
"10007811","Bishop Grosseteste University","783,158.987","22,564.372","532.790","3.540","6.202","74.333"
"10000385","The Arts University Bournemouth","1,162,941.463","21,296.630","4.691","3.340","5.793","220.296"
"10000824","Bournemouth University","3,076,732.189","31,210.000","5,110.413","4.895","8.685","338.917"
"10007785","The University of Bradford","7,478,641.379","65,996.000","5.400","10.351","18.046","373.065"
"10000886","The University of Brighton","7,018,429.937","102,629.250","9.140","16.922","50.942","473.383"
"10007786","The University of Bristol","25,674,574.115","305,977.900","","50.073","87.055","3,534.291"
"10000961","Brunel University London","9,635,706.620","510,600.076","37.753","76.080","139.142","1,838.009"
"10000975","Buckinghamshire New University","2,318,245.307","53,831.000","","8.021","14.642","397.000"
"10007788","The University of Cambridge","49,118,598.954","330,840.000","133.000","54.772","90.784","3,672.610"
"10003324","The Institute of Cancer Research","4,988,820.799","27,807.000","4.437","4.143","7.564","207.510"
"10001143","Canterbury Christ Church University","4,090,313.602","86,165.000","","13.514","23.437","303.610"
"10007814","Cardiff University","24,230,936.305","292,007.607","","45.875","79.698","12,392.649"
"10007854","Cardiff Metropolitan University","2,758,151.242","70,000.000","13.150","10.979","19.040","629.040"
"10007141","The University of Central Lancashire","9,300,697.715","59,620.000","12.895","8.883","16.684","613.933"
"10007848","University of Chester","9,222,926.217","13,161.750","","5.502","8.340","548.039"
"10007137","The University of Chichester","2,101,286.644","49,653.160","","6.008","13.506","549.608"
"10001478","City, University of London","6,147,127.851","29,972.655","23,154.000","4.962","8.369","1,149.559"
"10001726","Coventry University","11,182,244.714","215,790.980","28.533","32.153","59.304","2,651.015"
"10007822","Cranfield University","9,609,023.337","6,165.500","19.562","23.926","1.677","1,060.308"
"10006427","University for the Creative Arts","3,070,858.413","57,956.000","7.881","8.636","15.764","376.464"
"10007842","University of Cumbria","2,583,244.177","19,043.010","6.243","4.510","5.180","236.947"
"10001883","De Montfort University","6,130,401.056","57,543.000","590.322","8.574","15.652","729.129"
"10007851","University of Derby","4,812,041.474","93,335.000","","13.907","25.387","744.874"
"10007852","The University of Dundee","","","54.100","17.188","","677.000"
"10007143","University of Durham","20,388,349.029","396,994.845","57.610","53.077","108.546","2,527.040"
"10007789","The University of East Anglia","19,026,518.014","213,500.000","79.000","31.812","58.090","1,366.000"
"10007144","The University of East London","4,584,953.861","132,660.850","","20.807","36.084","635.580"
"10007772","Edinburgh Napier University","3,076,526.593","17,437.250","329.530","2.735","4.743","1,925.740"
"10007790","The University of Edinburgh","65,070,004.702","327,135.375","136.000","56.806","88.981","5,409.150"
"10007791","The University of Essex","10,298,772.086","150,951.600","152.000","24.991","41.059","1,254.429"
"10007792","The University of Exeter","14,168,094.202","385,729.558","83.370","60.499","105.009","2,647.979"
"10008640","Falmouth University","2,634,755.242","40,890.000","5.250","6.587","11.122","262.330"
"10004511","The National Film and Television School","499,500.416","3,729.000","0.000","0.666","1.014","74.000"
"10007762","Glasgow Caledonian University","5,168,804.400","17,816.000","13.910","","4.846","366.980"
"10002681","Glasgow School of Art","1,823,841.496","","2.595","2.034","","89.690"
"10007794","The University of Glasgow","27,666,512.634","256,097.200","","40.166","69.746",""
"10007145","University of Gloucestershire","2,111,481.500","44,143.000","19.800","6.577","12.007","389.500"
"10002718","Goldsmiths College","2,498,324.059","52,405.000","0.000","7.809","14.254","420.653"
"10007146","The University of Greenwich","5,433,698.376","86,731.000","13.040","13.603","23.591","688.720"
"10007825","Guildhall School of Music and Drama","1,327,609.227","15,445.470","1.646","2.773","4.201","81.009"
"10007764","Heriot-Watt University","10,373,372.177","235,709.000","44.368","36.969","67.430","986.513"
"10007147","University of Hertfordshire","13,591,051.010","263,910.000","16.000","39.322","71.784","620.000"
"10007148","The University of Huddersfield","4,812,816.818","30,387.035","","4.766","8.269","322.802"
"10007149","The University of Hull","7,720,348.855","67,750.200","17.226","10.626","18.428","914.254"
"10003270","Imperial College of Science, Technology and Medicine","55,259,174.860","386,423.990","89.863","59.916","105.107","4,033.389"
"10007767","Keele University","7,502,315.494","197,059.000","16.010","29.362","53.607","1,901.204"
"10007150","The University of Kent","10,674,204.118","223,567.300","21.790","35.065","60.810","1,267.164"
"10003645","King's College London","24,559,247.118","305,992.000","25.799","45.593","83.230","1,480.558"
"10003678","Kingston University","5,289,663.207","87,063.000","3.884","12.972","23.681","875.519"
"10007768","The University of Lancaster","17,136,157.292","422,691.000","","62.981","115.037","1,685.799"
"10003861","Leeds Beckett University","5,478,165.871","62,797.028","12.500","12.475","17.143","1,209.200"
"10007795","The University of Leeds","43,501,460.079","702,476.306","40.000","112.938","193.015","11,876.000"
"10003863","Leeds Trinity University","1,515,285.779","26,456.549","","4.149","7.196","83.840"
"10007796","The University of Leicester","15,535,379.297","228,685.000","64.121","34.074","62.670","1,093.041"
"10007151","The University of Lincoln","6,746,635.619","156,319.200","34.133","25.879","42.519","859.164"
"10003956","Liverpool Hope University","2,638,275.802","52,184.070","7.318","7.776","14.212","348.224"
"10003957","Liverpool John Moores University","6,104,344.106","45,501.000","0.000","6.780","12.376","680.978"
"10006842","The University of Liverpool","38,939,153.279","316,040.830","29.130","47.090","85.963","1,977.710"
"10003958","Liverpool School of Tropical Medicine","1,884,889.290","3,562.010","1.760","0.782","0.969","81.988"
"10007162","University of the Arts, London","5,394,670.095","100,450.003","18.816","14.967","27.322","904.921"
"10007797","University of London (Institutes and activities)","3,463,286.281","60,244.000","","8.976","16.386","518.073"
"10004048","London Metropolitan University","2,766,489.129","44,223.660","116.000","7.037","12.029","296.203"
"10004078","London South Bank University","3,969,455.803","40,138.996","10.000","5.981","10.918","302.317"
"10004063","London School of Economics and Political Science","7,877,202.234","174,877.000","17.962","26.400","48.087","1,429.296"
"10007771","London School of Hygiene and Tropical Medicine","1,661,493.850","6,036.000","0.544","2.570","1.642","56.645"
"10004113","Loughborough University","20,693,204.634","284,316.000","83.600","43.501","77.334","1,955.080"
"10004180","The Manchester Metropolitan University","8,484,049.652","128,157.920","21.618","20.101","61.347","2,801.875"
"10007798","The University of Manchester","50,197,489.538","690,607.708","3,507.000","102.900","187.845","3,598.205"
"10007799","Newcastle University","21,858,564.793","271,954.600","54.717","42.654","74.768","2,691.260"
"10007138","The University of Northampton","3,526,828.420","68,062.630","11.207","11.302","18.513","652.401"
"10001282","University of Northumbria at Newcastle","9,050,134.015","158,033.184","21.132","24.786","43.393","1,112.060"
"10004775","Norwich University of the Arts","695,681.825","7,106.400","","1.176","1.933","242.520"
"10007154","University of Nottingham","34,131,505.254","542,695.000","43.552","89.846","161.202","2,666.362"
"10004797","The Nottingham Trent University","10,413,345.559","85,232.000","64.460","13.367","23.190","1,072.390"
"10007773","The Open University","5,308,136.750","26,109.000","","4.071","7.102","501.860"
"10004930","Oxford Brookes University","7,330,003.445","123,708.000","9,542.000","18.502","33.812","1,275.214"
"10007774","The University of Oxford","42,362,130.438","205,149.880","0.000","44.952","58.738","1,778.410"
"10007801","University of Plymouth","4,920,658.061","73,580.000","26.540","11.540","20.047","9,387.680"
"10007155","The University of Portsmouth","5,999,220.135","89,826.421","10.246","14.746","24.433","469.956"
"10005337","Queen Margaret University, Edinburgh","1,970,698.894","68,988.970","4.612","11.421","18.765","295.272"
"10007775","Queen Mary University of London","11,549,467.181","445,068.322","","69.805","121.059","1,149.974"
"10007802","The University of Reading","9,540,599.723","92,275.160","20.461","16.045","26.049","1,033.070"
"10005500","Robert Gordon University","4,775,204.831","42,914.000","8.600","6.773","11.673","276.377"
"10005523","Rose Bruford College of Theatre and Performance","448,873.673","3,148.000","12.000","1.849","0.856","66.000"
"10007778","Royal College of Music","558,066.932","4,096.000","0.724","0.610","1.114","34.817"
"10007816","The Royal Central School of Speech and Drama","354,601.213","4,694.000","0.000","0.699","1.277","121.580"
"10005553","Royal Holloway and Bedford New College","7,401,480.259","262,679.000","","39.326","71.449","589.547"
"10007803","The University of St. Andrews","13,749,500.000","259,776.000","72.837","40.744","","3,262.524"
"10007782","St George's, University of London","5,817,182.593","70,695.000","1.551","10.534","29.127","264.271"
"10008026","St Mary's University College","339,224.594","3,996.000","","0.627","1.087","21.210"
"10007843","St Mary's University, Twickenham","1,979,862.938","38,102.000","","5.108","10.410","435.722"
"10007156","The University of Salford","5,188,144.745","71,175.000","8.060","10.605","19.483","1,420.049"
"10005700","SRUC","","","","","",""
