﻿Title:,"Table 3 - Emissions and waste"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 3
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-3
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-3.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2015/16 
Search:,


"UKPRN","HE provider","Total scope 1 and 2 carbon emissions (Kg CO2e)","Total volume of wastewater (m3)","Total scope 3 carbon emissions from waste (tonnes CO2e)","Total scope 3 carbon emissions from water supply (tonnes CO2e)","Total scope 3 carbon emissions from wastewater treatment (tonnes CO2e)","Total waste mass (tonnes)"
"10007783","The University of Aberdeen","37,281,237.168","206,240.210","","63.754","147.191",""
"10007849","Abertay University","2,812,732.965","0.000","","5.160","0.000","59.850"
"10007856","Aberystwyth University","12,697,516.418","129,661.000","","70.799","91.800","639.557"
"10000291","Anglia Ruskin University","8,008,526.255","65,424.542","12.543","23.691","46.321","599.794"
"10007759","Aston University","7,665,910.379","73,041.000","77.854","25.126","51.867","769.825"
"10007857","Bangor University","11,190,139.802","141,991.000","146.700","52.771","100.556","856.700"
"10000571","Bath Spa University","3,332,746.465","45,796.000","","16.583","32.636","383.197"
"10007850","The University of Bath","21,094,499.848","304,997.000","","116.577","215.938","2,117.200"
"10007152","University of Bedfordshire","5,945,999.007","39,430.800","8.790","15.072","29.974","445.058"
"10005343","Queen's University Belfast","24,752,316.007","284,467.000","76.720","103.007","279.371","27,726.310"
"10007760","Birkbeck College","3,258,751.517","14,285.000","4.190","14.040","10.114","199.681"
"10007140","Birmingham City University","11,403,959.962","67,340.000","","24.885","47.677","35,181.520"
"10006840","The University of Birmingham","46,941,552.526","546,734.000","63.900","188.076","387.088","13,269.600"
"10000712","University College Birmingham","4,009,624.134","74,784.000","","25.725","52.947","2,287.300"
"10007832","Birmingham Newman University","1,063,595.470","9,735.000","","3.865","6.892","76.000"
"10007811","Bishop Grosseteste University","607,814.777","4,937.620","532.790","2.554","3.717","330.321"
"10006841","The University of Bolton","3,047,192.549","35,606.000","","14.269","25.528","1,074.300"
"10000385","The Arts University Bournemouth","1,167,593.248","8,655.450","5.180","3.134","6.128","242.884"
"10000824","Bournemouth University","5,489,703.051","79,841.800","","28.036","56.528","1,031.260"
"10007785","The University of Bradford","7,749,068.945","59,718.000","6.000","21.520","42.564","351.700"
"10000886","The University of Brighton","9,796,153.936","83,644.110","16.166","38.209","59.244","11,695.428"
"10007786","The University of Bristol","44,402,681.321","300,026.606","0.000","130.107","216.738","2,981.371"
"10000961","Brunel University London","16,597,222.892","450,208.000","31.000","154.872","319.248","1,469.830"
"10000975","Buckinghamshire New University","3,617,049.230","36,535.190","0.000","12.568","25.867","432.238"
"10007788","The University of Cambridge","68,270,431.166","306,022.585","435.218","116.498","217.973","8,581.728"
