﻿Title:,"Table 5 - Finances and people"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 5
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2016/17 
Search:,


"UKPRN","HE provider","Total income (£)","Teaching income (£)","Research income (£)","Other non-residential income (£)","Non-residential income total (£)","Total expenditure (£)"
"10007783","The University of Aberdeen","222,462,000","104,335,000","84,149,000","20,288,000","208,772,000","229,250,000"
"10007849","Abertay University","34,671,000","27,970,000","2,363,000","3,300,000","33,633,000","34,256,000"
"10007856","Aberystwyth University","124,521,000","63,189,000","29,034,000","19,864,000","112,087,000","127,153,000"
"10000291","Anglia Ruskin University","213,994,000","174,912,000","8,728,000","22,729,000","206,369,000","206,535,000"
"10007759","Aston University","162,373,000","112,439,000","20,635,000","19,971,000","153,045,000","148,803,000"
"10007857","Bangor University","143,380,000","88,826,000","24,321,000","15,421,000","128,568,000","152,144,000"
"10000571","Bath Spa University","82,791,000","66,505,000","2,493,000","3,449,000","72,447,000","77,787,000"
"10007850","The University of Bath","266,960,000","163,613,000","52,292,000","21,311,000","237,216,000","268,102,000"
"10007152","University of Bedfordshire","112,537,000","96,702,000","6,135,000","7,105,000","109,942,000","111,587,000"
"10005343","Queen's University Belfast","338,349,000","165,257,000","112,086,000","49,062,000","326,405,000","326,236,000"
"10007760","Birkbeck College","108,595,000","77,118,000","18,602,000","11,654,000","107,374,000","100,172,000"
"10007140","Birmingham City University","211,185,000","190,559,000","3,828,000","7,138,000","201,525,000","203,072,000"
"10006840","The University of Birmingham","641,490,000","343,264,000","164,519,000","90,312,000","598,095,000","603,985,000"
"10000712","University College Birmingham","52,033,000","44,982,000","0","1,602,000","46,584,000","45,609,000"
"10007832","Birmingham Newman University","24,451,000","20,943,000","1,158,000","1,198,000","23,299,000","22,789,000"
"10007811","Bishop Grosseteste University","22,114,000","18,424,000","135,000","1,414,000","19,973,000","21,432,000"
"10006841","The University of Bolton","49,660,000","45,503,000","1,082,000","1,334,000","47,919,000","50,525,000"
"10000385","The Arts University Bournemouth","40,533,000","34,642,000","125,000","1,442,000","36,209,000","37,252,000"
"10000824","Bournemouth University","155,130,000","132,971,000","7,192,000","5,600,000","145,763,000","153,494,000"
"10007785","The University of Bradford","113,408,000","90,007,000","11,721,000","9,160,000","110,888,000","118,911,000"
"10000886","The University of Brighton","207,403,000","160,814,000","14,052,000","14,350,000","189,216,000","207,089,000"
"10000936","The University College of Osteopathy","5,470,000","4,577,000","2,000","891,000","5,470,000","4,887,000"
"10007786","The University of Bristol","608,046,000","285,749,000","206,572,000","72,421,000","564,742,000","560,799,000"
"10000961","Brunel University London","200,612,000","121,879,000","32,423,000","10,619,000","164,921,000","200,057,000"
"10000975","Buckinghamshire New University","61,911,000","51,692,000","865,000","2,252,000","54,809,000","66,085,000"
"10007788","The University of Cambridge","1,869,925,000","332,384,000","587,941,000","936,926,000","1,857,251,000","1,806,504,000"
"10003324","The Institute of Cancer Research","124,048,000","6,782,000","75,434,000","41,832,000","124,048,000","109,437,000"
"10001143","Canterbury Christ Church University","134,054,000","110,009,000","2,704,000","8,887,000","121,600,000","130,226,000"
"10007814","Cardiff University","505,123,000","269,655,000","143,976,000","64,259,000","477,890,000","513,839,000"
"10007854","Cardiff Metropolitan University","99,871,000","74,246,000","2,729,000","16,995,000","93,970,000","99,817,000"
"10007141","The University of Central Lancashire","211,700,000","172,165,000","10,279,000","19,329,000","201,773,000","201,292,000"
"10007848","University of Chester","121,266,000","102,716,000","2,216,000","6,656,000","111,588,000","113,653,000"
"10007137","The University of Chichester","56,274,000","43,758,000","1,883,000","3,218,000","48,859,000","55,298,000"
"10001478","City, University of London","226,701,000","190,857,000","22,363,000","11,227,000","224,447,000","221,140,000"
"10001653","Conservatoire for Dance and Drama","20,271,000","20,270,000","0","1,000","20,271,000","20,292,000"
"10007761","Courtauld Institute of Art","19,479,000","8,060,000","3,363,000","7,361,000","18,784,000","17,422,000"
"10001726","Coventry University","330,402,000","282,127,000","19,329,000","16,751,000","318,207,000","314,666,000"
"10007822","Cranfield University","176,359,000","75,673,000","44,818,000","44,862,000","165,353,000","173,035,000"
"10006427","University for the Creative Arts","61,429,000","51,961,000","534,000","2,977,000","55,472,000","61,027,000"
"10007842","University of Cumbria","60,333,000","51,795,000","610,000","4,644,000","57,049,000","64,747,000"
"10001883","De Montfort University","204,873,000","185,905,000","7,963,000","6,349,000","200,217,000","190,923,000"
"10007851","University of Derby","164,763,000","138,635,000","3,122,000","9,235,000","150,992,000","165,415,000"
"10007852","The University of Dundee","244,365,000","110,222,000","98,925,000","26,578,000","235,725,000","251,876,000"
"10007143","University of Durham","361,154,000","195,909,000","78,575,000","43,209,000","317,693,000","327,924,000"
"10007789","The University of East Anglia","267,368,000","159,533,000","51,226,000","29,339,000","240,098,000","260,757,000"
"10007144","The University of East London","132,645,000","110,047,000","4,927,000","8,059,000","123,033,000","143,442,000"
"10007823","Edge Hill University","127,365,000","109,218,000","1,661,000","5,727,000","116,606,000","106,762,000"
"10007772","Edinburgh Napier University","122,482,000","98,255,000","6,903,000","7,198,000","112,356,000","123,660,000"
"10007790","The University of Edinburgh","928,847,000","381,119,000","354,470,000","128,303,000","863,892,000","872,645,000"
"10007791","The University of Essex","220,825,000","129,528,000","37,842,000","23,694,000","191,064,000","202,326,000"
"10007792","The University of Exeter","397,056,000","240,027,000","93,470,000","38,469,000","371,966,000","389,671,000"
"10008640","Falmouth University","55,087,000","50,675,000","1,179,000","2,539,000","54,393,000","49,111,000"
"10004511","The National Film and Television School","15,236,000","10,295,000","0","4,941,000","15,236,000","13,458,000"
"10007762","Glasgow Caledonian University","116,161,000","97,745,000","9,146,000","4,422,000","111,313,000","118,958,000"
"10002681","Glasgow School of Art","40,796,000","25,958,000","5,384,000","7,861,000","39,203,000","39,915,000"
"10007794","The University of Glasgow","607,843,000","284,610,000","233,648,000","67,411,000","585,669,000","569,581,000"
"10007145","University of Gloucestershire","83,000,000","67,542,000","2,037,000","5,294,000","74,873,000","79,042,000"
"10002718","Goldsmiths College","114,786,000","89,328,000","10,527,000","5,375,000","105,230,000","115,057,000"
"10007146","The University of Greenwich","200,549,000","156,783,000","16,017,000","9,535,000","182,335,000","196,536,000"
"10007825","Guildhall School of Music and Drama","31,928,000","19,764,000","551,000","10,020,000","30,335,000","29,675,000"
"10040812","Harper Adams University","42,684,000","29,220,000","3,680,000","5,686,000","38,586,000","41,277,000"
"10007764","Heriot-Watt University","221,218,000","143,899,000","43,545,000","16,063,000","203,507,000","228,110,000"
"10007147","University of Hertfordshire","263,749,000","179,458,000","14,985,000","36,565,000","231,008,000","251,256,000"
"10007148","The University of Huddersfield","165,312,000","139,048,000","15,197,000","9,739,000","163,984,000","151,509,000"
"10007149","The University of Hull","197,374,000","142,641,000","18,130,000","20,086,000","180,857,000","188,934,000"
"10003270","Imperial College of Science, Technology and Medicine","991,084,000","313,956,000","455,413,000","167,237,000","936,606,000","908,855,000"
"10007767","Keele University","155,732,000","88,213,000","25,438,000","23,935,000","137,586,000","152,672,000"
"10007150","The University of Kent","267,087,000","182,271,000","30,610,000","18,612,000","231,493,000","251,161,000"
"10003645","King's College London","778,150,000","356,476,000","258,999,000","112,699,000","728,174,000","764,108,000"
"10003678","Kingston University","201,302,000","165,040,000","7,020,000","9,319,000","181,379,000","215,395,000"
"10007768","The University of Lancaster","268,736,000","142,618,000","57,517,000","34,660,000","234,795,000","270,261,000"
"10003854","Leeds Arts University","16,808,000","16,528,000","0","280,000","16,808,000","14,185,000"
"10003861","Leeds Beckett University","221,428,000","179,425,000","5,708,000","12,818,000","197,951,000","217,137,000"
"10007795","The University of Leeds","674,918,000","361,477,000","174,953,000","80,776,000","617,206,000","663,632,000"
"10003863","Leeds Trinity University","32,658,000","27,938,000","175,000","1,084,000","29,197,000","32,021,000"
"10007796","The University of Leicester","305,406,000","177,642,000","71,281,000","27,324,000","276,247,000","300,352,000"
"10007151","The University of Lincoln","143,110,000","116,219,000","12,108,000","8,067,000","136,394,000","140,572,000"
"10003956","Liverpool Hope University","51,307,000","44,024,000","1,275,000","711,000","46,010,000","47,706,000"
"10003957","Liverpool John Moores University","208,610,000","188,271,000","14,603,000","4,358,000","207,232,000","206,504,000"
"10003945","The Liverpool Institute for Performing Arts","10,260,000","8,951,000","0","1,021,000","9,972,000","9,606,000"
"10006842","The University of Liverpool","523,092,000","305,268,000","123,308,000","67,527,000","496,103,000","479,102,000"
"10003958","Liverpool School of Tropical Medicine","111,494,000","7,981,000","81,315,000","22,198,000","111,494,000","110,029,000"
"10007162","University of the Arts, London","281,398,000","239,430,000","5,033,000","11,711,000","256,174,000","264,004,000"
