﻿Title:,"Table 5 - Finances and people"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 5
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2015/16 
Search:,


"UKPRN","HE provider","Total income (£)","Teaching income (£)","Research income (£)","Other non-residential income (£)","Non-residential income total (£)","Total expenditure (£)"
"10007783","The University of Aberdeen","229,962,000","104,969,000","87,619,000","22,820,000","215,408,000","234,533,000"
"10007849","Abertay University","34,300,000","28,806,000","1,939,000","1,668,000","32,413,000","33,030,000"
"10007856","Aberystwyth University","123,176,000","65,665,000","28,983,000","17,083,000","111,731,000","128,282,000"
"10000291","Anglia Ruskin University","203,760,000","163,341,000","6,409,000","26,415,000","196,165,000","198,423,000"
"10007759","Aston University","150,321,000","99,897,000","21,029,000","20,787,000","141,713,000","145,386,000"
"10007857","Bangor University","143,442,000","86,371,000","24,772,000","17,687,000","128,830,000","153,864,000"
"10000571","Bath Spa University","75,581,000","62,418,000","2,397,000","4,137,000","68,952,000","66,487,000"
"10007850","The University of Bath","263,228,000","157,559,000","52,802,000","22,908,000","233,269,000","249,140,000"
"10007152","University of Bedfordshire","113,415,000","98,783,000","5,669,000","6,467,000","110,919,000","112,763,000"
"10005343","Queen's University Belfast","316,538,000","151,219,000","107,281,000","46,783,000","305,283,000","315,927,000"
"10007760","Birkbeck College","108,087,000","77,900,000","19,727,000","9,340,000","106,967,000","98,426,000"
"10007140","Birmingham City University","200,749,000","181,790,000","4,150,000","8,250,000","194,190,000","183,125,000"
"10006840","The University of Birmingham","650,426,000","337,157,000","175,084,000","96,190,000","608,431,000","566,115,000"
"10000712","University College Birmingham","51,712,000","45,177,000","0","1,383,000","46,560,000","44,157,000"
"10007832","Birmingham Newman University","23,961,000","21,097,000","757,000","1,024,000","22,878,000","22,090,000"
"10007811","Bishop Grosseteste University","20,436,000","17,679,000","82,000","688,000","18,449,000","18,622,000"
"10006841","The University of Bolton","47,329,000","43,322,000","1,044,000","1,241,000","45,607,000","46,449,000"
"10000385","The Arts University Bournemouth","37,770,000","32,648,000","130,000","1,512,000","34,290,000","35,439,000"
"10000824","Bournemouth University","150,485,000","127,194,000","7,677,000","6,718,000","141,589,000","148,931,000"
"10007785","The University of Bradford","124,022,000","97,298,000","12,282,000","11,835,000","121,415,000","126,850,000"
"10000886","The University of Brighton","204,244,000","159,438,000","13,798,000","13,478,000","186,714,000","202,287,000"
"10007786","The University of Bristol","576,257,000","260,885,000","195,478,000","80,719,000","537,082,000","537,280,000"
"10000961","Brunel University London","201,673,000","123,530,000","33,584,000","10,598,000","167,712,000","199,407,000"
"10000975","Buckinghamshire New University","65,383,000","54,083,000","992,000","3,330,000","58,405,000","64,202,000"
"10007788","The University of Cambridge","1,799,472,000","335,834,000","590,439,000","862,765,000","1,789,038,000","1,733,753,000"
"10003324","The Institute of Cancer Research","161,878,000","7,946,000","76,509,000","77,423,000","161,878,000","109,984,000"
"10001143","Canterbury Christ Church University","134,833,000","109,826,000","3,469,000","8,624,000","121,919,000","127,601,000"
"10007814","Cardiff University","511,753,000","263,075,000","156,288,000","66,218,000","485,581,000","484,675,000"
"10007854","Cardiff Metropolitan University","98,260,000","73,306,000","3,971,000","15,299,000","92,576,000","97,710,000"
"10007141","The University of Central Lancashire","209,627,000","170,074,000","9,705,000","19,312,000","199,091,000","198,676,000"
"10007848","University of Chester","119,413,000","97,971,000","2,814,000","9,048,000","109,833,000","119,158,000"
"10007137","The University of Chichester","52,847,000","41,152,000","1,449,000","3,151,000","45,752,000","51,609,000"
"10001478","City, University of London","217,516,000","181,082,000","22,340,000","11,884,000","215,306,000","205,631,000"
"10001653","Conservatoire for Dance and Drama","20,084,000","20,083,000","0","1,000","20,084,000","20,033,000"
"10007761","Courtauld Institute of Art","18,263,000","6,223,000","3,290,000","8,098,000","17,611,000","17,046,000"
"10001726","Coventry University","305,117,000","261,295,000","12,305,000","19,285,000","292,885,000","276,943,000"
"10007822","Cranfield University","176,243,000","82,046,000","49,427,000","34,267,000","165,740,000","176,214,000"
"10006427","University for the Creative Arts","58,171,000","49,215,000","486,000","2,949,000","52,650,000","57,461,000"
"10007842","University of Cumbria","63,013,000","55,229,000","531,000","3,818,000","59,578,000","60,694,000"
"10001883","De Montfort University","181,427,000","164,468,000","7,209,000","5,872,000","177,549,000","168,187,000"
"10007851","University of Derby","152,312,000","129,665,000","2,335,000","8,087,000","140,087,000","152,338,000"
"10007852","The University of Dundee","239,128,000","106,574,000","95,353,000","28,897,000","230,824,000","244,780,000"
"10007143","University of Durham","331,934,000","183,343,000","76,311,000","30,566,000","290,220,000","326,744,000"
"10007789","The University of East Anglia","250,075,000","150,095,000","49,566,000","26,216,000","225,877,000","247,900,000"
"10007144","The University of East London","138,011,000","116,746,000","4,805,000","7,900,000","129,451,000","144,280,000"
"10007823","Edge Hill University","128,127,000","110,032,000","1,655,000","6,756,000","118,443,000","106,410,000"
"10007772","Edinburgh Napier University","117,150,000","93,847,000","7,378,000","6,843,000","108,068,000","119,776,000"
"10007790","The University of Edinburgh","908,465,000","354,618,000","365,284,000","129,865,000","849,767,000","843,993,000"
"10007791","The University of Essex","197,518,000","121,321,000","34,365,000","15,639,000","171,325,000","192,220,000"
"10007792","The University of Exeter","371,116,000","226,881,000","84,782,000","34,676,000","346,339,000","358,179,000"
"10008640","Falmouth University","49,349,000","45,349,000","896,000","2,449,000","48,694,000","46,633,000"
"10004511","The National Film and Television School","12,553,000","8,438,000","0","4,115,000","12,553,000","11,253,000"
"10007762","Glasgow Caledonian University","116,285,000","98,645,000","8,569,000","4,795,000","112,009,000","121,134,000"
"10002681","Glasgow School of Art","77,315,000","24,975,000","5,783,000","45,037,000","75,795,000","41,280,000"
"10007794","The University of Glasgow","582,552,000","265,234,000","232,835,000","58,210,000","556,279,000","571,007,000"
"10007145","University of Gloucestershire","76,687,000","62,220,000","1,834,000","4,786,000","68,840,000","76,010,000"
"10002718","Goldsmiths College","103,969,000","79,350,000","10,664,000","5,685,000","95,699,000","104,399,000"
