﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Entrant marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","England","Scotland","Wales","Northern Ireland","Other UK","Total UK","European Union","Non-European Union","Total Non-UK","Not known","Total"
"10008071","AA School of Architecture","90","0","0","0","0","95","125","555","680","0","775"
"10007783","The University of Aberdeen","1,435","7,880","45","170","10","9,545","2,900","2,335","5,235","0","14,775"
"10007849","Abertay University","135","3,515","0","25","0","3,675","530","155","680","0","4,355"
"10007856","Aberystwyth University","3,615","45","2,715","90","20","6,485","900","460","1,360","0","7,845"
"10000080","Access to Music Limited","20","0","0","0","0","20","0","0","0","0","20"
"10067853","ACM Guildford Limited","1,070","5","15","5","5","1,100","65","15","85","0","1,185"
"10000248","Academy of Live and Recorded Arts","225","10","5","0","0","240","10","5","15","0","260"
"10000163","AECC University College","345","5","10","5","5","370","105","120","225","0","595"
"10032036","Amity Global Education","40","0","0","0","0","40","0","30","30","0","75"
"10000291","Anglia Ruskin University","20,700","75","80","75","15","20,950","1,555","1,985","3,540","0","24,490"
"10041898","Apex College","50","0","0","0","0","50","0","0","0","0","50"
"10005451","Arden University","5,070","15","55","5","5","5,145","10","20","30","0","5,175"
"10000381","Arts Educational Schools","230","5","5","5","0","250","15","5","25","0","275"
"10007759","Aston University","12,275","40","185","20","5","12,525","740","1,725","2,465","0","14,990"
"10007857","Bangor University","4,165","40","3,905","95","30","8,230","535","1,425","1,965","0","10,195"
"10000571","Bath Spa University","6,665","15","550","60","20","7,305","235","340","575","0","7,880"
"10007850","The University of Bath","11,335","135","795","145","90","12,495","1,825","3,745","5,570","0","18,065"
"10007152","University of Bedfordshire","10,355","20","30","35","10","10,445","1,725","1,760","3,485","0","13,930"
"10005343","Queen's University Belfast","1,390","125","65","19,305","30","20,915","1,025","2,755","3,780","0","24,695"
"10037544","BIMM University","4,010","40","170","35","40","4,290","675","150","825","0","5,115"
"10007760","Birkbeck College","9,945","20","30","10","5","10,015","690","685","1,375","0","11,390"
"10007140","Birmingham City University","22,380","85","320","90","20","22,895","755","2,205","2,960","0","25,855"
"10006840","The University of Birmingham","25,105","140","895","75","100","26,320","1,575","7,550","9,125","0","35,445"
"10000712","University College Birmingham","3,225","5","55","10","5","3,300","1,105","500","1,600","0","4,905"
"10007832","Birmingham Newman University","2,765","5","10","5","0","2,780","15","0","20","0","2,800"
"10000894","Bristol Baptist College","45","0","5","0","0","50","0","0","0","0","55"
"10007811","Bishop Grosseteste University","2,220","0","10","10","0","2,240","10","5","15","0","2,255"
"10004061","Bloomsbury Institute","2,035","0","0","0","0","2,040","35","15","50","0","2,090"
"10006841","The University of Bolton","6,220","20","85","30","0","6,360","175","415","585","0","6,945"
"10000385","The Arts University Bournemouth","2,685","10","55","20","60","2,830","230","325","560","0","3,385"
"10000824","Bournemouth University","15,315","35","200","45","65","15,660","760","1,440","2,200","0","17,860"
"10031982","BPP University","6,525","70","65","35","25","6,725","365","2,475","2,840","0","9,565"
"10007785","The University of Bradford","8,150","30","45","25","5","8,250","400","1,015","1,415","0","9,665"
"10000886","The University of Brighton","17,290","70","185","105","135","17,785","975","1,710","2,685","0","20,470"
"10000936","The University College of Osteopathy","430","0","5","0","0","440","30","20","50","0","490"
"10007786","The University of Bristol","17,845","205","1,160","185","55","19,450","1,305","5,200","6,505","0","25,955"
"10028216","Brit College","560","0","0","0","0","560","0","0","0","0","560"
"10023464","Trinity College Bristol","160","0","5","0","0","165","0","0","0","0","165"
"10000961","Brunel University London","10,525","35","120","20","15","10,710","900","3,220","4,115","0","14,830"
"10000975","Buckinghamshire New University","9,960","50","90","60","15","10,170","710","90","800","0","10,970"
"10007787","The University of Buckingham","2,130","25","25","0","5","2,190","130","750","880","0","3,070"
"10022021","UK College of Business and Computing","560","0","0","0","10","570","5","0","5","0","575"
"10019368","London College of Business Studies","90","0","0","0","0","90","0","0","0","0","90"
"10010308","Cambridge Arts and Sciences Limited","40","0","0","0","0","40","15","185","195","0","235"
"10007788","The University of Cambridge","12,730","305","305","190","15","13,545","2,625","4,720","7,350","0","20,890"
"10032072","The Cambridge Theological Federation","130","0","0","0","0","130","5","5","15","0","145"
"10003324","The Institute of Cancer Research","225","0","5","0","0","230","15","20","35","0","265"
"10001143","Canterbury Christ Church University","13,315","20","35","45","20","13,440","475","190","665","0","14,100"
"10007814","Cardiff University","13,270","90","10,945","195","65","24,570","1,435","7,190","8,620","0","33,190"
"10007854","Cardiff Metropolitan University","3,165","40","6,065","50","15","9,335","265","1,075","1,340","0","10,675"
"10007141","The University of Central Lancashire","19,890","120","240","180","35","20,470","565","2,150","2,720","0","23,185"
"10007848","University of Chester","11,480","45","1,835","155","75","13,585","185","800","990","0","14,570"
"10007137","The University of Chichester","5,160","25","65","15","35","5,295","100","70","170","0","5,470"
"10001386","Chicken Shed Theatre Company","80","0","0","0","0","80","0","0","0","0","80"
"10001546","The College of Integrated Chinese Medicine","160","0","5","0","0","165","5","0","5","0","170"
"10001419","Christie's Education Limited","25","0","0","0","0","25","15","35","45","0","75"
"10026921","Christ the Redeemer College","45","0","0","0","0","45","0","0","0","0","45"
"10010213","The City College","285","0","0","0","0","285","0","0","0","0","285"
"10001478","City, University of London","12,850","75","65","35","15","13,045","1,960","5,205","7,170","0","20,210"
"10007912","Cliff College","130","5","0","0","0","140","5","0","5","0","145"
"10001653","Conservatoire for Dance and Drama","885","35","40","5","0","965","170","375","545","0","1,510"
"10007761","Courtauld Institute of Art","275","0","5","0","0","280","85","130","215","0","495"
"10034324","Court Theatre Training Company Ltd","35","0","0","0","0","35","5","0","5","0","40"
"10001726","Coventry University","22,575","35","260","75","20","22,970","3,680","8,320","12,000","0","34,970"
"10007822","Cranfield University","2,215","55","55","15","10","2,350","725","1,375","2,100","0","4,450"
"10006427","University for the Creative Arts","5,275","90","120","35","15","5,535","465","615","1,080","0","6,615"
"10007842","University of Cumbria","6,610","195","80","330","20","7,235","245","115","360","0","7,595"
"10001883","De Montfort University","20,715","50","210","80","40","21,095","1,280","4,175","5,460","10","26,565"
"10007851","University of Derby","16,970","120","195","80","15","17,380","875","895","1,765","0","19,145"
"10007852","The University of Dundee","1,925","10,625","75","660","20","13,300","895","1,715","2,615","0","15,915"
"10007143","University of Durham","12,485","240","270","215","65","13,270","1,065","4,690","5,755","0","19,025"
"10007789","The University of East Anglia","13,890","50","95","70","20","14,125","850","2,945","3,795","0","17,920"
"10007144","The University of East London","11,385","35","55","40","5","11,520","495","1,380","1,875","0","13,395"
"10032282","The Queen's Foundation for Ecumenical Theological Education","325","5","5","0","0","335","0","5","5","0","340"
"10007823","Edge Hill University","12,815","25","330","255","70","13,495","95","245","340","0","13,835"
"10007772","Edinburgh Napier University","840","9,585","35","280","10","10,745","1,590","1,260","2,850","0","13,595"
"10007790","The University of Edinburgh","9,400","10,815","270","535","75","21,090","3,805","9,380","13,185","0","34,275"
"10022047","Empire College London Limited","150","0","0","0","0","150","0","0","0","0","150"
"10042570","Escape Studios","1,050","0","0","0","0","1,050","55","20","75","0","1,125"
"10007791","The University of Essex","10,685","30","80","70","15","10,880","1,995","2,720","4,720","0","15,600"
"10008173","University College of Estate Management","2,580","55","80","5","0","2,720","0","0","0","0","2,720"
"10007792","The University of Exeter","17,345","200","905","105","125","18,680","1,460","4,870","6,330","0","25,010"
"10008640","Falmouth University","5,465","40","170","35","20","5,730","445","245","690","0","6,425"
"10033187","Fairfield School of Business Ltd","800","0","0","0","85","885","0","0","0","0","885"
"10045476","Met Film School Limited","125","5","0","0","0","135","85","85","170","0","305"
"10004511","The National Film and Television School","365","15","0","0","0","385","105","60","165","0","550"
"10038763","ForMission Ltd","175","0","5","0","0","180","5","0","5","0","185"
"10022087","Futureworks","445","5","10","5","0","460","20","0","20","0","485"
"10007762","Glasgow Caledonian University","620","13,970","25","140","0","14,755","905","1,195","2,105","0","16,860"
"10002681","Glasgow School of Art","485","945","15","35","5","1,480","280","525","805","0","2,285"
"10007794","The University of Glasgow","3,210","17,140","90","660","15","21,120","3,135","6,550","9,685","0","30,805"
"10007145","University of Gloucestershire","7,085","15","590","50","10","7,750","120","390","510","0","8,255"
"10002718","Goldsmiths College","7,425","50","75","30","5","7,580","900","1,930","2,830","0","10,410"
"10030408","Gower College Swansea","0","0","130","0","0","130","0","0","0","0","130"
"10007146","The University of Greenwich","14,335","70","70","40","20","14,540","1,355","2,760","4,115","0","18,655"
"10007937","GSM London","4,570","0","0","0","35","4,610","5","70","75","0","4,685"
"10007825","Guildhall School of Music and Drama","670","30","20","5","0","725","175","185","360","0","1,085"
"10040812","Harper Adams University","4,260","265","380","190","25","5,115","115","145","260","0","5,375"
"10080811","Hartpury University","1,470","15","165","15","5","1,670","65","80","145","0","1,815"
"10007764","Heriot-Watt University","1,695","5,570","55","440","15","7,775","960","2,200","3,160","0","10,935"
"10007147","University of Hertfordshire","19,475","75","100","60","20","19,730","850","3,700","4,550","0","24,280"
"10007148","The University of Huddersfield","13,930","25","105","35","20","14,115","550","2,630","3,180","0","17,295"
"10007149","The University of Hull","13,670","35","75","45","25","13,855","620","1,620","2,240","0","16,090"
"10003239","ICON College of Technology and Management","1,485","0","0","0","0","1,485","0","0","0","0","1,485"
"10003270","Imperial College of Science, Technology and Medicine","8,530","210","230","65","0","9,040","3,305","6,770","10,075","0","19,115"
"10004023","London College of International Business Studies Ltd","100","0","0","0","0","100","10","5","15","0","115"
"10035638","Institute of Contemporary Music Performance","635","10","10","0","20","675","235","85","320","0","995"
"10029682","The Islamic College","65","0","0","0","0","65","0","0","0","0","65"
"10021682","Kaplan Open Learning (Essex) Limited","1,080","10","20","5","0","1,115","0","0","0","0","1,115"
"10007767","Keele University","9,580","40","250","50","25","9,950","240","680","920","0","10,865"
