﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Entrant marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE provider","Female","Male","Unknown","Total"
"10008071","AA School of Architecture","565","360","0","925"
"10007783","The University of Aberdeen","8,980","6,450","20","15,455"
"10007849","Abertay University","2,360","2,565","25","4,950"
"10007856","Aberystwyth University","4,520","3,570","225","8,320"
"10067853","ACM Guildford Limited","285","625","35","945"
"10000163","AECC University College","770","645","0","1,415"
"10032036","Amity Global Education","55","50","0","105"
"10030497","Anglo Skills College","15","40","0","50"
"10000291","Anglia Ruskin University","21,990","13,835","70","35,895"
"10041898","Apex College","390","435","0","820"
"10005451","Arden University","17,080","11,605","25","28,710"
"10000381","Arts Educational Schools","185","140","5","325"
"10008899","The Ashridge (Bonar Law Memorial) Trust","375","315","0","690"
"10003212","Hult International Business School Ltd","735","935","5","1,670"
"10007759","Aston University","8,610","9,985","10","18,605"
"10038772","British Academy of Jewellery Limited","570","685","0","1,255"
"10007857","Bangor University","6,455","4,275","105","10,835"
"10000571","Bath Spa University","11,485","13,055","45","24,585"
"10007850","The University of Bath","9,035","10,655","10","19,695"
"10007152","University of Bedfordshire","8,440","5,315","30","13,790"
"10005343","Queen's University Belfast","14,635","10,275","15","24,930"
"10037544","BIMM University","3,450","3,605","65","7,115"
"10007810","Birmingham Christian College","0","25","0","25"
"10007760","Birkbeck College","4,785","3,605","50","8,440"
"10007140","Birmingham City University","19,960","11,400","55","31,415"
"10006840","The University of Birmingham","20,795","15,935","105","36,835"
"10000712","University College Birmingham","3,830","3,055","0","6,890"
"10007832","Birmingham Newman University","2,740","1,345","0","4,080"
"10000894","Bristol Baptist College","20","20","0","40"
"10007811","Bishop Grosseteste University","1,640","730","5","2,375"
