﻿Title:,"Table 16 - HE qualifiers by HE provider and level of qualification obtained"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 16
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","Doctorate research","Other postgraduate research","Master's taught","Postgraduate Certificate in Education","Other postgraduate taught","Total postgraduate","First degree","Foundation degree","HNC/HND","Professional Graduate Certificate in Education","Other undergraduate","Total undergraduate","Total"
"10008071","AA School of Architecture","0","0","125","0","0","130","100","0","0","0","0","100","225"
"10007783","The University of Aberdeen","265","15","1,265","340","305","2,185","2,220","0","0","0","360","2,580","4,765"
"10007849","Abertay University","10","5","115","0","95","230","760","0","0","0","160","920","1,145"
"10007856","Aberystwyth University","75","10","305","25","70","490","1,520","35","0","10","180","1,745","2,235"
"10000080","Access to Music Limited","0","0","0","0","0","0","20","0","0","0","0","20","20"
"10067853","ACM Guildford Limited","0","0","0","0","0","0","365","0","0","0","30","395","395"
"10000248","Academy of Live and Recorded Arts","0","0","30","0","0","30","60","0","0","0","0","60","90"
"10000163","AECC University College","0","0","45","0","30","75","40","0","0","0","5","45","120"
"10032036","Amity Global Education","0","0","0","0","0","0","5","0","0","0","0","5","5"
"10000291","Anglia Ruskin University","50","10","1,370","0","530","1,960","4,225","285","0","0","810","5,320","7,280"
"10041898","Apex College","0","0","0","0","0","0","0","0","15","0","0","15","15"
"10005451","Arden University","0","0","50","0","30","75","195","0","50","0","65","310","390"
"10000381","Arts Educational Schools","0","0","30","0","0","30","80","0","0","0","0","85","110"
"10007759","Aston University","75","5","875","0","290","1,245","2,695","65","0","0","255","3,015","4,260"
"10007857","Bangor University","125","35","1,010","115","115","1,400","2,285","5","0","0","65","2,355","3,760"
"10000571","Bath Spa University","10","5","380","440","150","990","1,815","95","0","10","195","2,120","3,105"
"10007850","The University of Bath","260","10","1,720","0","280","2,270","3,285","65","0","0","100","3,450","5,720"
"10007152","University of Bedfordshire","50","15","685","155","330","1,230","2,015","140","15","10","550","2,725","3,955"
"10005343","Queen's University Belfast","335","50","1,820","115","905","3,225","3,990","40","0","0","455","4,490","7,715"
"10037544","BIMM University","0","0","0","0","15","15","1,195","0","0","0","305","1,505","1,515"
"10007760","Birkbeck College","120","10","1,680","0","300","2,110","1,255","40","0","0","830","2,125","4,235"
"10007140","Birmingham City University","45","0","1,330","465","675","2,515","4,860","100","135","0","615","5,710","8,230"
"10006840","The University of Birmingham","620","185","4,620","305","1,070","6,800","6,130","190","0","0","345","6,665","13,465"
"10000712","University College Birmingham","0","0","235","35","50","320","1,130","435","0","0","130","1,695","2,015"
"10007832","Birmingham Newman University","0","0","70","235","25","330","495","75","0","20","105","700","1,030"
"10000894","Bristol Baptist College","0","0","0","0","0","5","5","0","0","0","10","15","15"
"10007811","Bishop Grosseteste University","5","0","50","260","55","365","450","110","0","5","5","570","935"
"10004061","Bloomsbury Institute","0","0","5","0","0","5","125","0","0","0","10","135","140"
"10006841","The University of Bolton","20","0","195","70","105","395","1,125","190","40","90","270","1,715","2,110"
"10000385","The Arts University Bournemouth","0","0","65","0","10","75","1,005","0","0","0","135","1,140","1,215"
"10000824","Bournemouth University","85","15","935","0","325","1,360","3,585","55","35","0","525","4,200","5,565"
"10031982","BPP University","0","0","1,190","0","2,405","3,595","510","0","0","0","1,520","2,030","5,625"
"10007785","The University of Bradford","80","0","550","0","570","1,200","1,950","15","0","0","285","2,245","3,445"
"10000886","The University of Brighton","115","0","835","280","460","1,695","4,460","65","0","85","100","4,710","6,405"
"10000936","The University College of Osteopathy","0","0","0","0","60","60","90","0","0","0","10","100","160"
"10007786","The University of Bristol","480","110","2,905","145","290","3,930","4,850","0","0","10","130","4,995","8,920"
"10023464","Trinity College Bristol","0","0","10","0","0","10","15","0","0","0","40","50","60"
"10000961","Brunel University London","155","5","1,420","145","220","1,950","2,645","15","0","0","230","2,890","4,840"
"10000975","Buckinghamshire New University","0","0","140","35","270","445","2,000","105","0","0","410","2,515","2,965"
"10007787","The University of Buckingham","15","65","180","680","60","1,000","360","0","0","0","25","385","1,390"
"10022021","UK College of Business and Computing","0","0","0","0","0","0","15","0","290","0","0","310","310"
"10010308","Cambridge Arts and Sciences Limited","0","0","10","0","0","10","25","0","0","0","125","150","155"
"10007788","The University of Cambridge","1,210","590","2,555","275","325","4,955","3,215","0","0","0","505","3,720","8,675"
"10032072","The Cambridge Theological Federation","0","0","15","0","15","30","25","0","0","0","15","40","70"
"10003324","The Institute of Cancer Research","45","0","5","0","40","90","0","0","0","0","0","0","90"
"10001143","Canterbury Christ Church University","80","35","235","355","370","1,080","2,370","75","0","50","330","2,830","3,910"
"10007814","Cardiff University","415","15","2,815","0","1,095","4,345","5,535","0","0","0","555","6,090","10,440"
"10007854","Cardiff Metropolitan University","50","0","610","305","195","1,160","1,970","30","45","25","245","2,310","3,465"
"10007141","The University of Central Lancashire","90","25","915","15","610","1,660","3,890","180","90","0","750","4,910","6,570"
"10007848","University of Chester","50","30","720","315","770","1,885","2,555","150","0","0","755","3,465","5,350"
"10007137","The University of Chichester","10","0","240","160","85","495","1,345","55","15","20","130","1,565","2,060"
"10001386","Chicken Shed Theatre Company","0","0","0","0","0","0","15","25","0","0","0","40","40"
"10001546","The College of Integrated Chinese Medicine","0","0","0","0","0","0","55","0","0","0","0","55","55"
"10001419","Christie's Education Limited","0","0","30","0","5","30","0","0","0","0","0","0","30"
"10010213","The City College","0","0","0","0","0","0","0","0","75","0","15","95","95"
"10001478","City, University of London","145","0","3,425","0","880","4,450","2,545","40","0","0","370","2,955","7,410"
"10007912","Cliff College","0","0","20","0","10","30","10","0","0","0","5","10","40"
"10001653","Conservatoire for Dance and Drama","0","0","130","0","15","145","295","225","0","0","5","525","665"
"10007761","Courtauld Institute of Art","15","0","150","0","20","185","65","0","0","0","0","65","250"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0","0","20","0","0","0","0","20","20"
"10001726","Coventry University","100","0","3,200","0","625","3,930","7,325","140","130","0","730","8,325","12,255"
"10007822","Cranfield University","165","20","1,830","0","280","2,300","0","0","0","0","0","0","2,300"
"10006427","University for the Creative Arts","5","0","210","0","30","245","1,335","0","0","0","240","1,575","1,820"
"10007842","University of Cumbria","5","0","200","535","295","1,030","1,515","100","0","20","405","2,040","3,070"
"10001883","De Montfort University","90","5","1,085","0","560","1,740","6,135","110","30","0","1,050","7,325","9,065"
"10007851","University of Derby","20","0","815","300","605","1,745","3,550","385","30","0","405","4,370","6,115"
"10007852","The University of Dundee","140","5","1,020","210","640","2,020","2,210","0","0","0","275","2,485","4,505"
"10007143","University of Durham","355","45","2,050","200","180","2,825","3,980","0","0","0","200","4,175","7,000"
"10007789","The University of East Anglia","230","15","1,725","235","355","2,555","3,600","0","0","0","600","4,200","6,755"
"10007144","The University of East London","50","25","975","315","385","1,745","2,235","15","0","5","1,015","3,265","5,010"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","10","0","15","30","15","0","0","0","110","125","155"
"10007823","Edge Hill University","25","0","365","645","610","1,645","3,105","85","0","30","395","3,615","5,260"
"10007772","Edinburgh Napier University","45","5","1,080","0","120","1,250","2,605","0","0","0","420","3,025","4,275"
"10007790","The University of Edinburgh","755","290","4,485","280","810","6,625","4,805","0","0","0","380","5,185","11,810"
"10022047","Empire College London Limited","0","0","0","0","0","0","0","0","55","0","15","70","70"
"10042570","Escape Studios","0","0","30","0","0","30","155","0","0","0","20","180","210"
"10007791","The University of Essex","195","15","1,440","0","345","2,000","3,010","70","0","0","450","3,530","5,530"
"10008173","University College of Estate Management","0","0","495","0","0","495","170","10","0","0","100","285","775"
"10007792","The University of Exeter","375","60","1,820","390","460","3,110","5,120","0","0","0","660","5,780","8,890"
"10008640","Falmouth University","5","0","200","0","65","270","1,705","10","0","0","55","1,770","2,035"
"10033187","Fairfield School of Business Ltd","0","0","0","0","0","0","10","5","250","0","0","270","270"
"10045476","Met Film School Limited","0","0","85","0","0","85","55","0","0","0","10","65","150"
"10004511","The National Film and Television School","0","0","145","0","30","175","0","0","0","0","0","0","175"
"10038763","ForMission Ltd","0","0","15","0","0","15","35","0","0","0","10","45","60"
"10022087","Futureworks","0","0","0","0","0","0","140","0","0","0","20","165","165"
"10007762","Glasgow Caledonian University","85","20","825","0","225","1,155","3,050","0","90","0","705","3,845","4,995"
"10002681","Glasgow School of Art","10","0","345","0","125","475","360","0","0","0","45","405","880"
"10007794","The University of Glasgow","505","55","7,300","435","740","9,030","3,930","0","0","0","645","4,570","13,605"
"10007145","University of Gloucestershire","20","15","350","75","265","725","1,855","85","0","35","345","2,320","3,045"
"10002718","Goldsmiths College","110","0","1,710","295","70","2,190","1,635","0","0","10","95","1,740","3,925"
"10030408","Gower College Swansea","0","0","0","0","0","0","0","0","0","0","5","5","5"
"10007146","The University of Greenwich","60","0","905","110","395","1,475","3,870","145","85","120","225","4,445","5,915"
"10007937","GSM London","0","0","60","0","50","110","835","0","0","0","420","1,260","1,370"
"10007825","Guildhall School of Music and Drama","5","0","170","0","35","210","170","0","0","0","15","185","395"
"10040812","Harper Adams University","15","5","150","0","180","355","580","145","0","0","70","795","1,150"
"10080811","Hartpury University","0","0","55","0","10","65","325","100","0","0","25","450","515"
"10007764","Heriot-Watt University","145","10","1,275","0","140","1,570","1,780","0","0","0","210","1,990","3,560"
"10007147","University of Hertfordshire","75","15","1,200","200","660","2,150","4,755","335","0","5","670","5,765","7,915"
"10007148","The University of Huddersfield","175","90","865","170","295","1,595","3,925","0","0","95","455","4,475","6,070"
"10007149","The University of Hull","155","0","675","160","120","1,110","3,535","100","0","0","265","3,900","5,010"
"10003239","ICON College of Technology and Management","0","0","0","0","0","0","0","0","440","0","0","440","440"
"10003270","Imperial College of Science, Technology and Medicine","895","580","3,770","0","120","5,360","2,660","0","0","0","0","2,660","8,020"
"10035638","Institute of Contemporary Music Performance","0","0","30","0","0","30","220","0","65","0","50","340","370"
"10029682","The Islamic College","0","0","0","0","0","0","5","0","0","0","0","5","5"
"10021682","Kaplan Open Learning (Essex) Limited","0","0","5","0","20","20","35","0","0","0","115","150","170"
"10007767","Keele University","105","10","460","0","410","985","2,070","0","0","0","375","2,445","3,430"
"10003566","Kensington College of Business","0","0","0","0","0","0","25","0","100","0","10","135","135"
"10007150","The University of Kent","225","45","1,390","0","240","1,895","4,220","25","20","0","220","4,485","6,380"
"10003645","King's College London","675","15","6,015","165","1,010","7,880","4,950","0","0","0","235","5,185","13,065"
"10008325","KLC School of Design","0","0","0","0","0","0","5","20","0","0","75","100","100"
"10003678","Kingston University","85","15","1,555","140","435","2,230","3,435","255","10","0","640","4,335","6,570"
"10009285","Kogan Academy of Dramatic Arts","0","0","0","0","0","0","10","0","0","0","0","10","10"
