﻿Title:,"Table 16 - HE qualifiers by HE provider and level of qualification obtained"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 16
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2014/15 
Search:,


"UKPRN","HE provider","Doctorate research","Other postgraduate research","Master's taught","Postgraduate Certificate in Education","Other postgraduate taught","Total postgraduate","First degree","Foundation degree","HNC/HND","Professional Graduate Certificate in Education","Other undergraduate","Total undergraduate","Total"
"10007783","The University of Aberdeen","220","30","950","250","305","1,755","2,210","0","0","0","285","2,495","4,250"
"10019746","ABI College Limited","0","0","0","0","0","0","0","0","10","0","0","10","10"
"10007849","Abertay University","10","0","80","0","85","175","1,080","0","0","0","125","1,205","1,380"
"10007856","Aberystwyth University","75","20","450","85","135","770","2,200","60","15","0","245","2,520","3,290"
"10000248","Academy of Live and Recorded Arts","0","0","0","0","0","0","55","0","0","0","0","55","55"
"10000291","Anglia Ruskin University","35","5","885","140","330","1,395","3,320","345","35","0","685","4,385","5,780"
"10000381","Arts Educational Schools","0","0","0","0","0","0","80","0","0","0","0","85","85"
"10007759","Aston University","70","5","925","0","195","1,190","1,485","100","0","0","140","1,725","2,915"
"10007857","Bangor University","140","20","960","225","165","1,515","1,980","15","15","0","170","2,170","3,685"
"10000571","Bath Spa University","15","0","245","505","115","880","1,385","290","0","5","160","1,840","2,725"
"10007850","The University of Bath","265","10","1,290","0","240","1,805","2,460","80","0","0","55","2,595","4,400"
"10007152","University of Bedfordshire","50","15","1,605","80","700","2,450","3,020","110","30","140","745","4,045","6,495"
"10005343","Queen's University Belfast","320","30","1,080","135","855","2,415","3,855","35","0","0","500","4,390","6,805"
"10037544","BIMM University","0","0","0","0","0","0","345","20","0","0","0","360","360"
"10007760","Birkbeck College","140","10","1,600","0","305","2,060","1,245","105","0","0","1,180","2,530","4,590"
"10007140","Birmingham City University","35","0","1,100","420","885","2,440","4,525","120","165","55","1,755","6,615","9,055"
"10006840","The University of Birmingham","560","190","3,120","385","705","4,960","4,785","205","0","0","305","5,290","10,250"
"10000712","University College Birmingham","0","0","175","60","95","330","965","465","0","0","100","1,525","1,860"
"10007832","Birmingham Newman University","0","0","40","180","10","235","535","55","0","40","95","725","960"
"10007811","Bishop Grosseteste University","0","0","15","115","20","150","500","95","0","190","5","790","940"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","80","0","120","0","0","200","200"
"10006841","The University of Bolton","20","0","140","225","125","510","1,060","300","105","0","325","1,790","2,300"
"10000385","The Arts University Bournemouth","0","0","35","0","5","45","835","0","0","0","65","900","945"
"10000824","Bournemouth University","45","5","865","0","260","1,175","2,885","240","45","0","1,340","4,510","5,680"
"10031982","BPP University","0","0","0","0","0","0","435","0","0","0","1,160","1,595","1,595"
"10007785","The University of Bradford","55","5","635","0","535","1,235","2,470","40","0","0","405","2,920","4,155"
"10000886","The University of Brighton","50","5","590","255","370","1,270","3,675","210","0","105","390","4,380","5,645"
"10007786","The University of Bristol","505","65","1,805","180","275","2,830","4,100","0","0","10","85","4,195","7,025"
"10028216","Brit College","0","0","0","0","0","0","0","0","80","0","0","80","80"
"10000961","Brunel University London","210","10","1,555","165","175","2,110","2,485","0","0","0","185","2,675","4,785"
"10000975","Buckinghamshire New University","5","0","220","40","225","490","1,645","425","20","0","590","2,680","3,170"
"10007787","The University of Buckingham","10","40","190","420","55","715","415","0","0","0","15","430","1,145"
"10022021","UK College of Business and Computing","0","0","0","0","0","0","0","0","5","0","0","5","5"
"10019368","London College of Business Studies","0","0","0","0","0","0","0","0","500","0","0","500","500"
"10007788","The University of Cambridge","1,125","1,245","1,230","350","115","4,060","3,270","0","0","0","20","3,295","7,355"
"10003324","The Institute of Cancer Research","40","15","10","0","15","80","0","0","0","0","0","0","80"
"10001143","Canterbury Christ Church University","70","5","310","530","585","1,500","2,875","270","60","220","760","4,185","5,685"
"10007814","Cardiff University","445","35","2,400","65","1,180","4,130","5,160","0","0","0","470","5,630","9,760"
"10007854","Cardiff Metropolitan University","25","0","1,635","320","295","2,275","2,005","55","55","15","200","2,330","4,605"
"10007141","The University of Central Lancashire","65","5","955","140","430","1,595","4,710","515","135","0","1,910","7,275","8,870"
"10007848","University of Chester","35","10","750","345","345","1,490","2,330","255","0","0","1,045","3,630","5,120"
"10007137","The University of Chichester","5","0","150","175","165","495","1,270","90","20","70","185","1,635","2,130"
"10001386","Chicken Shed Theatre Company","0","0","0","0","0","0","25","20","0","0","0","45","45"
"10001546","The College of Integrated Chinese Medicine","0","0","0","0","0","0","40","0","0","0","0","40","40"
"10010213","The City College","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10001478","City, University of London","135","5","2,835","0","965","3,940","2,075","30","0","0","920","3,025","6,965"
