﻿Title:,"Table 28 - Non-UK permanent address students by HE provider and country of permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 28
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-28
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-28.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2016/17 
Search:,


"UKPRN","HE Provider","Albania","Andorra","Armenia","Azerbaijan","Belarus","Bosnia and Herzegovina","Cyprus (Non-European Union)","Faroe Islands","Georgia","Iceland","Kosovo","Liechtenstein","Moldova","Monaco","Montenegro","North Macedonia","Norway","Russia","San Marino","Serbia","Svalbard and Jan Mayen","Switzerland","Turkey","Ukraine","Vatican City","Europe not otherwise specified","Total Other Europe","Total"
"10008071","AA School of Architecture","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","10","0","0","0","10","5","0","0","0","40","380"
"10007783","The University of Aberdeen","0","0","0","20","0","0","0","5","0","0","0","0","0","0","0","0","50","20","0","0","0","40","15","5","0","0","165","4,420"
"10007849","Abertay University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","10","545"
"10007856","Aberystwyth University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65","5","0","0","0","5","10","0","0","0","90","1,250"
"10000080","Access to Music Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10000248","Academy of Live and Recorded Arts","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10000291","Anglia Ruskin University","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","20","25","0","0","0","10","30","5","0","0","110","2,960"
"10005451","Arden University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
"10007759","Aston University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","20","0","0","0","5","5","5","0","0","60","2,430"
"10007857","Bangor University","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","5","5","0","0","0","35","2,385"
"10000571","Bath Spa University","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","10","10","0","0","0","15","0","5","0","0","45","780"
"10007850","The University of Bath","0","0","0","5","0","0","0","0","0","0","0","0","0","5","0","0","25","40","0","0","0","70","40","5","0","0","190","4,945"
"10007152","University of Bedfordshire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","5","5","5","0","0","20","2,445"
"10005343","Queen's University Belfast","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","10","0","0","0","5","10","0","0","0","35","3,065"
"10037544","BIMM University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","5","0","0","0","30","0","0","0","0","65","680"
"10007760","Birkbeck College","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","10","0","0","0","15","20","5","0","5","70","1,355"
"10007140","Birmingham City University","5","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","5","5","0","0","0","5","5","5","0","0","35","2,980"
"10006840","The University of Birmingham","0","0","0","10","0","0","0","0","5","0","0","0","0","0","0","0","15","45","0","5","0","50","45","15","0","0","195","8,210"
"10000712","University College Birmingham","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","5","0","0","0","0","10","1,355"
"10007832","Birmingham Newman University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35"
"10007811","Bishop Grosseteste University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","55"
"10006841","The University of Bolton","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","5","480"
"10000385","The Arts University Bournemouth","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","20","15","0","0","0","5","5","5","0","0","75","530"
"10000824","Bournemouth University","0","0","0","0","5","0","0","0","0","15","0","0","0","0","0","0","155","15","0","0","0","20","55","15","0","5","295","2,625"
"10031982","BPP University","10","0","5","5","0","0","0","0","5","0","0","0","0","0","0","0","0","35","0","0","0","10","20","15","0","0","110","2,485"
"10007785","The University of Bradford","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","5","5","0","0","0","20","1,605"
"10000886","The University of Brighton","0","0","0","5","0","0","0","0","0","5","0","0","5","0","0","0","35","20","0","0","0","35","30","10","0","0","150","2,805"
"10000936","The University College of Osteopathy","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","5","60"
"10007786","The University of Bristol","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","25","40","0","5","0","35","20","15","0","0","155","5,285"
"10023464","Trinity College Bristol","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10000961","Brunel University London","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","0","25","40","0","0","0","15","75","10","0","0","185","3,490"
"10000975","Buckinghamshire New University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","5","0","0","0","0","20","770"
"10007787","The University of Buckingham","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","10","0","5","0","0","25","945"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","5","60"
"10007788","The University of Cambridge","5","0","5","5","10","0","0","0","0","5","0","0","0","0","0","5","35","50","0","35","0","100","25","20","0","0","295","6,750"
"10032072","The Cambridge Theological Federation","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10003324","The Institute of Cancer Research","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"10001143","Canterbury Christ Church University","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","20","730"
"10007814","Cardiff University","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","10","30","0","0","0","25","15","5","0","0","105","7,520"
"10007854","Cardiff Metropolitan University","0","0","5","0","0","0","0","0","5","0","0","0","0","0","0","0","0","10","0","0","0","0","35","5","0","0","65","1,780"
"10007141","The University of Central Lancashire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","5","0","0","0","0","20","2,480"
"10007848","University of Chester","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55","5","0","0","0","5","10","0","0","0","75","885"
"10007137","The University of Chichester","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","170"
"10001546","The College of Integrated Chinese Medicine","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10001419","Christie's Education Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"10001478","City, University of London","20","0","5","60","5","0","0","0","10","5","5","0","5","5","5","0","135","275","0","15","0","100","140","45","0","20","855","7,560"
"10007912","Cliff College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10013357","The Academy of Contemporary Music","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","5","0","0","0","0","10","115"
"10001653","Conservatoire for Dance and Drama","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","10","0","0","0","0","25","460"
"10007761","Courtauld Institute of Art","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","180"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
"10001726","Coventry University","15","0","0","40","5","0","0","0","0","0","0","0","0","0","0","0","20","55","0","0","0","10","30","15","0","0","200","10,700"
"10007822","Cranfield University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","15","10","0","0","0","45","1,975"
"10006427","University for the Creative Arts","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","10","0","0","0","0","0","0","0","0","50","780"
"10007842","University of Cumbria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","5","0","0","0","0","5","285"
"10001883","De Montfort University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","5","10","5","0","0","40","3,665"
"10007851","University of Derby","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","5","5","0","0","0","15","1,350"
"10007852","The University of Dundee","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","10","10","0","0","0","45","2,235"
"10007143","University of Durham","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","0","50","50","0","0","0","80","40","10","0","0","250","5,055"
"10007789","The University of East Anglia","0","0","5","10","0","0","0","0","5","0","0","0","0","0","0","0","35","45","0","0","0","25","20","5","0","0","150","3,945"
"10007144","The University of East London","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","20","10","0","0","0","10","20","0","0","5","70","1,195"
"10007823","Edge Hill University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","240"
"10007772","Edinburgh Napier University","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","80","10","0","0","0","30","0","0","0","0","130","2,460"
"10007790","The University of Edinburgh","5","0","5","20","5","5","0","0","5","10","0","0","0","5","5","5","180","120","0","10","0","140","60","15","0","0","605","11,490"
"10042570","Escape Studios","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"10007791","The University of Essex","0","0","0","5","0","0","0","0","0","5","0","0","0","0","0","0","150","35","0","0","0","10","40","5","0","0","260","4,410"
"10007792","The University of Exeter","0","0","0","10","0","0","0","0","10","0","0","0","0","5","0","0","75","80","0","0","0","100","90","30","0","0","410","5,880"
"10008640","Falmouth University","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","100","5","0","0","0","0","0","0","0","0","110","520"
