﻿Title:,"Table 28 - Non-UK permanent address students by HE provider and country of permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 28
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-28
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-28.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE Provider","Austria","Belgium","Bulgaria","Canary Islands","Croatia","Cyprus (European Union)","Cyprus not otherwise specified","Czech Republic","Denmark","Estonia","Finland","France","French Guiana","Germany","Gibraltar","Greece","Guadeloupe","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Martinique","Netherlands","Poland","Portugal","Romania","Réunion","Slovakia","Slovenia","Åland Islands","Spain","Sweden","European Union not otherwise specified","Total European Union","Total"
"10008071","AA School of Architecture","5","5","0","0","0","5","0","0","0","0","0","10","0","20","0","10","0","0","0","20","0","5","0","0","0","5","5","0","5","0","0","0","0","10","5","0","110","925"
"10007783","The University of Aberdeen","10","20","50","5","5","10","0","30","25","10","75","80","0","115","0","40","0","20","55","80","10","10","20","10","0","20","75","10","30","0","30","10","0","90","60","0","1,000","4,050"
"10007849","Abertay University","0","5","25","0","0","5","0","5","0","5","10","65","0","35","0","5","0","5","15","30","5","5","5","5","0","10","15","15","10","0","10","5","0","25","10","0","315","595"
"10007856","Aberystwyth University","0","10","10","0","10","5","0","5","0","5","5","15","0","25","0","15","0","5","30","10","5","5","5","0","0","10","195","5","5","0","15","0","0","35","10","0","445","1,345"
"10067853","ACM Guildford Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","20","30"
"10000163","AECC University College","0","5","0","0","0","5","0","0","0","0","10","5","0","35","0","5","0","0","10","5","0","0","0","0","0","20","0","5","0","0","0","0","0","5","5","0","125","335"
"10032036","Amity Global Education","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70"
"10000291","Anglia Ruskin University","5","5","20","0","0","15","0","10","0","0","5","30","0","25","0","50","0","5","85","115","5","20","0","0","0","20","45","290","115","0","10","0","0","135","10","0","1,025","7,570"
"10005451","Arden University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","35"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","25","40"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","5","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","20","45"
"10003212","Hult International Business School Ltd","20","30","5","0","0","5","0","5","10","5","5","100","0","105","0","5","0","5","5","155","5","5","5","0","0","20","15","20","5","0","5","5","0","60","20","0","625","1,590"
"10007759","Aston University","0","5","5","0","0","5","0","0","5","0","5","40","0","25","0","10","0","0","15","40","5","0","0","5","0","10","15","10","10","0","0","0","0","30","10","0","255","4,705"
"10038772","British Academy of Jewellery Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10"
"10007857","Bangor University","0","5","5","0","0","5","0","5","5","0","0","70","0","25","5","15","0","0","55","15","0","0","0","5","0","5","20","0","10","0","5","0","0","20","5","0","290","3,005"
"10000571","Bath Spa University","5","5","0","0","0","5","0","5","0","0","0","25","0","15","10","10","0","0","20","15","0","5","0","0","0","5","15","10","20","0","0","0","0","20","5","0","210","865"
"10007850","The University of Bath","25","45","35","5","5","65","0","25","10","5","5","230","0","85","15","125","0","15","30","115","10","10","25","5","0","30","30","60","35","0","5","5","0","290","15","0","1,345","4,840"
"10007152","University of Bedfordshire","0","0","20","0","0","5","0","0","0","0","0","5","0","5","5","20","0","5","60","15","5","10","0","5","0","5","125","15","560","0","5","0","0","15","5","0","905","6,415"
"10005343","Queen's University Belfast","0","5","5","0","0","10","0","5","5","0","5","20","0","20","0","20","0","5","1,160","20","0","0","5","0","0","5","5","5","10","0","5","0","0","15","5","0","1,340","5,775"
"10037544","BIMM University","0","5","10","0","5","10","0","10","5","5","5","25","0","15","10","10","0","5","55","40","5","10","0","5","0","15","30","35","25","0","10","0","0","25","40","0","405","595"
"10007760","Birkbeck College","5","15","10","0","5","5","0","5","0","0","0","30","0","40","5","30","0","15","30","85","5","10","0","0","0","10","20","15","35","0","10","0","0","45","10","0","440","1,715"
"10007140","Birmingham City University","0","0","10","0","5","10","0","5","0","0","0","10","0","10","5","10","0","5","60","20","0","10","0","0","0","5","10","45","45","0","5","0","0","20","5","0","300","5,480"
"10006840","The University of Birmingham","10","10","15","0","5","30","0","25","10","0","5","80","0","65","5","45","0","15","105","110","5","15","15","10","0","35","30","15","95","0","25","0","0","70","10","0","865","10,760"
"10000712","University College Birmingham","0","0","10","0","30","5","0","10","0","5","0","10","0","5","0","0","0","0","20","10","5","15","0","0","0","0","5","105","30","0","10","0","0","20","0","0","305","2,325"
"10007832","Birmingham Newman University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5"
"10000894","Bristol Baptist College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10007811","Bishop Grosseteste University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","70"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,005"
"10006841","The University of Bolton","0","5","15","0","0","10","0","0","0","0","0","0","0","25","0","5","0","0","15","10","0","0","0","0","0","5","5","10","30","0","0","0","0","5","0","0","150","1,670"
"10000385","The Arts University Bournemouth","0","5","15","0","0","5","0","5","0","0","5","10","0","10","0","10","0","5","10","10","5","5","0","0","0","10","15","5","5","0","0","0","0","15","20","0","180","580"
"10000824","Bournemouth University","5","5","25","5","0","10","0","5","0","0","5","10","0","15","5","15","0","5","25","25","0","5","0","0","0","5","15","50","20","0","0","0","0","30","5","0","285","3,795"
"10031982","BPP University","5","5","0","0","0","10","0","5","0","0","5","20","0","5","5","5","0","5","20","15","0","5","0","0","0","10","10","5","10","0","5","0","0","15","5","0","180","19,205"
"10007785","The University of Bradford","0","0","5","0","0","0","0","0","0","0","0","10","0","15","0","15","0","0","20","10","0","5","0","0","0","5","45","25","5","0","0","0","0","30","0","0","195","4,565"
"10000886","The University of Brighton","5","10","10","0","5","25","0","10","5","5","0","35","0","35","10","40","0","5","70","40","5","5","10","5","0","20","20","15","15","0","5","0","0","50","10","0","465","2,630"
"10000936","The University College of Osteopathy","0","5","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","45"
"10007786","The University of Bristol","10","35","25","0","0","105","0","15","5","0","5","145","0","65","10","105","0","10","65","80","0","15","10","5","0","30","65","40","55","0","20","0","0","130","20","0","1,070","9,815"
"10023464","Trinity College Bristol","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"10000961","Brunel University London","5","10","15","0","0","45","0","5","0","0","5","40","0","35","0","70","0","5","55","85","5","30","5","5","0","20","35","65","65","0","5","0","0","55","10","0","680","8,135"
"10000975","Buckinghamshire New University","0","10","5","0","0","5","0","5","0","10","0","20","0","5","5","0","0","5","45","10","0","5","0","0","0","5","40","45","55","0","5","0","0","15","0","0","300","910"
"10007787","The University of Buckingham","5","5","5","0","0","5","0","0","0","0","0","15","0","10","0","5","0","0","15","10","0","0","0","0","0","10","0","5","0","0","0","0","0","10","5","0","105","1,225"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","85"
"10007788","The University of Cambridge","45","50","30","0","15","65","0","35","35","15","15","185","0","315","10","65","0","90","110","150","15","35","15","5","0","90","130","25","70","0","20","15","0","125","35","0","1,800","7,305"
"10032072","The Cambridge Theological Federation","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"10003324","The Institute of Cancer Research","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","20","40"
"10001143","Canterbury Christ Church University","0","5","10","0","5","10","0","0","0","0","0","20","0","20","10","15","0","0","35","15","0","0","0","5","0","5","0","5","10","0","10","0","0","30","0","0","225","860"
"10007814","Cardiff University","10","15","30","0","0","90","0","15","5","0","5","50","0","40","15","80","0","10","70","35","0","10","10","15","0","20","30","10","20","0","0","0","0","45","10","0","635","6,395"
"10007854","Cardiff Metropolitan University","0","0","5","0","0","5","0","0","0","0","0","10","0","0","15","10","0","0","25","20","0","0","5","0","0","5","5","0","0","0","0","0","0","20","5","0","130","3,445"
"10057213","CEG UFP Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,050"
"10001264","Central School of Ballet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","35"
"10007141","The University of Central Lancashire","5","5","10","0","0","25","0","15","0","0","0","5","0","20","20","10","0","0","45","10","15","10","0","0","0","5","35","30","10","0","5","0","0","20","0","0","305","7,195"
"10024024","Central Film School London","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","25"
"10007848","University of Chester","0","5","0","0","0","10","0","0","5","0","5","5","0","10","0","5","0","0","35","5","0","0","0","0","0","5","5","0","0","0","0","0","0","10","0","0","110","2,795"
"10007137","The University of Chichester","0","0","0","0","0","0","0","5","0","0","0","5","0","0","5","0","0","0","5","5","0","0","0","0","0","0","0","5","5","0","0","0","0","15","0","0","65","240"
"10001546","The College of Integrated Chinese Medicine","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10001478","City, University of London","25","35","50","0","5","65","0","5","25","5","10","115","0","125","5","230","0","20","50","255","15","20","10","5","0","20","40","25","45","0","5","0","0","95","30","10","1,340","7,020"
"10007912","Cliff College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10066502","The College of Health Ltd","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","5","0","0","0","0","0","0","10","0","0","0","0","0","0","0","5","0","0","30","60"
"10081618","The Council of the Inns of Court","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","10"
"10007761","Courtauld Institute of Art","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","15","0","5","0","0","0","5","5","0","0","0","0","0","0","5","0","0","50","190"
"10001726","Coventry University","5","10","55","0","15","40","0","15","0","5","5","55","0","25","0","50","0","15","120","60","40","80","0","0","0","10","135","270","145","0","40","0","0","50","10","0","1,260","16,285"
"10007822","Cranfield University","5","5","0","0","0","5","0","0","10","0","5","185","0","25","0","30","0","0","15","35","0","5","0","5","0","15","5","15","5","0","0","0","0","90","0","0","465","2,835"
"10006427","University for the Creative Arts","0","5","10","0","0","15","0","5","0","10","0","20","0","5","0","20","0","0","5","15","10","20","5","0","0","5","15","20","35","0","0","0","0","30","10","0","260","3,545"
"10007842","University of Cumbria","0","0","0","0","0","0","0","0","0","0","0","5","0","45","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","240"
"10026767","Dartington Hall Trust (The)","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","5","0","0","20","60"
"10001883","De Montfort University","5","5","25","0","10","125","0","0","0","5","0","10","0","5","5","15","0","5","20","55","10","20","0","0","0","20","335","160","75","0","15","0","0","40","50","0","1,015","9,770"
"10007851","University of Derby","15","0","5","0","10","25","0","35","0","0","0","15","0","10","5","10","0","5","10","20","5","15","0","5","0","5","30","40","10","0","10","0","0","55","5","0","350","4,035"
"10007852","The University of Dundee","0","15","40","0","5","30","0","10","5","5","20","45","0","60","0","35","0","10","100","45","10","10","20","10","0","20","30","5","10","0","15","0","0","60","35","0","660","4,570"
"10007143","University of Durham","15","25","10","0","5","25","0","15","5","5","0","110","0","95","10","30","0","10","35","80","5","10","5","0","0","35","25","15","15","0","10","0","0","70","20","0","685","6,900"
"10007789","The University of East Anglia","5","20","10","0","0","35","0","5","0","0","5","40","0","35","0","30","0","5","20","35","10","5","10","5","0","10","15","15","10","0","0","0","0","60","5","0","395","3,055"
"10007144","The University of East London","5","5","5","0","0","5","0","0","0","0","0","20","0","15","5","15","0","5","25","20","0","5","0","0","0","10","10","10","20","0","0","0","0","15","5","0","210","10,355"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
