﻿Title:,"Table 49 - HE student enrolments by HE provider and subject of study"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 49
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE provider","15-01-01 Social sciences (non-specific)","15-01-02 Sociology","15-01-03 Social policy","15-01-04 Anthropology","15-01-05 Development studies","15-01-06 Cultural studies","15-02-01 Economics","15-03-01 Politics","15-04-01 Social work","15-04-02 Childhood and youth studies","15-04-03 Health studies","15 Social sciences"
"10008071","AA School of Architecture","0","0","0","0","0","0","0","0","0","0","0","0"
"10007783","The University of Aberdeen","5","285","10","115","0","0","280","470","0","0","85","1,245"
"10007849","Abertay University","30","345","0","0","0","0","0","0","0","0","0","375"
"10007856","Aberystwyth University","0","245","25","0","0","0","65","385","0","0","0","720"
"10067853","ACM Guildford Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10000163","AECC University College","0","0","0","0","0","0","0","0","0","0","10","10"
"10032036","Amity Global Education","0","0","0","0","0","0","0","0","0","0","0","0"
"10000291","Anglia Ruskin University","0","2,135","40","0","0","0","0","75","620","365","2,155","5,390"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","0","0"
"10062759","Applied Business Academy Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10005451","Arden University","5","1,065","5","0","0","0","0","0","0","0","2,210","3,285"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","0","0","0","0","0","0","0","0","0"
"10003212","Hult International Business School Ltd","0","0","0","0","0","0","0","0","0","0","0","0"
