﻿Title:,"Table 49 - HE student enrolments by HE provider and subject of study"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 49
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE provider","01 Medicine and dentistry","02 Subjects allied to medicine","03 Biological and sport sciences","04 Psychology","05 Veterinary sciences","06 Agriculture, food and related studies","07 Physical sciences","09 Mathematical sciences","10 Engineering and technology","11 Computing","13 Architecture, building and planning","26 Geography, earth and environmental studies (natural sciences)","15 Social sciences","16 Law","17 Business and management","19 Language and area studies","20 Historical, philosophical and religious studies","22 Education and teaching","23 Combined and general studies","24 Media, journalism and communications","25 Design, and creative and performing arts","26 Geography, earth and environmental studies (social sciences)","Total"
"10008071","AA School of Architecture","0","0","0","0","0","0","0","0","0","0","925","0","0","0","0","0","0","0","0","0","0","0","925"
"10007783","The University of Aberdeen","1,685","720","1,045","835","0","10","385","110","1,160","555","60","320","1,230","1,340","1,450","560","780","1,640","1,235","45","215","75","15,455"
"10007849","Abertay University","0","470","280","445","0","145","100","0","140","1,075","65","0","375","115","1,015","0","0","20","0","0","705","0","4,950"
"10007856","Aberystwyth University","0","220","770","485","0","480","225","140","85","650","0","320","770","290","595","920","410","860","0","495","480","125","8,320"
"10067853","ACM Guildford Limited","0","0","0","0","0","0","0","0","0","115","0","0","0","0","0","0","0","0","0","0","825","0","945"
"10000163","AECC University College","10","1,305","30","40","0","0","0","0","0","0","0","0","35","0","0","0","0","0","0","0","0","0","1,415"
"10032036","Amity Global Education","0","0","0","0","0","0","0","0","0","0","0","0","0","0","105","0","0","0","0","0","0","0","105"
"10030497","Anglo Skills College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","50"
"10000291","Anglia Ruskin University","545","9,245","810","1,075","300","475","425","0","1,165","1,740","1,280","10","6,060","895","8,850","230","245","1,050","45","225","1,215","20","35,895"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","820","0","0","0","0","0","0","0","820"
"10005451","Arden University","0","335","0","3,875","0","0","50","0","90","2,445","0","0","4,120","1,135","16,365","0","0","80","0","20","200","0","28,710"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","325","0","325"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","85","0","0","0","0","0","0","0","0","0","0","605","0","0","0","0","0","0","0","690"
"10003212","Hult International Business School Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,670","0","0","0","0","0","0","0","1,670"
"10007759","Aston University","660","2,790","185","840","0","0","160","310","2,390","2,615","255","0","1,190","875","5,660","260","40","200","115","65","0","0","18,605"
"10038772","British Academy of Jewellery Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,255","0","0","0","0","0","0","0","1,255"
"10007857","Bangor University","170","1,645","1,850","1,225","0","290","0","0","165","445","0","405","640","615","1,520","485","335","585","0","140","200","105","10,835"
"10000571","Bath Spa University","0","195","115","615","0","0","0","0","0","410","5,205","140","1,015","185","11,330","440","160","1,855","0","720","2,200","0","24,585"
"10007850","The University of Bath","90","1,240","1,815","1,235","0","0","1,320","1,130","3,215","1,390","635","0","3,340","0","3,410","435","0","400","50","0","0","0","19,695"
"10007152","University of Bedfordshire","50","1,790","460","365","0","110","65","0","370","1,570","30","5","1,940","170","5,480","100","0","780","0","85","420","0","13,790"
"10005343","Queen's University Belfast","2,045","4,645","1,000","1,085","0","325","730","460","1,980","2,440","705","300","2,120","1,410","2,390","930","670","560","145","275","555","155","24,930"
"10037544","BIMM University","0","0","0","0","0","0","0","0","605","0","0","0","0","0","280","0","0","125","0","100","6,000","0","7,115"
"10007810","Birmingham Christian College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","20","0","0","0","0","0","25"
"10007760","Birkbeck College","0","605","195","1,250","0","0","95","180","0","820","0","230","985","585","1,220","775","825","110","75","320","80","85","8,440"
"10007140","Birmingham City University","0","8,745","555","1,370","0","5","0","15","1,295","2,575","1,340","0","2,110","1,755","5,790","245","0","1,745","140","755","2,965","0","31,415"
"10006840","The University of Birmingham","3,050","3,020","2,095","1,420","0","75","1,405","840","3,455","2,285","175","940","4,665","1,915","5,095","1,755","1,660","1,945","400","135","430","75","36,835"
"10000712","University College Birmingham","0","1,290","435","0","0","1,065","0","0","50","360","315","0","495","0","2,555","0","0","100","0","0","220","0","6,890"
"10007832","Birmingham Newman University","0","540","105","245","0","0","0","10","0","45","0","0","585","125","1,010","75","345","965","10","0","20","0","4,080"
"10000894","Bristol Baptist College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","0","0","0","0","0","40"
"10007811","Bishop Grosseteste University","0","65","60","90","0","0","0","10","0","0","0","0","150","0","585","60","160","1,160","10","0","30","0","2,375"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","0","0","0","0","0","0","0","90","505","0","0","0","0","0","0","0","590"
"10006841","The University of Bolton","5","3,100","160","405","0","0","0","0","1,005","930","135","30","1,655","255","2,640","55","0","610","95","30","805","0","11,920"
"10000385","The Arts University Bournemouth","0","0","0","0","0","0","0","0","5","10","195","0","0","0","100","125","0","0","0","0","3,520","0","3,960"
