﻿Title:,"Table 49 - HE student enrolments by HE provider and subject of study"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 49
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2020/21 
Search:,


"UKPRN","HE provider","01-01-01 Medical sciences (non-specific)","01-01-02 Medicine (non-specific)","01-01-03 Medicine by specialism","01-01-04 Dentistry","01 Medicine and dentistry"
"10008071","AA School of Architecture","0","0","0","0","0"
"10007783","The University of Aberdeen","85","1,225","0","115","1,430"
"10007849","Abertay University","0","0","0","0","0"
"10007856","Aberystwyth University","0","0","0","0","0"
"10067853","ACM Guildford Limited","0","0","0","0","0"
"10000248","Academy of Live and Recorded Arts","0","0","0","0","0"
"10000163","AECC University College","0","0","0","0","0"
"10032036","Amity Global Education","0","0","0","0","0"
"10000291","Anglia Ruskin University","15","325","0","0","340"
"10041898","Apex College","0","0","0","0","0"
"10062759","Applied Business Academy Limited","0","0","0","0","0"
"10005451","Arden University","0","0","0","0","0"
"10000381","Arts Educational Schools","0","0","0","0","0"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","0","0"
"10003212","Hult International Business School Ltd","0","0","0","0","0"
"10007759","Aston University","5","305","0","0","310"
"10038772","British Academy of Jewellery Limited","0","0","0","0","0"
"10007857","Bangor University","110","25","5","0","140"
"10000571","Bath Spa University","0","0","0","0","0"
"10007850","The University of Bath","0","75","0","0","75"
"10007152","University of Bedfordshire","0","0","0","0","0"
"10005343","Queen's University Belfast","335","1,455","0","290","2,075"
"10037544","BIMM University","0","0","0","0","0"
"10007760","Birkbeck College","0","0","0","0","0"
"10007140","Birmingham City University","0","0","0","0","0"
"10006840","The University of Birmingham","105","2,080","130","560","2,875"
"10000712","University College Birmingham","0","0","0","0","0"
"10007832","Birmingham Newman University","0","0","0","0","0"
"10000894","Bristol Baptist College","0","0","0","0","0"
"10007811","Bishop Grosseteste University","0","0","0","0","0"
"10004061","Bloomsbury Institute","0","0","0","0","0"
"10006841","The University of Bolton","0","0","0","0","0"
"10000385","The Arts University Bournemouth","0","0","0","0","0"
"10000824","Bournemouth University","0","0","0","0","0"
"10031982","BPP University","0","0","0","25","25"
"10007785","The University of Bradford","0","0","0","0","0"
"10000886","The University of Brighton","0","555","60","0","615"
"10000936","The University College of Osteopathy","0","0","0","0","0"
"10007786","The University of Bristol","10","1,585","0","455","2,055"
"10028216","Brit College","0","0","0","0","0"
"10023464","Trinity College Bristol","0","0","0","0","0"
"10000961","Brunel University London","5","0","5","0","5"
"10000975","Buckinghamshire New University","0","15","0","0","15"
"10007787","The University of Buckingham","0","605","0","0","605"
"10019368","London College of Business Studies","0","0","0","0","0"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","0"
"10007788","The University of Cambridge","0","1,740","35","0","1,775"
"10032072","The Cambridge Theological Federation","0","0","0","0","0"
"10003324","The Institute of Cancer Research","0","305","0","0","305"
"10001143","Canterbury Christ Church University","10","55","25","0","85"
"10007814","Cardiff University","15","2,185","260","420","2,880"
"10007854","Cardiff Metropolitan University","0","0","0","0","0"
"10057213","CEG UFP Limited","0","0","0","0","0"
"10007141","The University of Central Lancashire","0","1,425","5","305","1,735"
"10024024","Central Film School London","0","0","0","0","0"
"10007848","University of Chester","30","60","125","215","425"
"10007137","The University of Chichester","0","0","0","0","0"
"10001386","Chicken Shed Theatre Company","0","0","0","0","0"
"10001546","The College of Integrated Chinese Medicine","0","0","0","0","0"
"10001419","Christie's Education Limited","0","0","0","0","0"
"10026921","Christ the Redeemer College","0","0","0","0","0"
"10010213","The City College","0","0","0","0","0"
"10001478","City, University of London","0","0","0","0","0"
"10007912","Cliff College","0","0","0","0","0"
"10066502","The College of Health Ltd","0","0","0","0","0"
"10023442","The College of Osteopaths","0","0","0","0","0"
"10001653","Conservatoire for Dance and Drama","0","0","0","0","0"
"10081618","The Council of the Inns of Court","0","0","0","0","0"
"10007761","Courtauld Institute of Art","0","0","0","0","0"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0"
"10001726","Coventry University","0","0","0","0","0"
"10007822","Cranfield University","0","0","0","0","0"
"10006427","University for the Creative Arts","0","0","0","0","0"
"10007842","University of Cumbria","0","0","0","0","0"
"10026767","Dartington Hall Trust (The)","0","0","0","0","0"
"10015688","David Game College Ltd","0","0","0","0","0"
"10001883","De Montfort University","0","0","0","0","0"
"10007851","University of Derby","0","0","0","0","0"
"10007852","The University of Dundee","85","1,765","35","395","2,275"
"10007143","University of Durham","0","0","0","0","0"
"10007789","The University of East Anglia","15","1,075","50","0","1,140"
"10007144","The University of East London","0","0","0","0","0"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","0","0","0"
"10007823","Edge Hill University","0","75","0","0","75"
"10007772","Edinburgh Napier University","0","0","0","0","0"
"10007790","The University of Edinburgh","140","1,790","25","40","2,000"
"10022047","Empire College London Limited","0","0","0","0","0"
"10042570","Escape Studios","0","0","0","0","0"
"10007791","The University of Essex","0","0","0","5","5"
"10008173","University College of Estate Management","0","0","0","0","0"
"10002313","ESCP Europe Business School","0","0","0","0","0"
"10007792","The University of Exeter","270","1,070","0","0","1,340"
"10008640","Falmouth University","0","0","0","0","0"
"10033187","Fairfield School of Business Ltd","0","0","0","0","0"
"10045476","Met Film School Limited","0","0","0","0","0"
"10004511","The National Film and Television School","0","0","0","0","0"
"10038763","ForMission Ltd","0","0","0","0","0"
"10022087","Futureworks","0","0","0","0","0"
"10042500","Global Banking School Limited","0","0","0","0","0"
"10007762","Glasgow Caledonian University","0","0","85","40","125"
"10002681","Glasgow School of Art","0","0","0","0","0"
"10007794","The University of Glasgow","0","2,445","225","455","3,125"
"10007145","University of Gloucestershire","0","0","0","0","0"
"10002718","Goldsmiths College","0","0","0","0","0"
"10030408","Gower College Swansea","0","0","0","0","0"
"10007146","The University of Greenwich","0","0","0","0","0"
"10007825","Guildhall School of Music and Drama","0","0","0","0","0"
"10040812","Harper Adams University","0","0","0","0","0"
"10080811","Hartpury University","0","0","0","0","0"
"10007764","Heriot-Watt University","0","0","0","0","0"
"10007147","University of Hertfordshire","0","5","465","0","470"
"10007148","The University of Huddersfield","0","0","0","0","0"
"10007149","The University of Hull","50","500","15","0","560"
"10003239","ICON College of Technology and Management","0","0","0","0","0"
"10003270","Imperial College of Science, Technology and Medicine","0","4,315","0","0","4,315"
"10013220","Institute of Art - London Limited","0","0","0","0","0"
"10067388","The Institute of Ismaili Studies","0","0","0","0","0"
"10035638","Institute of Contemporary Music Performance","0","0","0","0","0"
"10082728","INTO University Partnerships Limited","0","0","0","0","0"
"10029682","The Islamic College","0","0","0","0","0"
"10082570","Kaplan International Colleges U.K. Limited","0","0","0","0","0"
"10021682","Kaplan Open Learning (Essex) Limited","0","0","0","0","0"
"10007767","Keele University","0","940","0","0","940"
"10003566","Kensington College of Business","0","0","0","0","0"
"10007150","The University of Kent","0","55","0","0","55"
"10003645","King's College London","35","2,800","115","1,260","4,210"
"10008325","KLC School of Design","0","0","0","0","0"
"10003678","Kingston University","15","0","0","0","15"
"10003758","LAMDA Limited","0","0","0","0","0"
"10007768","The University of Lancaster","5","475","0","0","480"
"10066551","LCCM AU UK Limited","0","0","0","0","0"
"10003854","Leeds Arts University","0","0","0","0","0"
"10003861","Leeds Beckett University","0","0","0","0","0"
"10003798","Le Cordon Bleu Limited","0","0","0","0","0"
"10034449","Leeds Conservatoire","0","0","0","0","0"
"10007795","The University of Leeds","320","1,730","70","605","2,725"
"10003863","Leeds Trinity University","0","0","0","0","0"
"10007796","The University of Leicester","30","1,390","130","0","1,550"
"10007151","The University of Lincoln","0","0","0","0","0"
"10003956","Liverpool Hope University","0","0","0","0","0"
"10003957","Liverpool John Moores University","0","0","0","0","0"
"10003945","The Liverpool Institute for Performing Arts","0","0","0","0","0"
"10006842","The University of Liverpool","0","1,690","120","395","2,205"
"10003958","Liverpool School of Tropical Medicine","0","235","0","0","235"
"10007820","Grŵp Llandrillo Menai","0","0","0","0","0"
"10007162","University of the Arts, London","0","0","0","0","0"
"10013109","London Bridge Business Academy","0","0","0","0","0"
"10007769","London Business School","0","0","0","0","0"
"10030391","London Churchill College Ltd","0","0","0","0","0"
"10007797","University of London (Institutes and activities)","0","400","0","0","400"
"10039082","City and Guilds of London Art School","0","0","0","0","0"
"10023434","London School of Commerce & IT Limited","0","0","0","0","0"
"10004036","London Film School Limited","0","0","0","0","0"
"10015506","The London College","0","0","0","0","0"
"10004048","London Metropolitan University","0","0","0","0","0"
"10032594","London School of Academics Ltd","0","0","0","0","0"
"10004078","London South Bank University","0","0","0","10","10"
"10004063","London School of Economics and Political Science","0","0","0","0","0"
"10007771","London School of Hygiene and Tropical Medicine","105","140","10","0","255"
"10022285","London School of Management Education","0","0","0","0","0"
"10004075","London School of Theology","0","0","0","0","0"
"10004079","London Studio Centre","0","0","0","0","0"
"10062810","The London School of Architecture","0","0","0","0","0"
"10008289","The London Institute of Banking & Finance","0","0","0","0","0"
"10004035","The Film Education Training Trust Limited","0","0","0","0","0"
"10004113","Loughborough University","0","0","0","0","0"
"10009612","Luther King House Educational Trust","0","0","0","0","0"
"10004180","The Manchester Metropolitan University","0","45","0","0","45"
"10007798","The University of Manchester","165","2,550","240","495","3,455"
"10009527","Istituto Marangoni Limited","0","0","0","0","0"
"10023452","The Markfield Institute of Higher Education","0","0","0","0","0"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","0","0","0","0","0"
"10020416","Missio Dei","0","0","0","0","0"
"10030776","St Mellitus College","0","0","0","0","0"
"10004320","The Metanoia Institute","0","0","0","0","0"
"10004351","Middlesex University","0","0","0","0","0"
"10032277","The Minster Centre","0","0","0","0","0"
"10004450","Mountview Academy of Theatre Arts","0","0","0","0","0"
"10023777","Mont Rose College of Management and Sciences","0","0","0","0","0"
"10023454","Moorlands College","0","0","0","0","0"
"10000216","All Nations Christian College","0","0","0","0","0"
"10004538","Nazarene Theological College","0","0","0","0","0"
"10030129","Nelson College London Ltd","0","0","0","0","0"
"10023456","Newbold College","0","0","0","0","0"
"10007799","Newcastle University","560","1,865","15","440","2,880"
"10045289","St Nicholas Montessori Training Limited","0","0","0","0","0"
"10048199","Northeastern University London","0","0","0","0","0"
"10008397","Norland College","0","0","0","0","0"
"10007138","The University of Northampton","0","0","10","0","10"
"10009614","Grŵp NPTC Group","0","0","0","0","0"
"10004740","Northern College of Acupuncture","0","0","0","0","0"
