﻿Title:,"Table 49 - HE student enrolments by HE provider and subject of study"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 49
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2020/21 
Search:,


"UKPRN","HE provider","01 Medicine and dentistry","02 Subjects allied to medicine","03 Biological and sport sciences","04 Psychology","05 Veterinary sciences","06 Agriculture, food and related studies","07 Physical sciences","09 Mathematical sciences","10 Engineering and technology","11 Computing","13 Architecture, building and planning","26 Geography, earth and environmental studies (natural sciences)","15 Social sciences","16 Law","17 Business and management","19 Language and area studies","20 Historical, philosophical and religious studies","22 Education and teaching","23 Combined and general studies","24 Media, journalism and communications","25 Design, and creative and performing arts","26 Geography, earth and environmental studies (social sciences)","Total"
"10008071","AA School of Architecture","0","0","0","0","0","0","0","0","0","0","965","0","0","0","0","0","0","0","0","0","0","0","965"
"10007783","The University of Aberdeen","1,430","685","1,090","785","0","20","410","145","1,405","340","55","415","1,325","1,245","1,645","655","810","1,915","1,340","50","235","80","16,080"
"10007849","Abertay University","0","485","360","440","0","180","95","0","130","1,310","45","0","425","235","505","0","0","20","0","0","340","0","4,575"
"10007856","Aberystwyth University","0","40","835","445","0","475","305","165","115","750","0","275","560","260","425","835","350","1,080","0","465","510","140","8,040"
"10067853","ACM Guildford Limited","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","1,170","0","1,185"
"10000248","Academy of Live and Recorded Arts","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","270","0","270"
"10000163","AECC University College","0","840","25","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","875"
"10032036","Amity Global Education","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80","0","0","0","0","0","0","0","80"
"10000291","Anglia Ruskin University","340","7,525","820","800","75","105","370","0","835","1,045","1,275","0","3,800","765","11,525","325","225","645","75","270","1,375","0","32,180"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170","0","0","0","0","0","0","0","170"
"10062759","Applied Business Academy Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220","0","0","0","0","220"
"10005451","Arden University","0","0","0","1,500","0","0","0","5","0","955","0","0","2,185","745","6,160","0","0","30","0","0","185","0","11,760"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","385","0","385"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","140","0","0","0","0","0","0","0","0","0","0","935","0","0","0","0","0","0","0","1,075"
"10003212","Hult International Business School Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,575","0","0","0","0","0","0","0","1,575"
"10007759","Aston University","310","2,655","215","930","0","0","200","260","2,050","1,405","120","0","1,415","720","5,740","420","30","260","70","0","0","0","16,795"
"10038772","British Academy of Jewellery Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","30"
"10007857","Bangor University","140","1,805","1,380","1,215","0","365","30","0","195","300","0","390","655","425","865","610","375","490","0","145","260","50","9,705"
"10000571","Bath Spa University","0","175","95","525","0","0","100","25","115","180","0","185","475","25","1,380","680","230","2,050","0","575","2,415","0","9,235"
"10007850","The University of Bath","75","1,350","1,575","1,045","0","0","1,280","1,145","3,215","1,300","695","0","2,975","0","2,890","460","0","515","30","0","0","0","18,555"
"10007152","University of Bedfordshire","0","1,735","695","625","0","100","90","0","460","1,375","50","20","3,055","275","7,210","245","0","1,185","0","220","635","0","17,980"
