﻿Title:,"Table 57 - Full-time HE student enrolments by HE provider and term-time accommodation"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 57
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-57
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-57.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Entrant marker,All 
,Level of study,All 
,Academic year,2019/20 
Search:,


"HE provider","Provider maintained property","Private-sector halls","Parental/guardian home","Own residence","Other rented accommodation","Other","Not available","Total"
"The University of Aberdeen","1,775","2,825","990","6,525","445","0","160","12,715"
"Abertay University","540","135","1,150","605","1,295","90","65","3,885"
"Aberystwyth University","1,615","1,350","175","375","2,255","150","145","6,060"
"AECC University College","15","30","50","70","390","10","20","580"
"Anglia Ruskin University","1,120","1,400","4,390","9,115","3,755","1,680","150","21,610"
"Aston University","5","3,640","5,385","975","1,550","455","290","12,295"
"Bangor University","2,290","585","1,230","1,290","3,415","10","185","9,000"
"Bath Spa University","625","370","1,185","2,415","2,955","0","0","7,550"
"The University of Bath","5,195","340","755","1,315","7,020","210","1,770","16,605"
"University of Bedfordshire","915","5","2,170","9,655","35","450","550","13,780"
"Queen's University Belfast","2,955","0","6,135","2,285","6,450","840","675","19,340"
"Birkbeck College","100","80","950","3,315","0","90","15","4,550"
"Birmingham City University","530","3,435","9,730","3,875","5,540","0","170","23,285"
"The University of Birmingham","4,505","3,430","3,605","3,580","11,820","1,230","2,495","30,660"
"University College Birmingham","660","130","1,300","1,530","400","285","25","4,325"
"Birmingham Newman University","160","5","1,265","525","135","55","0","2,145"
"Bishop Grosseteste University","175","80","560","645","510","45","60","2,075"
"The University of Bolton","0","515","1,770","3,465","350","305","195","6,595"
"The Arts University Bournemouth","775","240","290","265","1,670","60","70","3,370"
"Bournemouth University","410","4,525","2,580","1,295","5,780","50","320","14,965"
"The University of Bradford","0","1,505","3,875","1,465","710","405","50","8,005"
"The University of Brighton","3,055","0","2,155","1,680","6,860","345","980","15,080"
"The University College of Osteopathy","0","5","70","105","65","0","0","250"
"The University of Bristol","4,525","5,650","910","1,095","12,500","295","675","25,645"
"Brunel University London","5,050","150","5,165","1,065","2,075","780","95","14,380"
"Buckinghamshire New University","1,170","30","1,880","5,225","3,305","240","85","11,930"
"The University of Buckingham","625","0","400","705","0","1,000","20","2,750"
"The University of Cambridge","15,225","415","105","1,105","1,410","60","1,215","19,535"
"The Institute of Cancer Research","0","5","10","35","65","5","0","120"
"Canterbury Christ Church University","2,355","260","3,410","2,805","725","275","350","10,180"
"Cardiff University","7,435","3,225","2,100","2,890","9,220","755","1,175","26,805"
"Cardiff Metropolitan University","1,180","1,490","2,095","1,620","3,135","130","70","9,720"
"The University of Central Lancashire","1,825","1,805","5,640","4,595","4,450","790","280","19,380"
"University of Chester","1,235","615","3,305","1,975","2,555","105","180","9,970"
"The University of Chichester","1,265","25","890","695","1,375","120","40","4,405"
"City, University of London","0","1,505","6,055","7,350","5","1,020","980","16,920"
"Conservatoire for Dance and Drama","0","70","85","320","330","160","5","970"
"Courtauld Institute of Art","75","50","80","75","195","45","10","535"
"Coventry University","10,450","2,325","6,360","3,200","7,390","1,825","1,370","32,920"
"Cranfield University","1,205","0","45","405","0","605","15","2,275"
"University for the Creative Arts","885","180","1,235","1,055","1,555","210","0","5,110"
"University of Cumbria","350","130","1,670","1,500","995","100","310","5,055"
"De Montfort University","510","4,730","5,555","1,330","8,580","325","4,500","25,530"
"University of Derby","2,640","850","3,305","4,385","2,450","10","305","13,940"
"The University of Dundee","1,635","1,255","1,650","5,220","0","2,585","340","12,680"
"University of Durham","6,350","0","645","910","10,110","0","495","18,505"
"The University of East Anglia","5,295","800","1,520","3,875","4,200","315","5","16,015"
"The University of East London","685","80","3,900","5,075","2,240","615","625","13,220"
"Edge Hill University","2,785","225","3,550","1,995","1,915","95","65","10,630"
"Edinburgh Napier University","1,100","515","2,855","2,360","3,635","440","755","11,660"
"The University of Edinburgh","12,215","1,470","1,995","1,160","10,515","1,010","3,620","31,985"
"The University of Essex","4,760","785","2,140","1,240","3,695","1,735","385","14,745"
"The University of Exeter","5,910","2,360","825","3,540","10,695","555","535","24,420"
"Falmouth University","1,430","145","685","475","2,725","30","165","5,650"
"The National Film and Television School","0","0","45","55","275","5","0","380"
"Glasgow Caledonian University","780","550","7,075","3,830","1,105","280","585","14,210"
"Glasgow School of Art","435","70","360","290","880","90","120","2,240"
"The University of Glasgow","4,500","1,770","5,755","2,230","11,265","670","1,095","27,285"
"University of Gloucestershire","1,055","470","1,400","1,385","2,235","105","45","6,690"
"Goldsmiths College","330","1,195","300","4,470","2,175","0","320","8,790"
"Gower College Swansea","0","0","0","0","0","0","0","0"
"The University of Greenwich","2,130","195","5,130","3,440","3,585","750","600","15,830"
"Guildhall School of Music and Drama","185","10","105","180","470","20","10","980"
"Harper Adams University","770","10","95","50","980","5","545","2,460"
"Hartpury University","660","30","320","70","605","10","70","1,765"
"Heriot-Watt University","1,975","580","1,820","1,040","3,495","495","145","9,550"
"University of Hertfordshire","4,620","135","6,525","3,190","4,495","500","160","19,625"
"The University of Huddersfield","0","2,940","5,655","2,290","1,830","725","905","14,350"
"The University of Hull","3,220","1,445","2,585","1,290","2,945","770","225","12,475"
"Imperial College of Science, Technology and Medicine","1,840","1,575","2,240","1,440","9,890","770","280","18,030"
"Keele University","2,880","115","2,460","735","2,190","115","120","8,620"
"The University of Kent","3,490","2,195","3,985","195","6,080","10","545","16,500"
"King's College London","4,755","1,695","4,940","7,005","5,565","2,095","1,590","27,640"
"Kingston University","2,125","1,000","5,160","1,910","4,130","1,020","440","15,780"
"LAMDA Limited","0","5","40","50","130","5","15","245"
"The University of Lancaster","6,305","890","510","660","5,600","200","75","14,230"
"Leeds Arts University","15","645","200","70","1,160","10","5","2,105"
