﻿Title:,"Table 59 - UK permanent address HE students by HE provider and permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 59
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE Provider","Abertawe - Swansea","Blaenau Gwent - Blaenau Gwent","Bro Morgannwg - The Vale of Glamorgan","Caerdydd - Cardiff","Caerffili - Caerphilly","Casnewydd - Newport","Castell-Nedd Port Talbot - Neath Port Talbot","Conwy - Conwy","Gwynedd - Gwynedd","Merthyr Tudful - Merthyr Tydfil","Pen-Y-Bont Ar Ogwr - Bridgend","Powys - Powys","Rhondda, Cynon, Taff - Rhondda, Cynon, Taff","Sir Benfro - Pembrokeshire","Sir Ceredigion - Ceredigion","Sir Ddinbych - Denbighshire","Sir Fynwy - Monmouthshire","Sir Gaerfyrddin - Carmarthenshire","Sir Y Fflint - Flintshire","Sir Ynys Môn - Isle of Anglesey","Tor-Faen - Torfaen","Wrecsam - Wrexham","Wales (unitary authority unknown)","Total Wales","Total"
"10008071","AA School of Architecture","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95"
"10007783","The University of Aberdeen","5","0","0","10","0","0","0","5","0","0","0","5","0","0","0","0","0","0","5","0","0","5","0","45","9,545"
"10007849","Abertay University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3,675"
"10007856","Aberystwyth University","80","25","50","80","80","35","65","60","180","20","65","410","135","160","670","55","75","195","100","50","50","75","0","2,715","6,485"
"10000080","Access to Music Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20"
"10067853","ACM Guildford Limited","0","0","0","5","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","15","1,100"
"10000248","Academy of Live and Recorded Arts","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","240"
"10000163","AECC University College","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","370"
"10032036","Amity Global Education","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40"
"10000291","Anglia Ruskin University","10","0","5","5","0","5","5","5","5","0","0","5","5","5","5","5","5","5","0","0","0","0","0","80","20,950"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50"
"10005451","Arden University","5","0","0","10","5","0","0","0","0","0","0","0","5","5","0","5","0","5","5","0","0","0","0","55","5,145"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","250"
"10007759","Aston University","15","0","5","35","5","20","5","10","10","0","5","15","5","5","0","5","5","10","10","0","5","10","0","185","12,525"
"10007857","Bangor University","35","10","15","35","20","15","20","695","1,110","5","15","90","15","15","45","365","15","40","335","710","10","285","10","3,905","8,230"
"10000571","Bath Spa University","30","10","25","65","50","45","20","5","5","10","35","25","40","40","10","0","55","35","0","5","20","5","0","550","7,305"
"10007850","The University of Bath","70","10","75","160","35","55","20","15","15","10","30","30","40","40","25","15","55","35","15","5","15","30","0","795","12,495"
"10007152","University of Bedfordshire","0","0","0","5","0","0","0","0","0","0","5","5","0","0","0","0","0","5","0","0","0","0","0","30","10,445"
"10005343","Queen's University Belfast","5","0","0","10","0","0","0","0","5","0","5","0","0","10","0","5","5","10","0","0","0","0","0","65","20,915"
"10037544","BIMM University","20","5","10","15","5","10","5","5","5","0","0","5","10","10","5","10","5","10","15","0","0","10","0","170","4,290"
"10007760","Birkbeck College","5","0","0","10","0","5","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","30","10,015"
"10007140","Birmingham City University","10","5","20","40","10","25","10","20","10","5","10","35","15","10","15","5","10","15","10","5","10","25","0","320","22,895"
"10006840","The University of Birmingham","40","10","75","200","30","65","15","20","15","5","30","65","40","25","20","30","70","45","35","10","15","40","0","895","26,320"
"10000712","University College Birmingham","5","0","5","10","0","0","0","0","0","0","5","10","0","0","0","5","0","0","0","0","0","5","0","55","3,300"
"10007832","Birmingham Newman University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","2,780"
"10000894","Bristol Baptist College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","50"
"10007811","Bishop Grosseteste University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","2,240"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,040"
"10006841","The University of Bolton","5","0","5","5","0","0","5","5","5","0","5","5","5","0","0","10","0","5","10","10","0","5","0","85","6,360"
"10000385","The Arts University Bournemouth","0","0","10","5","5","0","0","0","0","0","5","0","0","5","5","0","5","5","0","0","0","0","0","55","2,830"
"10000824","Bournemouth University","10","5","20","20","15","10","0","0","5","5","15","15","10","10","5","5","15","15","5","0","10","0","0","200","15,660"
"10031982","BPP University","5","0","5","15","0","5","0","0","5","5","0","5","5","5","0","0","5","0","0","0","0","0","0","65","6,725"
"10007785","The University of Bradford","5","0","0","5","0","0","0","0","5","0","0","0","0","0","0","5","0","0","5","5","0","0","0","45","8,250"
"10000886","The University of Brighton","15","0","15","35","10","10","5","10","5","0","5","5","10","10","5","0","10","20","0","0","5","5","0","185","17,785"
"10000936","The University College of Osteopathy","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","440"
"10007786","The University of Bristol","145","10","105","250","30","70","30","15","20","10","65","45","55","45","35","5","90","55","20","10","35","15","0","1,160","19,450"
"10028216","Brit College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","560"
"10023464","Trinity College Bristol","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","165"
"10000961","Brunel University London","15","0","10","20","5","5","5","0","5","0","5","5","5","5","0","5","5","10","5","5","0","0","0","120","10,710"
"10000975","Buckinghamshire New University","10","0","5","5","5","0","0","5","5","0","5","5","10","5","0","5","5","5","10","5","0","0","0","90","10,170"
"10007787","The University of Buckingham","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","25","2,190"
"10022021","UK College of Business and Computing","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","570"
"10019368","London College of Business Studies","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40"
"10007788","The University of Cambridge","25","0","15","55","5","15","5","20","15","0","15","10","10","15","10","10","25","15","10","5","0","10","0","305","13,545"
"10032072","The Cambridge Theological Federation","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","130"
"10003324","The Institute of Cancer Research","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","230"
"10001143","Canterbury Christ Church University","0","0","0","5","0","5","0","0","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","35","13,440"
"10007814","Cardiff University","660","165","795","3,560","610","690","310","115","210","175","520","230","830","305","145","80","370","580","105","70","305","80","25","10,945","24,570"
"10007854","Cardiff Metropolitan University","245","120","405","1,995","470","355","200","45","90","115","345","150","530","160","90","30","195","230","35","40","180","25","10","6,065","9,335"
"10007141","The University of Central Lancashire","10","0","5","15","5","10","5","30","15","0","5","15","5","5","0","30","5","5","35","10","0","20","0","240","20,470"
"10007848","University of Chester","15","0","5","15","5","10","15","185","110","0","5","100","10","15","15","250","5","15","600","75","5","375","0","1,835","13,585"
"10007137","The University of Chichester","10","5","5","5","10","5","5","0","0","0","0","0","5","5","0","0","5","5","0","0","5","0","0","65","5,295"
"10001386","Chicken Shed Theatre Company","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80"
"10001546","The College of Integrated Chinese Medicine","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","165"
"10001419","Christie's Education Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"10026921","Christ the Redeemer College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45"
"10010213","The City College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","285"
"10001478","City, University of London","10","0","5","15","0","5","0","0","5","0","0","5","5","0","0","5","0","5","0","0","0","0","0","65","13,045"
"10007912","Cliff College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","140"
"10001653","Conservatoire for Dance and Drama","5","0","0","5","0","0","5","0","0","0","0","5","5","0","0","0","0","5","0","0","0","0","5","40","965"
"10007761","Courtauld Institute of Art","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","280"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35"
"10001726","Coventry University","25","0","10","30","15","15","10","5","5","5","15","20","10","5","5","15","15","20","15","0","10","10","0","260","22,970"
"10007822","Cranfield University","0","0","5","10","5","5","0","0","0","0","0","5","0","5","0","0","5","0","5","0","0","5","0","55","2,350"
"10006427","University for the Creative Arts","10","0","10","10","5","0","5","5","0","0","5","5","10","5","5","0","5","10","5","5","0","5","0","120","5,535"
"10007842","University of Cumbria","5","0","0","5","5","0","0","5","5","0","0","5","5","5","0","5","5","5","5","5","0","10","0","80","7,235"
"10001883","De Montfort University","10","5","10","25","10","5","10","10","10","0","15","15","10","5","10","10","10","10","10","5","5","5","5","210","21,095"
"10007851","University of Derby","15","0","10","15","10","5","5","10","5","5","10","15","10","5","5","10","10","10","15","5","5","10","0","195","17,380"
"10007852","The University of Dundee","10","0","5","25","0","0","0","0","0","0","0","5","5","0","0","0","0","5","0","0","0","0","0","75","13,300"
"10007143","University of Durham","5","0","20","40","5","10","5","15","10","0","10","15","10","10","10","10","25","10","25","10","0","20","0","270","13,270"
"10007789","The University of East Anglia","5","0","5","15","0","5","0","5","5","0","5","5","10","5","5","5","5","0","5","5","0","5","0","95","14,125"
"10007144","The University of East London","5","0","0","5","0","5","0","0","5","0","5","5","0","0","5","5","0","0","5","0","0","5","0","55","11,520"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","335"
"10007823","Edge Hill University","0","0","5","5","0","0","0","75","15","0","0","25","5","5","10","45","0","0","75","15","0","50","0","330","13,495"
"10007772","Edinburgh Napier University","0","0","0","5","0","0","0","0","5","0","0","5","0","5","0","0","5","0","0","0","0","0","0","35","10,745"
"10007790","The University of Edinburgh","15","0","25","40","5","5","5","15","10","0","5","20","5","10","15","20","30","10","15","5","0","20","0","270","21,090"
"10022047","Empire College London Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150"
"10042570","Escape Studios","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,050"
"10007791","The University of Essex","10","0","5","10","0","0","5","5","5","0","0","5","5","0","0","5","5","5","5","0","0","5","0","80","10,880"
"10008173","University College of Estate Management","5","0","5","15","0","5","5","0","5","0","0","5","5","5","0","0","5","5","0","0","5","0","0","80","2,720"
"10007792","The University of Exeter","65","10","75","180","55","65","30","15","15","10","45","45","50","55","15","5","65","50","5","0","25","20","0","905","18,680"
"10008640","Falmouth University","5","5","15","20","10","15","0","0","0","0","5","15","15","15","10","0","10","15","0","5","5","5","0","170","5,730"
"10033187","Fairfield School of Business Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","885"
"10045476","Met Film School Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","135"
