﻿Title:,"Table 59 - UK permanent address HE students by HE provider and permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 59
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE Provider","Aberdeenshire","Angus","Argyll and Bute","City of Aberdeen","City of Dundee","City of Edinburgh","City of Glasgow","Clackmannanshire","Dumfries and Galloway","East Ayrshire","East Dunbartonshire","East Lothian","East Renfrewshire","Falkirk","Fife","Highland","Inverclyde","Midlothian","Moray","North Ayrshire","North Lanarkshire","Orkney Islands","Perth and Kinross","Renfrewshire","Scottish Borders","Shetland Islands","South Ayrshire","South Lanarkshire","Stirling","West Dunbartonshire","West Lothian","Western Isles (Eilean Siar)","Scotland (council area unknown)","Total Scotland","Total"
"10008071","AA School of Architecture","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95"
"10007783","The University of Aberdeen","1,480","265","95","1,780","195","665","260","40","95","65","115","130","100","95","390","435","45","60","285","55","80","50","225","80","125","50","60","155","145","25","150","40","40","7,880","9,545"
"10007849","Abertay University","135","415","25","50","880","185","65","25","45","20","30","40","25","50","600","100","15","35","35","35","50","10","260","30","60","10","45","65","60","15","85","10","5","3,515","3,675"
"10007856","Aberystwyth University","0","0","0","0","0","10","5","0","5","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","6,485"
"10000080","Access to Music Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20"
"10067853","ACM Guildford Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1,100"
"10000248","Academy of Live and Recorded Arts","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","240"
"10000163","AECC University College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","370"
"10032036","Amity Global Education","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40"
"10000291","Anglia Ruskin University","5","0","0","10","0","10","10","0","5","0","0","0","0","0","5","5","0","0","0","0","5","0","5","5","0","0","0","0","0","0","5","0","0","75","20,950"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50"
"10005451","Arden University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","5,145"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","250"
"10007759","Aston University","0","0","0","0","0","10","0","0","0","0","0","0","5","0","5","5","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","40","12,525"
"10007857","Bangor University","0","0","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","40","8,230"
"10000571","Bath Spa University","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","7,305"
"10007850","The University of Bath","5","0","0","10","0","45","10","0","5","0","5","5","5","0","5","0","0","5","0","5","0","0","5","0","5","0","0","5","5","0","5","0","5","135","12,495"
"10007152","University of Bedfordshire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","10,445"
"10005343","Queen's University Belfast","5","0","0","5","5","30","15","0","0","0","5","0","5","0","10","5","0","0","0","0","5","5","5","0","0","0","0","0","5","0","5","0","5","125","20,915"
"10037544","BIMM University","0","0","0","5","0","10","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","40","4,290"
"10007760","Birkbeck College","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","20","10,015"
"10007140","Birmingham City University","5","5","0","5","0","5","10","5","0","0","5","5","0","0","10","10","0","0","0","0","0","0","5","5","0","0","5","5","0","0","0","0","0","85","22,895"
"10006840","The University of Birmingham","5","0","0","10","5","25","20","0","5","0","5","0","10","0","5","15","0","0","5","5","5","0","5","0","5","0","0","5","5","0","0","0","0","140","26,320"
"10000712","University College Birmingham","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3,300"
"10007832","Birmingham Newman University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2,780"
"10000894","Bristol Baptist College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50"
"10007811","Bishop Grosseteste University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,240"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,040"
"10006841","The University of Bolton","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","5","0","0","0","0","0","20","6,360"
"10000385","The Arts University Bournemouth","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","2,830"
"10000824","Bournemouth University","0","0","0","5","0","0","10","0","0","0","0","5","0","0","0","5","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","35","15,660"
"10031982","BPP University","0","0","0","5","0","20","5","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","5","0","5","0","0","5","0","0","0","0","0","70","6,725"
"10007785","The University of Bradford","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","8,250"
"10000886","The University of Brighton","5","0","0","0","0","10","10","0","0","0","0","5","0","0","5","5","0","0","0","0","0","0","0","5","5","0","5","0","5","0","0","0","0","70","17,785"
"10000936","The University College of Osteopathy","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","440"
"10007786","The University of Bristol","5","0","0","5","0","75","20","0","10","0","5","5","5","5","10","5","0","5","5","5","5","0","5","5","5","0","5","0","5","0","0","0","0","205","19,450"
"10028216","Brit College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","560"
"10023464","Trinity College Bristol","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","165"
"10000961","Brunel University London","5","0","0","5","0","5","5","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","10,710"
"10000975","Buckinghamshire New University","0","0","0","0","0","10","5","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","50","10,170"
"10007787","The University of Buckingham","5","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","25","2,190"
"10022021","UK College of Business and Computing","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","570"
"10019368","London College of Business Studies","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40"
"10007788","The University of Cambridge","15","0","0","15","5","100","35","0","5","0","10","15","10","5","15","15","5","5","5","5","0","0","10","5","5","0","5","10","10","0","5","0","0","305","13,545"
"10032072","The Cambridge Theological Federation","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","130"
"10003324","The Institute of Cancer Research","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230"
"10001143","Canterbury Christ Church University","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","13,440"
"10007814","Cardiff University","5","0","0","10","0","20","20","0","5","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","5","0","90","24,570"
"10007854","Cardiff Metropolitan University","0","5","0","0","0","5","5","0","0","0","5","0","0","0","5","0","0","0","0","0","5","0","0","0","5","0","0","0","0","0","0","0","0","40","9,335"
"10007141","The University of Central Lancashire","5","0","0","5","5","10","20","0","10","0","5","0","5","5","10","5","0","0","5","0","5","0","5","0","0","0","5","5","0","0","5","0","0","120","20,470"
"10007848","University of Chester","0","0","0","0","0","10","10","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","45","13,585"
"10007137","The University of Chichester","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","5,295"
"10001386","Chicken Shed Theatre Company","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80"
"10001546","The College of Integrated Chinese Medicine","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","165"
"10001419","Christie's Education Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"10026921","Christ the Redeemer College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45"
"10010213","The City College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","285"
"10001478","City, University of London","0","0","0","5","0","15","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","5","0","5","0","25","75","13,045"
"10007912","Cliff College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","140"
"10001653","Conservatoire for Dance and Drama","0","0","0","5","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","965"
"10007761","Courtauld Institute of Art","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","280"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35"
"10001726","Coventry University","5","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","35","22,970"
"10007822","Cranfield University","5","0","5","10","0","10","5","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","55","2,350"
"10006427","University for the Creative Arts","5","0","0","0","0","10","10","0","0","5","0","5","0","0","5","10","5","0","0","0","5","0","5","5","5","0","0","5","0","0","0","0","0","90","5,535"
"10007842","University of Cumbria","0","5","0","0","0","10","15","0","95","0","0","5","0","0","10","5","0","0","5","5","0","0","0","5","5","0","0","5","0","5","5","0","0","195","7,235"
"10001883","De Montfort University","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","5","0","5","50","21,095"
"10007851","University of Derby","5","0","5","10","5","10","15","0","5","5","0","5","0","5","5","10","0","0","5","5","5","0","5","5","0","0","5","5","0","0","0","0","5","120","17,380"
"10007852","The University of Dundee","275","1,035","100","205","1,975","785","545","65","145","80","175","125","180","185","1,905","295","70","105","85","105","170","30","800","155","155","25","115","225","190","60","220","25","10","10,625","13,300"
"10007143","University of Durham","20","5","5","10","5","100","10","5","0","0","5","10","5","5","5","0","0","0","0","0","0","0","10","5","15","0","0","0","10","0","5","0","0","240","13,270"
"10007789","The University of East Anglia","5","0","0","5","0","15","5","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","50","14,125"
"10007144","The University of East London","0","0","0","0","0","5","5","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","11,520"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","335"
"10007823","Edge Hill University","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","13,495"
"10007772","Edinburgh Napier University","260","105","90","175","110","2,830","315","75","200","60","80","455","55","305","815","320","50","440","110","65","285","30","240","110","460","15","85","240","160","30","930","30","45","9,585","10,745"
"10007790","The University of Edinburgh","405","140","140","370","130","3,235","550","125","205","70","240","440","195","245","680","360","70","360","130","65","275","45","360","155","430","35","135","275","290","40","555","20","45","10,815","21,090"
"10022047","Empire College London Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150"
"10042570","Escape Studios","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,050"
"10007791","The University of Essex","0","0","0","5","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","10,880"
"10008173","University College of Estate Management","0","5","0","5","0","10","5","0","0","0","0","0","0","0","5","5","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","55","2,720"
"10007792","The University of Exeter","10","5","5","15","0","60","10","5","5","0","0","5","5","0","15","5","0","10","5","0","5","0","10","0","5","5","0","0","0","0","5","0","0","200","18,680"
"10008640","Falmouth University","5","0","0","5","0","5","5","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","5,730"
"10033187","Fairfield School of Business Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","885"
"10045476","Met Film School Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","135"
"10004511","The National Film and Television School","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","385"
"10038763","ForMission Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","180"
"10022087","Futureworks","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","460"
"10007762","Glasgow Caledonian University","125","50","205","90","45","275","3,605","65","180","435","790","60","700","325","210","195","325","35","55","490","1,615","25","135","930","90","15","405","1,565","235","445","210","35","5","13,970","14,755"
"10002681","Glasgow School of Art","10","5","10","10","10","95","305","5","20","20","50","10","30","15","20","25","15","10","15","15","40","5","15","35","10","0","20","70","10","20","15","5","0","945","1,480"
"10007794","The University of Glasgow","325","95","275","260","125","1,310","4,240","90","460","330","900","185","885","315","405","400","260","100","85","400","1,205","25","330","840","220","25","375","1,425","360","405","300","45","140","17,140","21,120"
"10007145","University of Gloucestershire","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","7,750"
"10002718","Goldsmiths College","5","0","0","5","0","10","15","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","50","7,580"
"10030408","Gower College Swansea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","130"
"10007146","The University of Greenwich","5","5","0","5","10","10","10","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","70","14,540"
"10007937","GSM London","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4,610"
"10007825","Guildhall School of Music and Drama","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","30","725"
"10040812","Harper Adams University","30","10","5","0","0","15","10","0","20","5","5","10","0","5","15","20","0","5","10","5","5","0","20","5","25","0","5","15","5","0","5","5","0","265","5,115"
"10080811","Hartpury University","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","1,670"
"10007764","Heriot-Watt University","305","65","60","235","65","1,250","255","45","110","50","90","165","70","185","505","260","45","170","70","50","155","25","160","80","190","25","65","180","105","20","410","15","80","5,570","7,775"
"10007147","University of Hertfordshire","5","5","0","0","0","10","15","0","0","0","0","0","0","0","10","5","0","0","5","0","5","0","5","5","0","0","0","0","0","0","0","0","0","75","19,730"
"10007148","The University of Huddersfield","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","14,115"
"10007149","The University of Hull","5","0","0","0","0","10","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","13,855"
"10003239","ICON College of Technology and Management","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,485"
"10003270","Imperial College of Science, Technology and Medicine","15","5","0","25","5","60","25","0","5","0","10","0","5","0","15","0","0","5","0","5","5","0","5","0","5","0","5","5","0","0","5","0","0","210","9,040"
"10004023","London College of International Business Studies Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100"
"10035638","Institute of Contemporary Music Performance","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","10","675"
"10029682","The Islamic College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65"
"10021682","Kaplan Open Learning (Essex) Limited","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","1,115"
"10007767","Keele University","0","0","0","5","0","5","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","9,950"
"10003566","Kensington College of Business","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","495"
"10007150","The University of Kent","0","0","0","0","0","10","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","15,075"
"10003645","King's College London","5","0","5","15","5","55","25","0","5","0","5","5","0","5","15","5","0","0","5","0","0","0","10","0","5","0","0","5","5","0","0","0","5","195","20,510"
"10008325","KLC School of Design","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170"
"10003678","Kingston University","0","0","0","5","0","10","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","13,495"
"10009285","Kogan Academy of Dramatic Arts","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10007768","The University of Lancaster","5","5","0","5","0","15","10","0","0","0","5","0","5","0","5","0","0","0","0","0","0","0","5","5","5","0","5","5","5","0","5","0","0","95","9,770"
