﻿Title:,"Table 59 - UK permanent address HE students by HE provider and permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 59
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2014/15 
Search:,


"UKPRN","HE Provider","Antrim and Newtownabbey","Armagh, Banbridge and Craigavon","Belfast","Causeway Coast and Glens","Derry and Strabane","Fermanagh and Omagh","Lisburn and Castlereagh","Mid Ulster","Mid and East Antrim","North Down and Ards","Newry, Mourne and Down","Northern Ireland (district council area unknown)","Total Northern Ireland","Total"
"10007783","The University of Aberdeen","10","25","35","15","15","20","20","5","20","40","20","5","230","10,065"
"10019746","ABI College Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","110"
"10007849","Abertay University","20","15","20","20","10","10","10","5","10","20","15","0","155","3,750"
"10007856","Aberystwyth University","0","5","5","10","10","0","5","0","10","5","0","0","60","8,460"
"10000080","Access to Music Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","65"
"10000248","Academy of Live and Recorded Arts","0","0","0","0","0","0","0","0","0","0","0","0","0","190"
"10000291","Anglia Ruskin University","5","10","10","5","5","10","10","5","10","10","5","0","75","17,110"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0","5","230"
"10007759","Aston University","0","5","5","10","0","5","5","0","0","0","5","0","35","8,540"
"10007857","Bangor University","5","5","10","5","0","5","5","0","5","10","10","0","65","8,475"
"10000571","Bath Spa University","0","0","5","5","5","5","5","0","0","10","0","0","40","6,625"
"10007850","The University of Bath","10","15","20","10","10","10","20","5","10","25","10","0","135","11,060"
"10007152","University of Bedfordshire","5","5","5","5","5","5","0","5","0","10","5","0","50","12,295"
"10005343","Queen's University Belfast","1,410","2,265","4,420","995","1,175","1,130","2,055","1,465","1,270","1,735","2,095","85","20,100","21,265"
"10037544","BIMM University","0","0","0","0","0","0","0","0","5","0","0","0","5","2,120"
"10007760","Birkbeck College","0","0","0","0","0","0","0","0","0","0","0","0","10","12,505"
"10007140","Birmingham City University","0","5","10","5","5","5","5","5","5","5","10","0","65","20,540"
"10006840","The University of Birmingham","5","5","15","10","15","5","5","5","5","15","10","5","100","25,860"
"10000712","University College Birmingham","0","0","5","0","5","0","0","0","0","0","0","0","15","3,680"
"10007832","Birmingham Newman University","0","0","0","0","0","5","0","0","0","0","0","0","5","2,710"
"10007811","Bishop Grosseteste University","0","0","0","0","0","0","0","0","0","0","0","0","0","2,290"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","0","0","0","0","0","0","0","940"
"10006841","The University of Bolton","0","5","5","0","5","0","0","0","0","5","5","0","25","5,845"
"10000385","The Arts University Bournemouth","0","0","0","0","0","0","0","0","0","0","5","0","15","2,525"
"10000824","Bournemouth University","0","5","5","5","0","0","5","0","0","5","10","0","45","15,650"
"10031982","BPP University","0","0","0","0","0","0","5","0","0","0","0","0","5","3,825"
"10007785","The University of Bradford","5","0","5","0","5","5","0","0","0","5","0","0","30","9,585"
"10000886","The University of Brighton","5","5","15","5","10","5","5","5","5","10","10","0","80","17,775"
"10007786","The University of Bristol","10","20","40","15","10","5","15","5","5","15","20","0","160","16,635"
"10028216","Brit College","0","0","0","0","0","0","0","0","0","0","0","0","0","320"
"10000961","Brunel University London","0","0","0","5","5","0","5","0","0","0","0","0","25","9,340"
"10000975","Buckinghamshire New University","5","10","10","5","5","0","5","5","5","5","10","0","70","8,220"
"10007787","The University of Buckingham","0","0","0","0","0","0","0","0","0","0","0","0","5","1,365"
"10022021","UK College of Business and Computing","0","0","0","0","0","0","0","0","0","0","0","0","0","1,705"
"10019368","London College of Business Studies","0","0","0","0","0","0","0","0","0","0","0","0","0","510"
"10007788","The University of Cambridge","15","20","55","15","15","10","35","10","20","35","15","0","250","13,145"
"10003324","The Institute of Cancer Research","0","0","0","0","0","0","0","0","0","0","0","0","0","275"
"10001143","Canterbury Christ Church University","10","5","30","5","5","5","5","5","0","0","10","0","80","15,170"
"10007814","Cardiff University","10","20","35","20","20","5","15","10","5","20","20","0","185","23,490"
"10007854","Cardiff Metropolitan University","5","5","10","5","5","5","5","5","0","5","5","0","55","8,950"
"10007141","The University of Central Lancashire","10","15","20","20","20","15","20","5","5","15","15","0","150","22,775"
"10007848","University of Chester","10","15","15","5","15","10","10","5","15","25","5","0","130","13,840"
"10007137","The University of Chichester","0","0","0","0","0","0","0","0","0","0","0","0","10","5,305"
"10001386","Chicken Shed Theatre Company","0","0","0","0","0","0","0","0","0","0","0","0","0","75"
"10001546","The College of Integrated Chinese Medicine","0","0","0","0","0","0","0","0","0","0","0","0","0","210"
"10010213","The City College","0","0","0","0","0","0","0","0","0","0","0","0","0","260"
"10001478","City, University of London","5","5","5","5","0","0","10","5","5","5","5","0","45","11,065"
"10013357","The Academy of Contemporary Music","0","0","0","0","0","0","0","0","0","0","0","0","0","720"
"10001653","Conservatoire for Dance and Drama","0","0","0","0","0","0","0","0","0","0","0","0","5","870"
"10007761","Courtauld Institute of Art","0","0","0","0","0","0","0","0","0","0","0","0","0","310"
"10001726","Coventry University","5","10","10","15","5","10","5","5","0","15","5","0","80","18,500"
"10007822","Cranfield University","0","0","0","0","0","0","0","0","0","0","0","0","5","1,835"
"10006427","University for the Creative Arts","5","5","5","5","0","5","0","0","0","0","0","0","30","4,135"
"10007842","University of Cumbria","15","20","25","20","15","10","5","15","10","20","15","0","165","8,775"
"10001883","De Montfort University","5","5","10","5","5","5","0","5","5","5","10","0","60","16,840"
"10007851","University of Derby","5","10","10","5","10","5","5","10","5","5","5","0","75","14,625"
"10007852","The University of Dundee","70","70","100","70","35","30","85","45","50","115","65","0","740","12,660"
"10007143","University of Durham","10","15","50","5","10","10","20","5","15","30","15","0","180","12,960"
"10007789","The University of East Anglia","0","5","10","10","5","5","5","5","5","0","10","0","70","12,100"
"10007144","The University of East London","0","5","15","0","10","5","0","0","5","10","5","0","60","14,060"
"10007823","Edge Hill University","15","20","20","20","30","25","5","30","15","10","15","0","205","15,915"
"10007772","Edinburgh Napier University","20","40","25","20","30","15","25","10","25","45","25","0","275","10,355"
"10007790","The University of Edinburgh","35","45","80","30","50","30","40","20","30","50","30","0","445","18,805"
"10022047","Empire College London Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","120"
"10042570","Escape Studios","0","0","0","0","0","0","0","0","0","0","0","0","0","145"
"10007791","The University of Essex","0","5","0","0","5","5","0","0","0","5","0","0","25","9,745"
"10002113","East End Computing and Business College Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","485"
