﻿Title:,"Table 59 - UK permanent address HE students by HE provider and permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 59
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE Provider","Channel Islands not otherwise specified","Isle of Man","Total Other UK","Not known","Total"
"10008071","AA School of Architecture","0","0","0","0","95"
"10007783","The University of Aberdeen","5","5","10","0","9,545"
"10007849","Abertay University","0","0","0","0","3,675"
"10007856","Aberystwyth University","10","10","20","0","6,485"
"10000080","Access to Music Limited","0","0","0","0","20"
"10067853","ACM Guildford Limited","5","0","5","0","1,100"
"10000248","Academy of Live and Recorded Arts","0","0","0","0","240"
"10000163","AECC University College","5","0","5","0","370"
"10032036","Amity Global Education","0","0","0","0","40"
"10000291","Anglia Ruskin University","10","5","15","5","20,950"
"10041898","Apex College","0","0","0","0","50"
"10005451","Arden University","0","0","5","5","5,145"
"10000381","Arts Educational Schools","0","0","0","0","250"
"10007759","Aston University","5","5","5","0","12,525"
"10007857","Bangor University","15","15","30","0","8,230"
"10000571","Bath Spa University","15","5","20","0","7,305"
"10007850","The University of Bath","70","15","90","5","12,495"
"10007152","University of Bedfordshire","10","0","10","0","10,445"
"10005343","Queen's University Belfast","10","20","30","0","20,915"
"10037544","BIMM University","30","10","40","0","4,290"
"10007760","Birkbeck College","0","0","5","0","10,015"
"10007140","Birmingham City University","15","0","20","0","22,895"
"10006840","The University of Birmingham","45","20","100","30","26,320"
"10000712","University College Birmingham","0","0","5","0","3,300"
"10007832","Birmingham Newman University","0","0","0","0","2,780"
"10000894","Bristol Baptist College","0","0","0","0","50"
"10007811","Bishop Grosseteste University","0","0","0","0","2,240"
"10004061","Bloomsbury Institute","0","0","0","0","2,040"
"10006841","The University of Bolton","0","0","0","0","6,360"
"10000385","The Arts University Bournemouth","50","10","60","0","2,830"
"10000824","Bournemouth University","60","5","65","0","15,660"
"10031982","BPP University","20","5","25","5","6,725"
"10007785","The University of Bradford","0","0","5","0","8,250"
"10000886","The University of Brighton","125","5","135","0","17,785"
"10000936","The University College of Osteopathy","0","0","0","0","440"
"10007786","The University of Bristol","40","10","55","0","19,450"
"10028216","Brit College","0","0","0","0","560"
"10023464","Trinity College Bristol","0","0","0","0","165"
"10000961","Brunel University London","10","5","15","0","10,710"
"10000975","Buckinghamshire New University","10","5","15","0","10,170"
"10007787","The University of Buckingham","5","0","5","0","2,190"
"10022021","UK College of Business and Computing","0","0","10","10","570"
"10019368","London College of Business Studies","0","0","0","0","90"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","40"
"10007788","The University of Cambridge","10","5","15","0","13,545"
"10032072","The Cambridge Theological Federation","0","0","0","0","130"
"10003324","The Institute of Cancer Research","0","0","0","0","230"
"10001143","Canterbury Christ Church University","15","0","20","10","13,440"
"10007814","Cardiff University","50","10","65","5","24,570"
"10007854","Cardiff Metropolitan University","10","0","15","0","9,335"
"10007141","The University of Central Lancashire","10","25","35","0","20,470"
