﻿Title:,"Table 63 - HE student enrolments by HE provider and distance learning marker"
Subtitle:,"Academic years 2022/23 to 2023/24"
Reference ID:,DT051 Table 63
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-63
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-63.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of study,All 
,Level of study,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE Provider","Distance learning - based in the UK","Distance learning - based outside the UK","Total"
"10007783","The University of Aberdeen","2,775","0","2,780"
"10007849","Abertay University","305","0","305"
"10007856","Aberystwyth University","1,245","135","1,380"
"10067853","ACM Guildford Limited","5","0","5"
"10000163","AECC University College","270","20","290"
"10000291","Anglia Ruskin University","2,485","5","2,490"
"10005451","Arden University","7,225","0","7,225"
"10007759","Aston University","1,730","0","1,730"
"10007857","Bangor University","460","0","460"
"10000571","Bath Spa University","715","0","715"
"10007850","The University of Bath","1,470","5","1,475"
"10007152","University of Bedfordshire","40","0","40"
"10005343","Queen's University Belfast","555","5","560"
"10007760","Birkbeck College","20","0","20"
"10007140","Birmingham City University","500","0","500"
"10006840","The University of Birmingham","2,205","390","2,595"
"10000712","University College Birmingham","95","5","100"
"10007832","Birmingham Newman University","10","0","10"
"10000894","Bristol Baptist College","10","0","10"
"10006841","The University of Bolton","550","0","550"
"10000385","The Arts University Bournemouth","85","0","85"
"10000824","Bournemouth University","140","0","140"
"10031982","BPP University","3,250","0","3,250"
"10007785","The University of Bradford","270","0","270"
"10007786","The University of Bristol","110","10","120"
"10023464","Trinity College Bristol","35","5","40"
"10000961","Brunel University London","665","0","665"
"10000975","Buckinghamshire New University","335","0","335"
"10007787","The University of Buckingham","530","25","550"
"10007788","The University of Cambridge","405","0","405"
"10032072","The Cambridge Theological Federation","0","0","0"
"10001143","Canterbury Christ Church University","270","15","285"
"10007814","Cardiff University","545","5","550"
"10007854","Cardiff Metropolitan University","60","5","65"
"10007141","The University of Central Lancashire","1,585","220","1,810"
"10024024","Central Film School London","0","5","5"
"10007848","University of Chester","505","0","505"
"10007137","The University of Chichester","1,050","0","1,050"
"10001478","City, University of London","180","0","180"
"10007912","Cliff College","40","0","40"
"10066502","The College of Health Ltd","5","0","5"
"10081618","The Council of the Inns of Court","0","10","15"
"10001726","Coventry University","290","0","290"
"10007822","Cranfield University","0","25","25"
"10006427","University for the Creative Arts","190","0","190"
"10007842","University of Cumbria","3,000","0","3,000"
"10001883","De Montfort University","1,715","0","1,715"
"10007851","University of Derby","5,050","10","5,055"
"10007852","The University of Dundee","1,860","5","1,870"
"10007143","University of Durham","105","15","120"
"10007789","The University of East Anglia","10","0","10"
"10007144","The University of East London","460","0","460"
"10032282","The Queen's Foundation for Ecumenical Theological Education","90","5","100"
"10007823","Edge Hill University","530","0","530"
"10007772","Edinburgh Napier University","605","0","605"
"10007790","The University of Edinburgh","2,965","0","2,965"
"10007791","The University of Essex","40","25","70"
"10008173","University College of Estate Management","3,190","0","3,190"
"10007792","The University of Exeter","35","65","100"
"10008640","Falmouth University","1,525","5","1,535"
"10007762","Glasgow Caledonian University","340","0","340"
"10002681","Glasgow School of Art","5","0","5"
"10007794","The University of Glasgow","2,180","320","2,500"
"10007145","University of Gloucestershire","210","0","210"
"10007146","The University of Greenwich","1,320","0","1,320"
"10007825","Guildhall School of Music and Drama","15","0","15"
"10040812","Harper Adams University","1,990","40","2,030"
"10007764","Heriot-Watt University","480","20","505"
"10007147","University of Hertfordshire","390","5","395"
"10007148","The University of Huddersfield","225","5","230"
"10007149","The University of Hull","1,980","0","1,980"
"10003270","Imperial College of Science, Technology and Medicine","530","20","545"
"10035638","Institute of Contemporary Music Performance","5","0","5"
"10029682","The Islamic College","20","0","20"
"10021682","Kaplan Open Learning (Essex) Limited","1,765","10","1,775"
"10007767","Keele University","900","0","900"
"10007150","The University of Kent","1,110","5","1,115"
"10003645","King's College London","2,200","20","2,220"
"10003678","Kingston University","25","15","40"
"10007768","The University of Lancaster","525","10","535"
"10003861","Leeds Beckett University","980","20","995"
"10007795","The University of Leeds","30","50","80"
"10003863","Leeds Trinity University","55","0","55"
"10082828","College of Legal Practice Limited","795","0","795"
"10007796","The University of Leicester","1,085","65","1,150"
"10089591","LIBF Limited","380","0","380"
"10007151","The University of Lincoln","1,075","0","1,075"
"10003956","Liverpool Hope University","105","0","105"
"10003957","Liverpool John Moores University","235","160","395"
"10006842","The University of Liverpool","535","750","1,285"
"10003958","Liverpool School of Tropical Medicine","25","0","25"
"10007162","University of the Arts, London","95","0","100"
"10007797","University of London (Institutes and activities)","3,055","20","3,075"
"10004048","London Metropolitan University","100","0","100"
"10004078","London South Bank University","120","0","120"
"10007771","London School of Hygiene and Tropical Medicine","0","0","0"
"10004075","London School of Theology","85","5","90"
"10004079","London Studio Centre","10","0","10"
"10067623","The London Interdisciplinary School Ltd","25","0","25"
"10004113","Loughborough University","20","0","20"
"10009612","Luther King House Educational Trust","15","0","15"
"10004180","The Manchester Metropolitan University","785","0","785"
"10007798","The University of Manchester","150","0","150"
"10020416","Missio Dei","5","0","5"
"10004320","The Metanoia Institute","0","0","0"
"10004351","Middlesex University","180","0","180"
"10049370","MLA College","110","0","115"
"10055902","Multiverse","6,625","5","6,625"
"10000216","All Nations Christian College","15","0","15"
"10004538","Nazarene Theological College","0","0","5"
"10023456","Newbold College","5","5","15"
"10007799","Newcastle University","385","0","385"
"10007138","The University of Northampton","135","0","135"
"10004740","Northern College of Acupuncture","20","0","20"
"10001282","University of Northumbria at Newcastle","1,895","210","2,105"
"10004775","Norwich University of the Arts","25","0","25"
"10007154","University of Nottingham","435","0","435"
"10004797","The Nottingham Trent University","430","95","525"
"10007773","The Open University","132,755","245","132,995"
"10004930","Oxford Brookes University","550","0","550"
"10007774","The University of Oxford","2,210","0","2,210"
"10066143","Paris Dauphine International","0","0","0"
"10005127","Arts University Plymouth","5","10","15"
"10007801","University of Plymouth","490","0","490"
"10019178","Point Blank Music School","70","5","75"
"10007155","The University of Portsmouth","2,670","0","2,670"
"10083476","The Prince's Foundation","5","0","5"
"10005337","Queen Margaret University, Edinburgh","0","0","0"
"10007775","Queen Mary University of London","925","35","955"
"10005544","Royal Academy of Dance","110","5","115"
"10005378","Rambert School","10","0","10"
"10007802","The University of Reading","2,055","0","2,055"
"10008455","Regent College London","0","0","0"
"10005500","Robert Gordon University","5,785","0","5,785"
"10007776","Roehampton University","135","0","135"
"10005523","Rose Bruford College of Theatre and Performance","40","0","40"
"10005561","Royal Conservatoire of Scotland","0","5","5"
"10007779","The Royal Veterinary College","250","0","250"
"10007803","The University of St. Andrews","95","185","285"
"10007839","SAE Education Limited","10","0","10"
"10007843","St Mary's University, Twickenham","395","5","400"
"10007156","The University of Salford","490","0","490"
"10021256","The Salvation Army","35","0","35"
"10007780","SOAS University of London","255","10","260"
"10005700","SRUC","270","5","270"
"10005790","Sheffield Hallam University","1,635","0","1,635"
"10007157","The University of Sheffield","730","0","730"
"10006022","Solent University","20","0","20"
"10007158","The University of Southampton","65","5","65"
"10088214","S P Jain London School of Management Limited","10","0","10"
"10006093","Spurgeon's College","100","0","105"
"10006299","Staffordshire University","4,630","0","4,630"
"10007804","The University of Stirling","975","0","975"
"10037449","University of St Mark and St John","10","10","20"
"10090767","St Padarn's Institute","105","0","105"
"10007805","The University of Strathclyde","20","3,170","3,190"
"10014001","University of Suffolk","110","0","110"
"10007159","The University of Sunderland","1,820","0","1,820"
"10007160","The University of Surrey","95","0","95"
"10007806","The University of Sussex","455","10","465"
"10007161","Teesside University","2,600","0","2,600"
"10082743","ThinkSpace Education Limited","120","0","120"
"10008017","Trinity Laban Conservatoire of Music and Dance","65","0","70"
"10007858","University of Wales Trinity Saint David","945","0","945"
"10007807","Ulster University","1,030","0","1,030"
"10039956","The University of Law","4,295","50","4,345"
"10024766","Union Foundation","90","0","90"
"10007793","University of South Wales","5","0","5"
"10007163","The University of Warwick","1,075","0","1,075"
"10007800","The University of the West of Scotland","1,745","0","1,745"
"10003614","The University of Winchester","120","0","120"
"10007166","The University of Wolverhampton","2,640","0","2,640"
"10007833","Wrexham University","1,895","0","1,895"
"10007713","York St John University","230","0","230"
"10007167","The University of York","1,770","5","1,775"
"","Total","269,680","6,650","276,325"
