﻿Title:,"Table 63 - HE student enrolments by HE provider and distance learning marker"
Subtitle:,"Academic years 2022/23 to 2023/24"
Reference ID:,DT051 Table 63
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-63
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-63.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of study,All 
,Level of study,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE Provider","Distance learning - based in the UK","Distance learning - based outside the UK","Total"
"10007783","The University of Aberdeen","2,660","5","2,665"
"10007856","Aberystwyth University","1,375","115","1,490"
"10067853","ACM Guildford Limited","5","0","5"
"10000163","AECC University College","140","0","140"
"10000291","Anglia Ruskin University","2,345","0","2,345"
"10005451","Arden University","5,950","0","5,950"
"10007759","Aston University","1,855","0","1,855"
"10000571","Bath Spa University","550","0","550"
"10007850","The University of Bath","1,530","0","1,530"
"10007152","University of Bedfordshire","30","0","30"
"10005343","Queen's University Belfast","320","10","325"
"10007760","Birkbeck College","395","0","395"
"10007140","Birmingham City University","390","0","390"
"10006840","The University of Birmingham","2,220","565","2,790"
"10000712","University College Birmingham","110","0","110"
"10000894","Bristol Baptist College","15","0","15"
"10006841","The University of Bolton","105","0","105"
"10000385","The Arts University Bournemouth","25","0","25"
"10000824","Bournemouth University","95","0","95"
"10031982","BPP University","2,340","0","2,340"
"10007785","The University of Bradford","330","25","355"
"10000936","The University College of Osteopathy","20","0","20"
"10007786","The University of Bristol","135","10","145"
"10023464","Trinity College Bristol","30","0","30"
"10000961","Brunel University London","805","0","805"
"10000975","Buckinghamshire New University","275","0","275"
"10032072","The Cambridge Theological Federation","0","0","0"
"10001143","Canterbury Christ Church University","80","0","80"
"10007814","Cardiff University","610","50","660"
"10007854","Cardiff Metropolitan University","50","0","50"
"10007141","The University of Central Lancashire","1,260","0","1,260"
"10024024","Central Film School London","5","0","5"
"10007848","University of Chester","600","0","600"
"10007137","The University of Chichester","145","0","145"
"10010213","The City College","0","0","0"
"10001478","City, University of London","115","0","115"
"10007912","Cliff College","30","0","30"
"10001726","Coventry University","485","0","485"
"10006427","University for the Creative Arts","1,430","0","1,430"
"10007842","University of Cumbria","3,115","0","3,115"
"10001883","De Montfort University","2,600","445","3,040"
"10007851","University of Derby","5,025","20","5,045"
"10007852","The University of Dundee","2,460","0","2,460"
"10007143","University of Durham","155","35","190"
"10007789","The University of East Anglia","755","0","755"
"10007144","The University of East London","495","0","495"
"10032282","The Queen's Foundation for Ecumenical Theological Education","75","0","75"
"10007823","Edge Hill University","610","0","610"
"10007772","Edinburgh Napier University","625","0","625"
"10007790","The University of Edinburgh","1,960","0","1,960"
"10007791","The University of Essex","20","35","55"
"10008173","University College of Estate Management","3,105","0","3,105"
"10007792","The University of Exeter","15","15","30"
"10007762","Glasgow Caledonian University","150","0","150"
"10002681","Glasgow School of Art","2,600","0","2,605"
"10007794","The University of Glasgow","2,190","330","2,520"
"10007145","University of Gloucestershire","375","5","380"
"10007146","The University of Greenwich","1,285","0","1,285"
"10007825","Guildhall School of Music and Drama","10","0","10"
"10040812","Harper Adams University","2,080","10","2,090"
"10007764","Heriot-Watt University","825","25","850"
"10007147","University of Hertfordshire","420","5","425"
"10007148","The University of Huddersfield","205","0","210"
"10007149","The University of Hull","1,415","0","1,415"
"10003270","Imperial College of Science, Technology and Medicine","500","15","515"
"10035638","Institute of Contemporary Music Performance","0","0","0"
"10029682","The Islamic College","20","0","20"
"10021682","Kaplan Open Learning (Essex) Limited","1,820","10","1,830"
"10007767","Keele University","735","0","735"
"10007150","The University of Kent","1,185","0","1,190"
"10003645","King's College London","2,695","50","2,745"
"10003678","Kingston University","5","0","5"
"10007768","The University of Lancaster","335","10","345"
"10003861","Leeds Beckett University","935","15","950"
"10007795","The University of Leeds","350","0","350"
"10003863","Leeds Trinity University","65","0","65"
"10082828","College of Legal Practice Limited","470","0","470"
"10007796","The University of Leicester","990","0","990"
"10089591","LIBF Limited","45","0","45"
"10007151","The University of Lincoln","1,175","0","1,175"
"10003956","Liverpool Hope University","110","0","110"
"10003957","Liverpool John Moores University","325","115","435"
"10006842","The University of Liverpool","335","1,085","1,425"
"10003958","Liverpool School of Tropical Medicine","15","0","15"
