﻿Title:,"Table 64 - HE student enrolments by HE provider and placement marker"
Subtitle:,"Academic years 2022/23 to 2023/24"
Reference ID:,DT051 Table 64
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-64
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-64.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of study,All 
,Level of study,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE Provider","Thick sandwich","Thin sandwich","Other placement","Total"
"10007783","The University of Aberdeen","20","0","10","30"
"10007849","Abertay University","0","0","10","10"
"10007856","Aberystwyth University","85","0","0","85"
"10000291","Anglia Ruskin University","25","0","30","50"
"10007759","Aston University","1,400","0","5","1,405"
"10007857","Bangor University","85","0","0","85"
"10000571","Bath Spa University","100","0","345","440"
"10007850","The University of Bath","2,000","255","0","2,255"
"10005343","Queen's University Belfast","1,030","0","900","1,930"
"10007140","Birmingham City University","140","0","0","140"
"10006840","The University of Birmingham","340","0","0","340"
"10000712","University College Birmingham","165","65","0","230"
"10007811","Bishop Grosseteste University","0","0","5","5"
"10006841","The University of Bolton","0","0","40","40"
"10000824","Bournemouth University","765","0","20","785"
"10007785","The University of Bradford","100","0","145","245"
"10000886","The University of Brighton","145","0","0","145"
"10007786","The University of Bristol","160","80","120","365"
"10000961","Brunel University London","400","25","115","540"
"10007788","The University of Cambridge","40","25","30","95"
"10001143","Canterbury Christ Church University","10","0","0","10"
"10007814","Cardiff University","915","0","0","915"
"10007854","Cardiff Metropolitan University","0","0","0","0"
"10007141","The University of Central Lancashire","45","0","0","45"
"10007848","University of Chester","30","0","0","30"
"10007137","The University of Chichester","30","0","435","470"
"10001478","City, University of London","190","20","145","355"
"10007761","Courtauld Institute of Art","0","0","0","0"
"10001726","Coventry University","255","0","10","265"
"10007842","University of Cumbria","15","0","0","15"
"10001883","De Montfort University","195","0","75","270"
"10007851","University of Derby","85","0","0","85"
"10007852","The University of Dundee","45","0","0","45"
"10007143","University of Durham","300","0","0","300"
"10007789","The University of East Anglia","110","30","230","370"
"10007144","The University of East London","25","0","0","25"
"10007823","Edge Hill University","10","0","0","10"
"10007772","Edinburgh Napier University","45","0","65","110"
"10007790","The University of Edinburgh","0","5","0","5"
"10007792","The University of Exeter","765","10","10","785"
"10008640","Falmouth University","0","0","0","0"
"10007762","Glasgow Caledonian University","0","0","5","5"
"10007794","The University of Glasgow","100","0","425","530"
"10007145","University of Gloucestershire","55","0","0","55"
"10007146","The University of Greenwich","225","510","65","800"
"10040812","Harper Adams University","495","0","0","495"
"10080811","Hartpury University","140","0","0","140"
"10007147","University of Hertfordshire","200","0","355","550"
"10007148","The University of Huddersfield","335","0","455","790"
"10007149","The University of Hull","45","0","115","160"
"10003270","Imperial College of Science, Technology and Medicine","90","0","0","90"
"10007767","Keele University","30","0","0","30"
"10007150","The University of Kent","175","0","0","175"
"10003645","King's College London","140","150","190","475"
"10003678","Kingston University","255","5","290","550"
"10007768","The University of Lancaster","215","0","0","220"
"10003861","Leeds Beckett University","120","0","0","120"
"10007795","The University of Leeds","1,020","0","15","1,040"
"10007796","The University of Leicester","210","0","120","330"
"10089591","LIBF Limited","5","0","0","5"
"10007151","The University of Lincoln","85","0","25","110"
"10003956","Liverpool Hope University","5","0","0","5"
"10003957","Liverpool John Moores University","230","0","0","230"
"10006842","The University of Liverpool","345","0","30","375"
"10007162","University of the Arts, London","640","0","525","1,160"
"10004078","London South Bank University","75","0","0","75"
"10004113","Loughborough University","2,030","55","80","2,165"
"10004180","The Manchester Metropolitan University","410","5","0","415"
"10007798","The University of Manchester","690","0","0","690"
"10009527","Istituto Marangoni Limited","10","0","0","10"
"10020416","Missio Dei","0","45","10","55"
"10004351","Middlesex University","40","0","0","40"
"10007799","Newcastle University","235","165","300","700"
"10008397","Norland College","0","0","95","95"
"10007138","The University of Northampton","245","0","0","245"
"10001282","University of Northumbria at Newcastle","280","5","170","455"
"10007154","University of Nottingham","670","5","170","845"
"10004797","The Nottingham Trent University","965","0","0","965"
"10004930","Oxford Brookes University","180","0","135","320"
"10007774","The University of Oxford","115","0","0","115"
"10005127","Arts University Plymouth","0","0","0","0"
"10007801","University of Plymouth","360","0","0","360"
"10007155","The University of Portsmouth","370","15","50","435"
"10007775","Queen Mary University of London","145","0","60","205"
"10007802","The University of Reading","345","0","435","775"
"10005500","Robert Gordon University","0","170","190","365"
"10007776","Roehampton University","150","0","0","150"
"10005545","Royal Agricultural University","15","0","0","15"
"10005553","Royal Holloway and Bedford New College","140","0","0","140"
"10007782","St George's, University of London","0","15","0","15"
"10007843","St Mary's University, Twickenham","0","0","725","725"
"10007156","The University of Salford","120","0","0","120"
"10021256","The Salvation Army","0","0","15","15"
"10005790","Sheffield Hallam University","505","0","0","505"
"10007157","The University of Sheffield","585","0","0","585"
"10006022","Solent University","30","0","0","30"
"10007158","The University of Southampton","260","5","0","260"
"10006299","Staffordshire University","75","0","0","75"
"10014001","University of Suffolk","0","0","0","0"
"10007159","The University of Sunderland","40","0","0","40"
"10007160","The University of Surrey","435","10","170","615"
"10007806","The University of Sussex","210","0","395","605"
"10007855","Swansea University","180","0","0","180"
"10007161","Teesside University","40","0","1,150","1,190"
"10007858","University of Wales Trinity Saint David","265","645","1,135","2,040"
"10007807","Ulster University","1,360","0","0","1,360"
"10039956","The University of Law","0","0","0","0"
"10007163","The University of Warwick","0","5","220","225"
"10007164","University of the West of England, Bristol","350","0","0","350"
"10007800","The University of the West of Scotland","0","0","10","10"
"10006566","The University of West London","0","10","0","10"
"10007165","The University of Westminster","85","75","225","385"
"10003614","The University of Winchester","10","0","0","10"
"10007166","The University of Wolverhampton","35","0","0","35"
"10007139","University of Worcester","15","0","535","550"
"10007713","York St John University","15","0","500","515"
"10007167","The University of York","390","0","5","395"
"","Total","27,725","2,405","12,130","42,260"
