﻿Title:,"Table 64 - HE student enrolments by HE provider and placement marker"
Subtitle:,"Academic years 2022/23 to 2023/24"
Reference ID:,DT051 Table 64
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-64
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-64.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of study,All 
,Level of study,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE Provider","Thick sandwich","Thin sandwich","Other placement","Total"
"10007783","The University of Aberdeen","40","0","145","185"
"10007856","Aberystwyth University","85","0","0","85"
"10000291","Anglia Ruskin University","50","0","20","70"
"10007759","Aston University","1,315","0","5","1,315"
"10007857","Bangor University","65","0","0","65"
"10000571","Bath Spa University","60","0","325","385"
"10007850","The University of Bath","1,795","235","0","2,030"
"10005343","Queen's University Belfast","1,135","60","650","1,845"
"10007140","Birmingham City University","130","0","0","130"
"10006840","The University of Birmingham","320","0","0","320"
"10000712","University College Birmingham","100","65","0","165"
"10007811","Bishop Grosseteste University","0","0","0","0"
"10006841","The University of Bolton","0","0","30","30"
"10000824","Bournemouth University","915","0","0","915"
"10007785","The University of Bradford","90","35","55","185"
"10000886","The University of Brighton","185","0","0","185"
"10007786","The University of Bristol","165","0","0","165"
"10000961","Brunel University London","465","20","100","585"
"10007788","The University of Cambridge","60","45","20","125"
"10001143","Canterbury Christ Church University","20","0","0","20"
"10007814","Cardiff University","915","0","0","915"
"10007854","Cardiff Metropolitan University","30","0","0","30"
"10007141","The University of Central Lancashire","30","0","0","30"
"10007848","University of Chester","30","0","5","30"
"10007137","The University of Chichester","10","15","480","505"
"10001478","City, University of London","250","5","95","350"
"10007761","Courtauld Institute of Art","0","0","5","5"
"10001726","Coventry University","400","0","0","400"
"10001883","De Montfort University","250","0","0","250"
"10007851","University of Derby","135","0","0","135"
"10007852","The University of Dundee","50","0","0","50"
"10007143","University of Durham","385","0","0","385"
"10007789","The University of East Anglia","60","80","295","435"
"10007144","The University of East London","1,190","0","0","1,190"
"10007772","Edinburgh Napier University","85","240","105","430"
"10007790","The University of Edinburgh","0","15","30","45"
"10007791","The University of Essex","125","0","0","125"
"10007792","The University of Exeter","735","5","0","745"
"10008640","Falmouth University","0","0","0","0"
"10007762","Glasgow Caledonian University","35","0","0","35"
"10007794","The University of Glasgow","80","0","310","390"
"10007145","University of Gloucestershire","60","0","0","60"
"10007146","The University of Greenwich","970","0","60","1,035"
"10040812","Harper Adams University","475","0","0","475"
"10080811","Hartpury University","85","0","0","85"
"10007147","University of Hertfordshire","145","0","465","610"
"10007148","The University of Huddersfield","360","5","550","915"
"10007149","The University of Hull","45","0","285","330"
"10003270","Imperial College of Science, Technology and Medicine","115","0","0","115"
"10007767","Keele University","40","0","0","40"
"10007150","The University of Kent","270","0","0","270"
"10003645","King's College London","70","75","210","355"
"10003678","Kingston University","355","0","390","745"
"10007768","The University of Lancaster","285","35","10","330"
"10003861","Leeds Beckett University","205","0","0","205"
"10007795","The University of Leeds","1,095","0","5","1,105"
"10007796","The University of Leicester","260","10","135","405"
"10089591","LIBF Limited","5","0","0","5"
"10007151","The University of Lincoln","100","0","0","100"
"10003956","Liverpool Hope University","20","0","380","400"
"10003957","Liverpool John Moores University","295","0","0","295"
"10006842","The University of Liverpool","345","0","40","390"
"10007162","University of the Arts, London","670","0","0","670"
"10004078","London South Bank University","95","0","0","95"
"10004113","Loughborough University","1,925","50","0","1,975"
"10004180","The Manchester Metropolitan University","475","0","0","475"
"10007798","The University of Manchester","580","0","0","580"
"10009527","Istituto Marangoni Limited","10","0","0","10"
"10020416","Missio Dei","0","35","0","35"
"10004351","Middlesex University","50","0","0","50"
"10055902","Multiverse","0","0","0","0"
"10007799","Newcastle University","490","155","0","640"
"10007138","The University of Northampton","330","0","0","330"
"10001282","University of Northumbria at Newcastle","365","0","1,125","1,490"
"10007154","University of Nottingham","570","0","0","570"
"10004797","The Nottingham Trent University","1,170","105","0","1,275"
"10004930","Oxford Brookes University","140","0","0","140"
"10007801","University of Plymouth","340","0","0","340"
"10007155","The University of Portsmouth","510","30","420","960"
"10007775","Queen Mary University of London","140","0","10","150"
"10005544","Royal Academy of Dance","0","0","10","10"
"10007802","The University of Reading","285","0","995","1,280"
"10005500","Robert Gordon University","5","255","280","540"
"10007776","Roehampton University","60","0","0","60"
"10005545","Royal Agricultural University","0","0","0","0"
"10005553","Royal Holloway and Bedford New College","155","0","0","155"
"10007779","The Royal Veterinary College","5","0","0","5"
"10007782","St George's, University of London","0","15","0","15"
"10007843","St Mary's University, Twickenham","0","0","835","835"
"10007156","The University of Salford","120","0","0","120"
"10021256","The Salvation Army","0","0","25","25"
"10005790","Sheffield Hallam University","570","0","0","570"
"10007157","The University of Sheffield","520","0","0","520"
"10006022","Solent University","20","90","0","110"
"10007158","The University of Southampton","250","5","0","250"
"10006299","Staffordshire University","80","0","0","80"
"10007159","The University of Sunderland","35","0","0","35"
"10007160","The University of Surrey","650","0","0","650"
"10007806","The University of Sussex","250","0","600","850"
"10007855","Swansea University","215","0","0","215"
"10007161","Teesside University","60","0","980","1,040"
"10007858","University of Wales Trinity Saint David","0","0","480","480"
"10007114","University of the Highlands and Islands","0","10","65","75"
"10007807","Ulster University","1,400","0","0","1,400"
"10007793","University of South Wales","10","0","0","10"
"10007163","The University of Warwick","0","0","260","260"
"10007164","University of the West of England, Bristol","375","0","0","375"
"10007800","The University of the West of Scotland","0","0","5","5"
"10006566","The University of West London","35","5","20","60"
"10007165","The University of Westminster","90","30","100","220"
"10003614","The University of Winchester","10","0","0","10"
"10007166","The University of Wolverhampton","35","0","0","40"
"10007139","University of Worcester","0","5","560","565"
"10007713","York St John University","15","0","465","480"
"10007167","The University of York","375","0","5","375"
"","Total","30,880","1,740","12,455","45,075"
