﻿Title:,"Table 65 - HE student enrolments by HE provider and study abroad marker"
Subtitle:,"Academic years 2022/23 to 2023/24"
Reference ID:,DT051 Table 65
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-65
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-65.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE Provider","Studying abroad for the full StudentCourseSession","Studying abroad for part of the StudentCourseSession","Total"
"10007783","The University of Aberdeen","50","115","165"
"10007856","Aberystwyth University","50","10","60"
"10000291","Anglia Ruskin University","0","0","0"
"10003212","Hult International Business School Ltd","30","25","55"
"10007759","Aston University","50","95","140"
"10007857","Bangor University","25","0","25"
"10007850","The University of Bath","105","145","245"
"10005343","Queen's University Belfast","95","45","135"
"10007760","Birkbeck College","15","0","15"
"10007140","Birmingham City University","0","0","0"
"10006840","The University of Birmingham","455","0","455"
"10006841","The University of Bolton","0","10","10"
"10000385","The Arts University Bournemouth","0","10","10"
"10007785","The University of Bradford","15","0","15"
"10007786","The University of Bristol","335","125","455"
"10000961","Brunel University London","0","5","5"
"10007788","The University of Cambridge","220","290","510"
"10001143","Canterbury Christ Church University","0","0","0"
"10007814","Cardiff University","235","40","275"
"10007854","Cardiff Metropolitan University","0","0","0"
"10007141","The University of Central Lancashire","60","10","70"
"10007848","University of Chester","30","15","45"
"10007137","The University of Chichester","5","0","5"
"10001478","City, University of London","90","0","90"
"10001726","Coventry University","30","5","35"
"10007822","Cranfield University","0","140","140"
"10006427","University for the Creative Arts","0","10","10"
"10001883","De Montfort University","30","0","30"
"10007852","The University of Dundee","10","560","565"
"10007143","University of Durham","230","0","230"
"10007789","The University of East Anglia","120","25","145"
"10007823","Edge Hill University","20","5","25"
"10007772","Edinburgh Napier University","5","0","5"
"10007790","The University of Edinburgh","815","150","965"
"10007791","The University of Essex","70","5","70"
"10002313","ESCP Europe Business School","90","360","445"
"10007792","The University of Exeter","400","15","415"
"10008640","Falmouth University","0","15","15"
"10007794","The University of Glasgow","235","135","365"
"10007146","The University of Greenwich","5","5","10"
"10007825","Guildhall School of Music and Drama","5","0","5"
"10040812","Harper Adams University","0","0","0"
"10007764","Heriot-Watt University","95","35","130"
"10007147","University of Hertfordshire","70","25","95"
"10007149","The University of Hull","20","0","20"
"10003270","Imperial College of Science, Technology and Medicine","95","25","120"
"10007767","Keele University","40","5","45"
"10007150","The University of Kent","160","0","160"
"10003645","King's College London","300","200","500"
"10003678","Kingston University","35","50","85"
"10007768","The University of Lancaster","235","0","235"
"10003861","Leeds Beckett University","15","20","35"
"10007795","The University of Leeds","635","65","700"
"10003863","Leeds Trinity University","5","0","5"
"10007796","The University of Leicester","80","180","260"
"10007151","The University of Lincoln","15","0","15"
"10003956","Liverpool Hope University","5","0","5"
"10003957","Liverpool John Moores University","25","155","180"
"10006842","The University of Liverpool","205","250","455"
"10004048","London Metropolitan University","0","0","0"
"10004063","London School of Economics and Political Science","455","70","525"
"10004113","Loughborough University","65","110","175"
"10004180","The Manchester Metropolitan University","120","65","185"
"10007798","The University of Manchester","365","205","570"
"10004351","Middlesex University","5","20","25"
"10007799","Newcastle University","190","140","325"
"10001282","University of Northumbria at Newcastle","135","20","155"
"10007154","University of Nottingham","235","190","430"
"10004797","The Nottingham Trent University","30","130","160"
"10004930","Oxford Brookes University","30","45","75"
"10007774","The University of Oxford","245","325","570"
"10007801","University of Plymouth","25","60","85"
"10007155","The University of Portsmouth","150","40","190"
"10007775","Queen Mary University of London","170","30","200"
"10005470","Richmond, The American International University in London","5","10","15"
"10007802","The University of Reading","75","30","105"
"10007776","Roehampton University","0","55","55"
"10005523","Rose Bruford College of Theatre and Performance","0","50","50"
"10007835","Royal Academy of Music","0","0","0"
"10005561","Royal Conservatoire of Scotland","0","10","10"
"10005553","Royal Holloway and Bedford New College","50","0","50"
"10007803","The University of St. Andrews","145","130","275"
"10007156","The University of Salford","20","0","20"
"10007780","SOAS University of London","120","35","155"
"10005790","Sheffield Hallam University","5","70","75"
"10007157","The University of Sheffield","380","10","390"
"10007158","The University of Southampton","110","120","230"
"10006299","Staffordshire University","5","0","5"
"10007804","The University of Stirling","5","25","30"
"10007805","The University of Strathclyde","455","30","485"
"10007159","The University of Sunderland","0","5","5"
"10007160","The University of Surrey","10","155","165"
"10007806","The University of Sussex","180","10","190"
"10007855","Swansea University","115","5","120"
"10007161","Teesside University","0","0","0"
"10007858","University of Wales Trinity Saint David","25","0","25"
"10007807","Ulster University","25","125","150"
"10007784","University College London","460","2,625","3,080"
"10007163","The University of Warwick","200","20","220"
"10007164","University of the West of England, Bristol","60","0","65"
"10007165","The University of Westminster","50","75","130"
"10007139","University of Worcester","15","0","15"
"10007713","York St John University","70","35","105"
"10007167","The University of York","100","5","105"
"","Total","10,885","8,440","19,325"
