﻿Title:,"Table 65 - HE student enrolments by HE provider and study abroad marker"
Subtitle:,"Academic years 2022/23 to 2023/24"
Reference ID:,DT051 Table 65
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-65
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-65.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE Provider","Studying abroad for the full StudentCourseSession","Studying abroad for part of the StudentCourseSession","Total"
"10007783","The University of Aberdeen","70","100","170"
"10007856","Aberystwyth University","40","0","40"
"10000291","Anglia Ruskin University","0","5","5"
"10003212","Hult International Business School Ltd","75","10","85"
"10007759","Aston University","30","95","125"
"10007857","Bangor University","25","15","45"
"10000571","Bath Spa University","0","40","40"
"10007850","The University of Bath","130","120","250"
"10005343","Queen's University Belfast","120","265","385"
"10007760","Birkbeck College","20","0","20"
"10007140","Birmingham City University","0","15","15"
"10006840","The University of Birmingham","600","305","900"
"10000385","The Arts University Bournemouth","0","5","5"
"10007785","The University of Bradford","20","5","20"
"10007786","The University of Bristol","355","105","460"
"10000961","Brunel University London","0","5","5"
"10007787","The University of Buckingham","0","0","0"
"10007788","The University of Cambridge","210","320","530"
"10001143","Canterbury Christ Church University","10","0","10"
"10007814","Cardiff University","240","0","240"
"10007854","Cardiff Metropolitan University","0","5","5"
"10007141","The University of Central Lancashire","80","10","90"
"10007848","University of Chester","35","45","80"
"10007137","The University of Chichester","0","5","5"
"10001478","City, University of London","55","35","90"
"10001726","Coventry University","65","10","80"
"10007822","Cranfield University","0","125","125"
"10001883","De Montfort University","45","5","50"
"10007852","The University of Dundee","30","280","310"
"10007143","University of Durham","420","5","425"
"10007789","The University of East Anglia","225","50","275"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","0"
"10007823","Edge Hill University","20","5","20"
"10007772","Edinburgh Napier University","95","105","200"
"10007790","The University of Edinburgh","410","225","630"
"10007791","The University of Essex","245","30","275"
"10002313","ESCP Europe Business School","165","35","205"
"10007792","The University of Exeter","450","10","460"
"10008640","Falmouth University","0","65","65"
"10007762","Glasgow Caledonian University","0","145","145"
"10007794","The University of Glasgow","375","350","725"
"10007146","The University of Greenwich","35","60","95"
"10040812","Harper Adams University","0","0","0"
"10080811","Hartpury University","0","5","5"
"10007764","Heriot-Watt University","5","0","5"
"10007147","University of Hertfordshire","110","20","135"
"10007149","The University of Hull","35","0","35"
"10003270","Imperial College of Science, Technology and Medicine","90","0","90"
"10007767","Keele University","45","5","50"
"10007150","The University of Kent","215","10","225"
"10003645","King's College London","420","175","595"
"10003678","Kingston University","30","70","100"
"10007768","The University of Lancaster","200","25","225"
"10003861","Leeds Beckett University","5","15","20"
"10007795","The University of Leeds","650","85","735"
"10003863","Leeds Trinity University","10","0","10"
"10007796","The University of Leicester","120","35","155"
"10007151","The University of Lincoln","30","10","35"
"10003956","Liverpool Hope University","0","5","5"
"10003957","Liverpool John Moores University","50","0","50"
"10006842","The University of Liverpool","155","10","170"
"10004048","London Metropolitan University","0","0","0"
"10004063","London School of Economics and Political Science","330","0","330"
"10004113","Loughborough University","110","70","180"
"10004180","The Manchester Metropolitan University","150","70","215"
"10007798","The University of Manchester","515","375","895"
"10004351","Middlesex University","20","20","45"
"10007799","Newcastle University","220","390","615"
"10001282","University of Northumbria at Newcastle","90","50","135"
"10007154","University of Nottingham","245","105","350"
"10004797","The Nottingham Trent University","120","195","320"
"10004930","Oxford Brookes University","60","50","110"
"10007774","The University of Oxford","485","290","775"
"10007801","University of Plymouth","20","85","100"
"10007155","The University of Portsmouth","75","0","75"
"10007775","Queen Mary University of London","185","30","215"
"10005470","Richmond, The American International University in London","0","5","5"
"10007802","The University of Reading","90","30","120"
"10086591","Regent's University London Limited","0","30","30"
"10007776","Roehampton University","0","35","35"
"10007778","Royal College of Music","0","5","5"
"10005561","Royal Conservatoire of Scotland","0","10","10"
"10005553","Royal Holloway and Bedford New College","40","0","40"
"10007779","The Royal Veterinary College","0","5","5"
"10007843","St Mary's University, Twickenham","0","0","0"
"10007156","The University of Salford","30","0","30"
"10007780","SOAS University of London","120","45","170"
"10005790","Sheffield Hallam University","0","85","85"
"10007157","The University of Sheffield","475","15","490"
"10006022","Solent University","0","5","10"
"10007158","The University of Southampton","110","100","210"
"10006299","Staffordshire University","5","5","5"
"10007804","The University of Stirling","10","185","195"
"10007805","The University of Strathclyde","325","225","550"
"10007159","The University of Sunderland","5","5","10"
"10007160","The University of Surrey","25","155","180"
"10007806","The University of Sussex","235","155","390"
"10007855","Swansea University","145","5","150"
"10007807","Ulster University","40","100","135"
"10007784","University College London","490","2,065","2,555"
"10007163","The University of Warwick","420","0","420"
"10007164","University of the West of England, Bristol","75","50","125"
"10007165","The University of Westminster","55","40","95"
"10007139","University of Worcester","15","0","15"
"10007713","York St John University","90","10","100"
"10007167","The University of York","120","5","125"
"","Total","12,425","8,575","20,995"
